,년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
3,202201,전체(시도),전체(시 / 군 / 구),주택용,"15,737,787 ","7,092,815,490 ","844,730,080,922 ",119.1 
4,202201,전체(시도),전체(시 / 군 / 구),일반용,"3,373,949 ","11,518,841,629 ","1,545,238,430,754 ",134.1 
5,202201,전체(시도),전체(시 / 군 / 구),교육용,"20,996 ","1,017,613,102 ","99,652,769,614 ",97.9 
6,202201,전체(시도),전체(시 / 군 / 구),산업용,"434,515 ","26,069,752,354 ","2,965,453,569,848 ",113.8 
7,202201,전체(시도),전체(시 / 군 / 구),농사용,"1,976,665 ","2,157,527,601 ","103,974,118,145 ",48.2 
8,202201,전체(시도),전체(시 / 군 / 구),가로등,"2,214,680 ","328,875,859 ","35,536,816,330 ",108.1 
9,202201,전체(시도),전체(시 / 군 / 구),심 야,"721,855 ","1,616,792,652 ","121,807,547,231 ",75.3 
10,202202,전체(시도),전체(시 / 군 / 구),주택용,"15,741,080 ","7,060,528,652 ","839,720,703,665 ",118.9 
11,202202,전체(시도),전체(시 / 군 / 구),일반용,"3,380,096 ","11,732,996,163 ","1,545,714,849,864 ",131.7 
12,202202,전체(시도),전체(시 / 군 / 구),교육용,"21,011 ","868,413,314 ","88,040,677,112 ",101.4 
13,202202,전체(시도),전체(시 / 군 / 구),산업용,"434,767 ","23,735,957,208 ","2,740,383,913,802 ",115.5 
14,202202,전체(시도),전체(시 / 군 / 구),농사용,"1,977,121 ","2,181,944,493 ","105,045,194,442 ",48.1 
15,202202,전체(시도),전체(시 / 군 / 구),가로등,"2,218,550 ","310,203,708 ","35,110,721,318 ",113.2 
16,202202,전체(시도),전체(시 / 군 / 구),심 야,"719,631 ","1,651,427,730 ","124,376,112,865 ",75.3 
17,202203,전체(시도),전체(시 / 군 / 구),주택용,"15,747,870 ","6,223,157,413 ","680,388,923,307 ",109.3 
18,202203,전체(시도),전체(시 / 군 / 구),일반용,"3,385,728 ","10,164,688,166 ","1,246,201,267,239 ",122.6 
19,202203,전체(시도),전체(시 / 군 / 구),교육용,"21,007 ","828,257,212 ","81,574,937,353 ",98.5 
20,202203,전체(시도),전체(시 / 군 / 구),산업용,"434,864 ","25,171,140,819 ","2,395,279,397,203 ",95.2 
21,202203,전체(시도),전체(시 / 군 / 구),농사용,"2,528,525 ","1,872,358,280 ","91,335,155,230 ",48.8 
22,202203,전체(시도),전체(시 / 군 / 구),가로등,"2,221,968 ","286,558,649 ","32,758,449,449 ",114.3 
23,202203,전체(시도),전체(시 / 군 / 구),심 야,"717,845 ","1,290,645,844 ","86,340,984,819 ",66.9 
24,202204,전체(시도),전체(시 / 군 / 구),주택용,"15,757,790 ","6,285,886,096 ","709,902,706,172 ",112.9 
25,202204,전체(시도),전체(시 / 군 / 구),일반용,"3,395,530 ","9,389,482,294 ","1,120,872,761,982 ",119.4 
26,202204,전체(시도),전체(시 / 군 / 구),교육용,"20,981 ","710,421,572 ","67,961,237,807 ",95.7 
27,202204,전체(시도),전체(시 / 군 / 구),산업용,"435,332 ","24,455,290,187 ","2,461,663,779,705 ",100.7 
28,202204,전체(시도),전체(시 / 군 / 구),농사용,"2,076,247 ","1,655,504,780 ","86,492,415,763 ",52.2 
29,202204,전체(시도),전체(시 / 군 / 구),가로등,"2,241,266 ","282,644,222 ","34,286,906,699 ",121.3 
30,202204,전체(시도),전체(시 / 군 / 구),심 야,"716,163 ","979,051,169 ","56,709,216,623 ",57.9 
31,202205,전체(시도),전체(시 / 군 / 구),주택용,"15,761,570 ","5,779,665,068 ","648,211,126,916 ",112.2 
32,202205,전체(시도),전체(시 / 군 / 구),일반용,"3,403,431 ","9,001,666,664 ","1,119,359,481,909 ",124.4 
33,202205,전체(시도),전체(시 / 군 / 구),교육용,"20,964 ","553,398,406 ","54,796,044,881 ",99.0 
34,202205,전체(시도),전체(시 / 군 / 구),산업용,"435,785 ","24,585,743,421 ","2,480,253,111,401 ",100.9 
35,202205,전체(시도),전체(시 / 군 / 구),농사용,"2,004,356 ","1,445,037,112 ","80,952,631,162 ",56.0 
36,202205,전체(시도),전체(시 / 군 / 구),가로등,"2,251,185 ","264,707,512 ","34,123,765,901 ",128.9 
37,202205,전체(시도),전체(시 / 군 / 구),심 야,"714,168 ","574,775,696 ","36,569,312,664 ",63.6 
38,합계,합계,합계,합계,"123,265,278","229,143,770,537","24,800,819,120,097",108.2
