년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201201,강원도,강릉시,일반용,"15,817","43,600,925",24.4943851
201202,강원도,강릉시,일반용,"15,908","43,385,435",24.65224349
201203,강원도,강릉시,일반용,"15,948","39,233,079",22.50198605
201204,강원도,강릉시,일반용,"16,038","36,768,763",21.59599502
201205,강원도,강릉시,일반용,"16,047","32,219,716",20.33442998
201206,강원도,강릉시,일반용,"16,075","32,918,808",21.0410955
201201,강원도,강릉시,합계,"115,156","178,003,754",
201202,강원도,강릉시,합계,"115,296","175,989,804",
201203,강원도,강릉시,합계,"115,761","174,353,850",
201204,강원도,강릉시,합계,"115,615","170,257,323",
201205,강원도,강릉시,합계,"115,733","158,449,074",
201206,강원도,강릉시,합계,"115,907","156,450,067",
201201,강원도,고성군,일반용,"3,033","10,321,598",35.14608069
201202,강원도,고성군,일반용,"3,041","10,112,808",34.80900429
201203,강원도,고성군,일반용,"3,045","9,182,568",34.94710971
201204,강원도,고성군,일반용,"3,048","8,666,421",34.69024747
201205,강원도,고성군,일반용,"3,066","7,963,443",38.22731791
201206,강원도,고성군,일반용,"3,095","7,994,798",40.99295601
201201,강원도,고성군,합계,"24,812","29,367,707",
201202,강원도,고성군,합계,"24,748","29,052,276",
201203,강원도,고성군,합계,"25,791","26,275,615",
201204,강원도,고성군,합계,"24,785","24,982,298",
201205,강원도,고성군,합계,"24,820","20,831,812",
201206,강원도,고성군,합계,"24,891","19,502,858",
201201,강원도,동해시,일반용,"6,017","17,588,274",6.628880151
201202,강원도,동해시,일반용,"6,032","17,269,034",6.94387415
201203,강원도,동해시,일반용,"6,031","16,595,002",6.109135663
201204,강원도,동해시,일반용,"6,048","15,507,581",5.928153661
201205,강원도,동해시,일반용,"6,082","13,661,830",5.042558178
201206,강원도,동해시,일반용,"6,097","13,694,932",5.182421185
201201,강원도,동해시,합계,"44,189","265,327,983",
201202,강원도,동해시,합계,"44,094","248,694,513",
201203,강원도,동해시,합계,"44,296","271,642,388",
201204,강원도,동해시,합계,"44,187","261,592,089",
201205,강원도,동해시,합계,"44,244","270,930,538",
201206,강원도,동해시,합계,"44,323","264,257,410",
201201,강원도,삼척시,일반용,"5,063","12,958,400",11.77768518
201202,강원도,삼척시,일반용,"5,116","12,966,068",13.52507377
201203,강원도,삼척시,일반용,"5,123","11,980,704",10.88218705
201204,강원도,삼척시,일반용,"5,143","11,087,085",10.12438322
201205,강원도,삼척시,일반용,"5,160","9,870,580",9.799447088
201206,강원도,삼척시,일반용,"5,153","10,192,269",9.878989929
201201,강원도,삼척시,합계,"46,059","110,025,016",
201202,강원도,삼척시,합계,"46,159","95,866,893",
201203,강원도,삼척시,합계,"46,575","110,094,634",
201204,강원도,삼척시,합계,"46,269","109,508,745",
201205,강원도,삼척시,합계,"46,335","100,725,887",
201206,강원도,삼척시,합계,"46,421","103,171,165",
201201,강원도,속초시,일반용,"6,829","22,064,555",46.7603901
201202,강원도,속초시,일반용,"6,838","21,487,787",46.16696122
201203,강원도,속초시,일반용,"6,851","19,414,970",45.94579065
201204,강원도,속초시,일반용,"6,887","18,246,953",45.46647812
201205,강원도,속초시,일반용,"6,906","16,545,469",48.29393838
201206,강원도,속초시,일반용,"6,902","16,598,473",50.91041409
201201,강원도,속초시,합계,"36,139","47,186,422",
201202,강원도,속초시,합계,"36,120","46,543,646",
201203,강원도,속초시,합계,"36,186","42,256,254",
201204,강원도,속초시,합계,"36,187","40,132,761",
201205,강원도,속초시,합계,"36,207","34,259,929",
201206,강원도,속초시,합계,"36,214","32,603,296",
201201,강원도,양구군,일반용,"2,066","12,488,428",42.46028376
201202,강원도,양구군,일반용,"2,068","7,856,517",31.23189556
201203,강원도,양구군,일반용,"2,076","6,590,822",31.30549382
201204,강원도,양구군,일반용,"2,087","6,214,791",32.18902299
201205,강원도,양구군,일반용,"2,096","4,999,766",35.64519141
201206,강원도,양구군,일반용,"2,112","4,908,943",39.97381681
201201,강원도,양구군,합계,"18,826","29,412,022",
201202,강원도,양구군,합계,"18,820","25,155,428",
201203,강원도,양구군,합계,"21,420","21,053,244",
201204,강원도,양구군,합계,"18,888","19,307,175",
201205,강원도,양구군,합계,"18,954","14,026,481",
201206,강원도,양구군,합계,"19,029","12,280,396",
201201,강원도,양양군,일반용,"3,521","11,110,991",38.1055481
201202,강원도,양양군,일반용,"3,522","10,946,835",38.0166313
201203,강원도,양양군,일반용,"3,522","10,138,192",39.3240564
201204,강원도,양양군,일반용,"3,534","9,482,608",39.1159262
201205,강원도,양양군,일반용,"3,543","8,517,002",42.39240013
201206,강원도,양양군,일반용,"3,556","8,637,025",45.02526245
201201,강원도,양양군,합계,"25,579","29,158,460",
201202,강원도,양양군,합계,"25,627","28,794,858",
201203,강원도,양양군,합계,"26,528","25,781,145",
201204,강원도,양양군,합계,"25,665","24,242,320",
201205,강원도,양양군,합계,"25,714","20,090,870",
201206,강원도,양양군,합계,"25,784","19,182,620",
201201,강원도,영월군,일반용,"3,356","7,170,348",8.809527323
201202,강원도,영월군,일반용,"3,387","8,418,506",10.77749871
201203,강원도,영월군,일반용,"3,389","6,078,471",6.384749945
201204,강원도,영월군,일반용,"3,404","5,734,641",6.395145791
201205,강원도,영월군,일반용,"3,441","4,980,950",5.747710303
201206,강원도,영월군,일반용,"3,445","5,170,951",6.258392737
201201,강원도,영월군,합계,"34,860","81,393,107",
201202,강원도,영월군,합계,"34,834","78,111,872",
201203,강원도,영월군,합계,"35,071","95,202,961",
