년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201201-201206,경상북도,경산시,일반용,14235,194039825,14.49
201201-201206,경상북도,경산시,합계,21133,1339551181,
201201-201206,경상북도,경주시,일반용,21327,314462406,15.24
201201-201206,경상북도,경주시,합계,28455,2062848577,
201201-201206,경상북도,고령군,일반용,2577,25298731,4.38
201201-201206,경상북도,고령군,합계,4537,577182366,
201201-201206,경상북도,구미시,일반용,24411,351108851,6.77
201201-201206,경상북도,구미시,합계,28434,5189486471,
201201-201206,경상북도,군위군,일반용,1670,19431714,13.22
201201-201206,경상북도,군위군,합계,4208,147024037,
201201-201206,경상북도,김천시,일반용,8479,95636312,9.94
201201-201206,경상북도,김천시,합계,15261,961691586,
201201-201206,경상북도,문경시,일반용,5638,69764090,23.28
201201-201206,경상북도,문경시,합계,9317,299736432,
201201-201206,경상북도,봉화군,일반용,2441,22760621,2.47
201201-201206,경상북도,봉화군,합계,6249,922701800,
201201-201206,경상북도,상주시,일반용,6710,76559816,14.0
201201-201206,경상북도,상주시,합계,14951,546809468,
201201-201206,경상북도,성주군,일반용,3402,35681046,9.36
201201-201206,경상북도,성주군,합계,7226,381171538,
201201-201206,경상북도,안동시,일반용,11329,164395674,32.41
201201-201206,경상북도,안동시,합계,17936,507229910,
201201-201206,경상북도,영덕군,일반용,4426,52988499,36.23
201201-201206,경상북도,영덕군,합계,6180,146269069,
201201-201206,경상북도,영양군,일반용,1372,11763826,20.53
201201-201206,경상북도,영양군,합계,3679,57293328,
201201-201206,경상북도,영주시,일반용,8039,92847896,15.31
201201-201206,경상북도,영주시,합계,11875,606409288,
201201-201206,경상북도,영천시,일반용,6946,85138576,12.1
201201-201206,경상북도,영천시,합계,11418,703396666,
201201-201206,경상북도,예천군,일반용,2897,31750807,21.17
201201-201206,경상북도,예천군,합계,8480,149977159,
201201-201206,경상북도,울릉군,일반용,1305,13941681,55.81
201201-201206,경상북도,울릉군,합계,1176,24979949,
201201-201206,경상북도,울진군,일반용,4464,60612196,25.71
201201-201206,경상북도,울진군,합계,7495,235786773,
201201-201206,경상북도,의성군,일반용,3641,35801768,17.82
201201-201206,경상북도,의성군,합계,10531,200936412,
201201-201206,경상북도,청도군,일반용,3242,35802305,16.08
201201-201206,경상북도,청도군,합계,8084,222586485,
201201-201206,경상북도,청송군,일반용,2415,25498547,28.0
201201-201206,경상북도,청송군,합계,5396,91056200,
201201-201206,경상북도,칠곡군,일반용,8384,125860640,11.68
201201-201206,경상북도,칠곡군,합계,11025,1077771551,
201201-201206,경상북도,포항시,일반용,34833,469692603,7.35
201201-201206,경상북도,포항시,합계,38432,6392970319,
