拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2012斥 01 岿 ~ 2012斥 06岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"340,785 ","162,428,432 ","20,528,185,037 ",126.4 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"76,580 ","252,270,100 ","28,688,589,878 ",113.7 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,934 ,"26,912,817 ","2,792,165,181 ",103.7 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,137 ","249,718,676 ","26,039,657,732 ",104.3 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"8,530 ","9,482,053 ","360,229,556 ",38.0 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"31,411 ","7,250,264 ","659,316,710 ",90.9 
201201,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"9,018 ","27,693,759 ","1,787,790,096 ",64.6 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"341,336 ","163,934,750 ","20,875,428,306 ",127.3 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"76,717 ","249,500,785 ","28,932,846,144 ",116.0 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,939 ,"26,491,056 ","2,824,819,500 ",106.6 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,149 ","252,389,661 ","26,790,879,877 ",106.1 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"8,558 ","9,495,770 ","364,861,377 ",38.4 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"31,355 ","6,924,162 ","653,615,836 ",94.4 
201202,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"9,024 ","28,641,548 ","1,846,514,398 ",64.5 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"341,990 ","148,568,393 ","17,071,446,544 ",114.9 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"77,074 ","230,706,707 ","24,472,802,148 ",106.1 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,944 ,"25,913,581 ","2,452,549,590 ",94.6 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,167 ","252,548,372 ","22,445,704,405 ",88.9 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"12,944 ","8,024,681 ","315,773,390 ",39.4 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"31,443 ","6,246,292 ","602,712,777 ",96.5 
201203,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"8,999 ","24,414,870 ","1,400,372,554 ",57.4 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"342,499 ","150,925,153 ","17,532,835,414 ",116.2 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"77,339 ","220,624,771 ","21,085,515,820 ",95.6 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,944 ,"23,823,589 ","2,165,114,559 ",90.9 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,190 ","247,918,044 ","21,262,649,714 ",85.8 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"8,669 ","6,258,678 ","255,101,951 ",40.8 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"31,490 ","6,004,153 ","601,160,995 ",100.1 
201204,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"8,988 ","20,388,993 ","970,920,470 ",47.6 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"343,105 ","137,752,111 ","14,748,391,900 ",107.1 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"77,282 ","201,011,305 ","19,819,976,421 ",98.6 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,944 ,"18,335,957 ","1,856,320,762 ",101.2 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,208 ","250,008,454 ","21,375,333,476 ",85.5 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"8,749 ","3,866,474 ","181,210,114 ",46.9 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"32,170 ","5,248,089 ","551,409,887 ",105.1 
201205,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"8,958 ","9,894,723 ","488,311,613 ",49.4 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"343,797 ","137,807,529 ","14,780,643,168 ",107.3 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"77,390 ","200,609,717 ","19,561,426,727 ",97.5 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,948 ,"19,287,918 ","1,910,639,162 ",99.1 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"5,223 ","254,980,093 ","21,717,961,631 ",85.2 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"8,777 ","3,980,560 ","178,402,848 ",44.8 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"32,185 ","4,992,027 ","541,335,213 ",108.4 
201206,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"8,918 ","6,477,611 ","356,233,016 ",55.0 
钦拌,钦拌,钦拌,钦拌,"2,852,807","4,099,752,678","413,847,155,897",100.9
,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201201,堡林堡开矫,堡魂备,啊肺殿,"4,219 ","2,102,988 ","191,152,449 ",90.9 
201201,堡林堡开矫,堡魂备,背腊侩,253 ,"4,602,527 ","512,989,493 ",111.5 
201201,堡林堡开矫,堡魂备,丑荤侩,"4,402 ","5,471,980 ","209,027,134 ",38.2 
201201,堡林堡开矫,堡魂备,魂诀侩,"2,327 ","165,954,819 ","17,667,014,739 ",106.5 
201201,堡林堡开矫,堡魂备,缴 具,"1,944 ","6,427,294 ","413,474,031 ",64.3 
