년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201201-201206,부산광역시,강서구,일반용,6366,103537557,6.44
201201-201206,부산광역시,강서구,합계,6234,1608068037,
201201-201206,부산광역시,금정구,일반용,14357,193882880,34.25
201201-201206,부산광역시,금정구,합계,16625,566002761,
201201-201206,부산광역시,기장군,일반용,6363,115454133,24.1
201201-201206,부산광역시,기장군,합계,6984,479086671,
201201-201206,부산광역시,남구,일반용,11489,175423522,24.66
201201-201206,부산광역시,남구,합계,16717,711365694,
201201-201206,부산광역시,동구,일반용,7481,145849372,52.65
201201-201206,부산광역시,동구,합계,8804,277004322,
201201-201206,부산광역시,동래구,일반용,15049,218974958,45.05
201201-201206,부산광역시,동래구,합계,15614,486089161,
201201-201206,부산광역시,부산진구,일반용,21795,419585620,47.99
201201-201206,부산광역시,부산진구,합계,22620,874248019,
201201-201206,부산광역시,북구,일반용,10180,167015868,37.33
201201-201206,부산광역시,북구,합계,12427,447392502,
201201-201206,부산광역시,사상구,일반용,13084,219507601,21.34
201201-201206,부산광역시,사상구,합계,12719,1028495882,
201201-201206,부산광역시,사하구,일반용,13872,206267480,13.24
201201-201206,부산광역시,사하구,합계,18093,1557782183,
201201-201206,부산광역시,서구,일반용,6528,102854324,35.52
201201-201206,부산광역시,서구,합계,10149,289528183,
201201-201206,부산광역시,수영구,일반용,9538,145674598,49.56
201201-201206,부산광역시,수영구,합계,11127,293932450,
201201-201206,부산광역시,연제구,일반용,10271,192141758,47.65
201201-201206,부산광역시,연제구,합계,11572,403247013,
201201-201206,부산광역시,영도구,일반용,5833,73177479,28.47
201201-201206,부산광역시,영도구,합계,9702,257073138,
201201-201206,부산광역시,중구,일반용,8891,173731062,76.78
201201-201206,부산광역시,중구,합계,5877,226266198,
201201-201206,부산광역시,해운대구,일반용,12920,425186152,46.27
201201-201206,부산광역시,해운대구,합계,14924,918828215,
