계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,울산광역시,전체(시 / 군 / 구),주택용,"273,520 ","129,836,945 ","17,006,573,875 ",131.0 
201201,울산광역시,전체(시 / 군 / 구),일반용,"62,020 ","180,972,191 ","21,075,959,410 ",116.5 
201201,울산광역시,전체(시 / 군 / 구),교육용,788 ,"13,919,244 ","1,524,580,750 ",109.5 
201201,울산광역시,전체(시 / 군 / 구),산업용,"5,437 ","2,121,309,227 ","194,171,894,424 ",91.5 
201201,울산광역시,전체(시 / 군 / 구),농사용,"8,689 ","8,129,667 ","346,836,301 ",42.7 
201201,울산광역시,전체(시 / 군 / 구),가로등,"26,960 ","5,595,740 ","504,716,581 ",90.2 
201201,울산광역시,전체(시 / 군 / 구),심 야,"9,235 ","32,495,902 ","2,103,349,613 ",64.7 
201202,울산광역시,전체(시 / 군 / 구),주택용,"274,277 ","130,845,453 ","17,272,112,957 ",132.0 
201202,울산광역시,전체(시 / 군 / 구),일반용,"62,351 ","179,615,311 ","21,401,451,911 ",119.2 
201202,울산광역시,전체(시 / 군 / 구),교육용,789 ,"14,213,466 ","1,601,466,543 ",112.7 
201202,울산광역시,전체(시 / 군 / 구),산업용,"5,457 ","2,026,454,227 ","192,317,466,938 ",94.9 
201202,울산광역시,전체(시 / 군 / 구),농사용,"8,714 ","8,391,512 ","359,489,427 ",42.8 
201202,울산광역시,전체(시 / 군 / 구),가로등,"27,050 ","5,197,173 ","490,851,031 ",94.4 
201202,울산광역시,전체(시 / 군 / 구),심 야,"9,216 ","33,561,189 ","2,170,933,493 ",64.7 
201203,울산광역시,전체(시 / 군 / 구),주택용,"274,921 ","119,238,748 ","14,309,138,088 ",120.0 
201203,울산광역시,전체(시 / 군 / 구),일반용,"62,541 ","161,612,116 ","17,851,611,215 ",110.5 
201203,울산광역시,전체(시 / 군 / 구),교육용,792 ,"13,961,388 ","1,374,909,216 ",98.5 
201203,울산광역시,전체(시 / 군 / 구),산업용,"5,484 ","2,153,786,677 ","160,393,319,686 ",74.5 
201203,울산광역시,전체(시 / 군 / 구),농사용,"9,769 ","7,041,536 ","307,334,153 ",43.6 
201203,울산광역시,전체(시 / 군 / 구),가로등,"27,120 ","4,777,154 ","461,263,399 ",96.6 
201203,울산광역시,전체(시 / 군 / 구),심 야,"9,196 ","27,808,333 ","1,606,186,900 ",57.8 
201204,울산광역시,전체(시 / 군 / 구),주택용,"275,835 ","120,450,949 ","14,462,461,514 ",120.1 
201204,울산광역시,전체(시 / 군 / 구),일반용,"62,775 ","149,800,446 ","15,057,197,201 ",100.5 
201204,울산광역시,전체(시 / 군 / 구),교육용,798 ,"12,046,609 ","1,211,617,998 ",100.6 
201204,울산광역시,전체(시 / 군 / 구),산업용,"5,533 ","2,029,215,499 ","151,642,886,126 ",74.7 
201204,울산광역시,전체(시 / 군 / 구),농사용,"8,895 ","5,986,648 ","266,854,027 ",44.6 
201204,울산광역시,전체(시 / 군 / 구),가로등,"27,160 ","4,523,767 ","460,046,156 ",101.7 
201204,울산광역시,전체(시 / 군 / 구),심 야,"9,155 ","22,763,227 ","1,070,376,724 ",47.0 
201205,울산광역시,전체(시 / 군 / 구),주택용,"276,948 ","110,752,807 ","12,363,356,896 ",111.6 
201205,울산광역시,전체(시 / 군 / 구),일반용,"62,992 ","136,160,204 ","14,162,951,339 ",104.0 
201205,울산광역시,전체(시 / 군 / 구),교육용,804 ,"9,747,897 ","1,089,627,875 ",111.8 
201205,울산광역시,전체(시 / 군 / 구),산업용,"5,575 ","2,158,177,667 ","161,594,285,195 ",74.9 
201205,울산광역시,전체(시 / 군 / 구),농사용,"9,001 ","4,976,095 ","229,568,553 ",46.1 
201205,울산광역시,전체(시 / 군 / 구),가로등,"27,285 ","4,138,711 ","438,486,026 ",105.9 
201205,울산광역시,전체(시 / 군 / 구),심 야,"9,131 ","13,283,178 ","630,793,360 ",47.5 
201206,울산광역시,전체(시 / 군 / 구),주택용,"278,232 ","110,482,005 ","12,221,716,171 ",110.6 
201206,울산광역시,전체(시 / 군 / 구),일반용,"63,100 ","142,459,538 ","14,579,780,810 ",102.3 
201206,울산광역시,전체(시 / 군 / 구),교육용,806 ,"9,754,215 ","1,087,615,004 ",111.5 
201206,울산광역시,전체(시 / 군 / 구),산업용,"5,618 ","2,113,658,145 ","160,132,611,882 ",75.8 
201206,울산광역시,전체(시 / 군 / 구),농사용,"9,148 ","5,420,246 ","240,609,966 ",44.4 
201206,울산광역시,전체(시 / 군 / 구),가로등,"27,408 ","4,020,820 ","440,001,237 ",109.4 
201206,울산광역시,전체(시 / 군 / 구),심 야,"9,077 ","8,450,105 ","399,768,574 ",47.3 
합계,합계,합계,합계,"2,339,602","14,555,031,977","1,232,434,058,545",84.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,울산광역시,남구,가로등,"7,335 ","1,347,887 ","126,406,092 ",93.8 
201201,울산광역시,남구,교육용,195 ,"4,400,561 ","481,001,287 ",109.3 
201201,울산광역시,남구,농사용,168 ,"74,881 ","3,324,475 ",44.4 
201201,울산광역시,남구,산업용,"1,139 ","1,047,983,148 ","94,624,089,535 ",90.3 
201201,울산광역시,남구,심 야,"2,415 ","8,060,786 ","529,511,412 ",65.7 
201201,울산광역시,남구,일반용,"23,804 ","74,399,247 ","8,670,879,819 ",116.5 
201201,울산광역시,남구,주택용,"88,545 ","40,617,793 ","5,350,552,559 ",131.7 
201201,울산광역시,남구,합계,"123,601 ","1,176,884,303 ","109,785,765,179 ",93.3 
201201,울산광역시,동구,가로등,"2,800 ","596,067 ","51,966,729 ",87.2 
201201,울산광역시,동구,교육용,119 ,"1,822,554 ","204,416,088 ",112.2 
201201,울산광역시,동구,농사용,116 ,"128,460 ","5,589,883 ",43.5 
201201,울산광역시,동구,산업용,281 ,"102,699,337 ","10,725,994,752 ",104.4 
201201,울산광역시,동구,심 야,484 ,"2,126,511 ","140,360,054 ",66 
201201,울산광역시,동구,일반용,"7,339 ","21,729,851 ","2,518,309,869 ",115.9 
201201,울산광역시,동구,주택용,"38,804 ","18,778,874 ","2,448,103,767 ",130.4 
201201,울산광역시,동구,합계,"49,943 ","147,881,654 ","16,094,741,142 ",108.8 
201201,울산광역시,북구,가로등,"3,693 ","1,062,004 ","96,608,177 ",91 
201201,울산광역시,북구,교육용,143 ,"1,801,888 ","213,483,349 ",118.5 
201201,울산광역시,북구,농사용,"1,280 ","1,320,375 ","57,284,724 ",43.4 
201201,울산광역시,북구,산업용,"1,012 ","156,278,676 ","15,501,265,657 ",99.2 
201201,울산광역시,북구,심 야,"1,124 ","3,874,366 ","251,554,189 ",64.9 
201201,울산광역시,북구,일반용,"6,897 ","22,894,738 ","2,646,895,383 ",115.6 
201201,울산광역시,북구,주택용,"26,529 ","20,644,483 ","2,640,973,583 ",127.9 
201201,울산광역시,북구,합계,"40,678 ","207,876,530 ","21,408,065,062 ",103 
201201,울산광역시,울주군,가로등,"8,658 ","1,663,307 ","149,182,688 ",89.7 
201201,울산광역시,울주군,교육용,192 ,"4,265,165 ","433,085,661 ",101.5 
201201,울산광역시,울주군,농사용,"6,672 ","6,412,795 ","271,216,947 ",42.3 
201201,울산광역시,울주군,산업용,"2,515 ","812,452,946 ","73,098,305,090 ",90 
201201,울산광역시,울주군,심 야,"4,260 ","15,072,778 ","963,828,849 ",63.9 
201201,울산광역시,울주군,일반용,"12,053 ","34,567,919 ","4,021,964,985 ",116.3 
201201,울산광역시,울주군,주택용,"55,734 ","22,957,762 ","2,925,511,703 ",127.4 
201201,울산광역시,울주군,합계,"90,084 ","897,392,672 ","81,863,095,923 ",91.2 
201201,울산광역시,중구,가로등,"4,474 ","926,475 ","80,552,895 ",86.9 
201201,울산광역시,중구,교육용,139 ,"1,629,076 ","192,594,365 ",118.2 
201201,울산광역시,중구,농사용,453 ,"193,156 ","9,420,272 ",48.8 
201201,울산광역시,중구,산업용,490 ,"1,895,120 ","222,239,390 ",117.3 
201201,울산광역시,중구,심 야,952 ,"3,361,461 ","218,095,109 ",64.9 
201201,울산광역시,중구,일반용,"11,927 ","27,380,436 ","3,217,909,354 ",117.5 
201201,울산광역시,중구,주택용,"63,908 ","26,838,033 ","3,641,432,263 ",135.7 
201201,울산광역시,중구,합계,"82,343 ","62,223,757 ","7,582,243,648 ",121.9 
201202,울산광역시,남구,가로등,"7,353 ","1,264,297 ","122,316,110 ",96.7 
201202,울산광역시,남구,교육용,196 ,"4,477,271 ","503,571,178 ",112.5 
201202,울산광역시,남구,농사용,167 ,"77,658 ","3,467,779 ",44.7 
201202,울산광역시,남구,산업용,"1,142 ","992,387,822 ","93,091,535,290 ",93.8 
201202,울산광역시,남구,심 야,"2,412 ","8,345,807 ","547,448,133 ",65.6 
201202,울산광역시,남구,일반용,"23,842 ","73,421,002 ","8,786,493,302 ",119.7 
201202,울산광역시,남구,주택용,"88,804 ","40,890,431 ","5,440,100,265 ",133 
201202,울산광역시,남구,합계,"123,916 ","1,120,864,288 ","108,494,932,057 ",96.8 
201202,울산광역시,동구,가로등,"2,805 ","547,227 ","51,088,293 ",93.4 
201202,울산광역시,동구,교육용,119 ,"1,721,680 ","201,532,683 ",117.1 
201202,울산광역시,동구,농사용,115 ,"104,078 ","4,682,797 ",45 
201202,울산광역시,동구,산업용,282 ,"106,774,356 ","11,210,277,868 ",105 
201202,울산광역시,동구,심 야,477 ,"2,148,696 ","141,362,168 ",65.8 
201202,울산광역시,동구,일반용,"7,381 ","21,416,694 ","2,531,494,228 ",118.2 
201202,울산광역시,동구,주택용,"38,890 ","18,926,143 ","2,478,874,512 ",131 
201202,울산광역시,동구,합계,"50,069 ","151,638,874 ","16,619,312,549 ",109.6 
201202,울산광역시,북구,가로등,"3,700 ","1,004,908 ","94,313,509 ",93.9 
201202,울산광역시,북구,교육용,143 ,"1,987,695 ","235,043,941 ",118.2 
201202,울산광역시,북구,농사용,"1,286 ","1,383,590 ","61,040,254 ",44.1 
201202,울산광역시,북구,산업용,"1,011 ","170,455,531 ","16,794,171,337 ",98.5 
201202,울산광역시,북구,심 야,"1,123 ","3,999,925 ","259,686,195 ",64.9 
