계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,인천광역시,전체(시 / 군 / 구),주택용,"662,914 ","324,372,831 ","42,069,256,183 ",129.7 
201201,인천광역시,전체(시 / 군 / 구),일반용,"121,876 ","498,914,126 ","40,229,596,931 ",80.6 
201201,인천광역시,전체(시 / 군 / 구),교육용,"1,635 ","32,113,381 ","3,482,211,965 ",108.4 
201201,인천광역시,전체(시 / 군 / 구),산업용,"16,939 ","1,123,990,657 ","100,598,052,858 ",89.5 
201201,인천광역시,전체(시 / 군 / 구),농사용,"17,401 ","7,594,893 ","345,792,991 ",45.5 
201201,인천광역시,전체(시 / 군 / 구),가로등,"41,797 ","15,129,259 ","1,386,157,690 ",91.6 
201201,인천광역시,전체(시 / 군 / 구),심 야,"20,315 ","68,077,200 ","4,443,120,988 ",65.3 
201202,인천광역시,전체(시 / 군 / 구),주택용,"664,166 ","326,771,981 ","42,496,169,373 ",130.0 
201202,인천광역시,전체(시 / 군 / 구),일반용,"121,883 ","489,619,376 ","56,181,625,655 ",114.7 
201202,인천광역시,전체(시 / 군 / 구),교육용,"1,639 ","35,241,948 ","3,942,950,097 ",111.9 
201202,인천광역시,전체(시 / 군 / 구),산업용,"16,945 ","1,126,149,159 ","115,094,786,119 ",102.2 
201202,인천광역시,전체(시 / 군 / 구),농사용,"17,377 ","7,648,116 ","351,324,342 ",45.9 
201202,인천광역시,전체(시 / 군 / 구),가로등,"42,152 ","14,412,759 ","1,363,811,624 ",94.6 
201202,인천광역시,전체(시 / 군 / 구),심 야,"20,256 ","70,633,107 ","4,612,442,619 ",65.3 
201203,인천광역시,전체(시 / 군 / 구),주택용,"665,458 ","294,381,137 ","34,362,846,019 ",116.7 
201203,인천광역시,전체(시 / 군 / 구),일반용,"121,920 ","428,232,835 ","44,410,748,086 ",103.7 
201203,인천광역시,전체(시 / 군 / 구),교육용,"1,643 ","34,145,436 ","3,194,732,093 ",93.6 
201203,인천광역시,전체(시 / 군 / 구),산업용,"16,991 ","1,104,673,439 ","94,104,900,961 ",85.2 
201203,인천광역시,전체(시 / 군 / 구),농사용,"24,351 ","7,261,295 ","336,496,619 ",46.3 
201203,인천광역시,전체(시 / 군 / 구),가로등,"42,346 ","13,122,955 ","1,264,475,218 ",96.4 
201203,인천광역시,전체(시 / 군 / 구),심 야,"20,205 ","56,385,796 ","3,277,942,804 ",58.1 
201204,인천광역시,전체(시 / 군 / 구),주택용,"666,614 ","300,346,875 ","35,589,338,098 ",118.5 
201204,인천광역시,전체(시 / 군 / 구),일반용,"122,078 ","395,936,909 ","38,158,548,853 ",96.4 
201204,인천광역시,전체(시 / 군 / 구),교육용,"1,652 ","23,862,454 ","2,636,415,057 ",110.5 
201204,인천광역시,전체(시 / 군 / 구),산업용,"17,024 ","1,061,674,140 ","88,546,920,171 ",83.4 
201204,인천광역시,전체(시 / 군 / 구),농사용,"21,918 ","7,011,282 ","328,374,256 ",46.8 
