계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 01 월 ~ 2012년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,충청남도,전체(시 / 군 / 구),주택용,"665,627 ","236,503,035 ","30,106,942,001 ",127.3 
201201,충청남도,전체(시 / 군 / 구),일반용,"138,548 ","402,391,909 ","45,914,510,793 ",114.1 
201201,충청남도,전체(시 / 군 / 구),교육용,"1,689 ","50,018,772 ","5,159,287,902 ",103.1 
201201,충청남도,전체(시 / 군 / 구),산업용,"18,329 ","2,777,649,818 ","263,183,203,125 ",94.8 
201201,충청남도,전체(시 / 군 / 구),농사용,"146,700 ","145,043,310 ","6,187,755,564 ",42.7 
201201,충청남도,전체(시 / 군 / 구),가로등,"113,477 ","15,944,899 ","1,388,586,123 ",87.1 
201201,충청남도,전체(시 / 군 / 구),심 야,"104,950 ","326,774,408 ","21,208,618,673 ",64.9 
201202,충청남도,전체(시 / 군 / 구),주택용,"668,150 ","241,049,345 ","31,010,130,696 ",128.6 
201202,충청남도,전체(시 / 군 / 구),일반용,"138,865 ","397,905,190 ","46,231,107,472 ",116.2 
201202,충청남도,전체(시 / 군 / 구),교육용,"1,688 ","46,414,787 ","4,948,146,880 ",106.6 
201202,충청남도,전체(시 / 군 / 구),산업용,"18,348 ","2,683,664,545 ","262,320,276,471 ",97.7 
201202,충청남도,전체(시 / 군 / 구),농사용,"146,861 ","157,192,775 ","6,669,651,352 ",42.4 
201202,충청남도,전체(시 / 군 / 구),가로등,"114,000 ","14,798,579 ","1,371,537,994 ",92.7 
201202,충청남도,전체(시 / 군 / 구),심 야,"104,923 ","335,978,049 ","21,810,752,522 ",64.9 
201203,충청남도,전체(시 / 군 / 구),주택용,"667,687 ","217,086,513 ","25,085,692,554 ",115.6 
201203,충청남도,전체(시 / 군 / 구),일반용,"141,379 ","352,496,165 ","38,397,863,979 ",108.9 
201203,충청남도,전체(시 / 군 / 구),교육용,"1,688 ","46,709,771 ","4,346,075,464 ",93.0 
201203,충청남도,전체(시 / 군 / 구),산업용,"18,380 ","2,887,761,579 ","224,163,508,983 ",77.6 
201203,충청남도,전체(시 / 군 / 구),농사용,"256,793 ","153,339,675 ","6,536,256,102 ",42.6 
201203,충청남도,전체(시 / 군 / 구),가로등,"114,231 ","13,836,617 ","1,309,112,789 ",94.6 
201203,충청남도,전체(시 / 군 / 구),심 야,"104,875 ","273,443,095 ","15,688,477,103 ",57.4 
201204,충청남도,전체(시 / 군 / 구),주택용,"668,452 ","221,314,032 ","25,768,069,692 ",116.4 
201204,충청남도,전체(시 / 군 / 구),일반용,"142,313 ","331,644,513 ","32,867,094,345 ",99.1 
201204,충청남도,전체(시 / 군 / 구),교육용,"1,705 ","41,534,959 ","3,750,456,498 ",90.3 
201204,충청남도,전체(시 / 군 / 구),산업용,"18,420 ","2,796,588,669 ","215,523,825,005 ",77.1 
201204,충청남도,전체(시 / 군 / 구),농사용,"148,699 ","125,242,486 ","5,472,295,537 ",43.7 
201204,충청남도,전체(시 / 군 / 구),가로등,"114,567 ","13,019,423 ","1,317,835,664 ",101.2 
201204,충청남도,전체(시 / 군 / 구),심 야,"104,805 ","229,779,724 ","10,821,758,873 ",47.1 
201205,충청남도,전체(시 / 군 / 구),주택용,"670,939 ","202,553,176 ","21,656,250,185 ",106.9 
201205,충청남도,전체(시 / 군 / 구),일반용,"142,980 ","286,546,256 ","30,251,349,990 ",105.6 
