계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,강원도,전체(시 / 군 / 구),주택용,"509,066 ","149,827,131 ","15,694,515,060 ",104.8 
201207,강원도,전체(시 / 군 / 구),일반용,"120,807 ","291,064,554 ","34,534,057,270 ",118.6 
201207,강원도,전체(시 / 군 / 구),교육용,"1,532 ","19,147,255 ","2,278,461,199 ",119.0 
201207,강원도,전체(시 / 군 / 구),산업용,"11,454 ","602,175,744 ","59,179,825,035 ",98.3 
201207,강원도,전체(시 / 군 / 구),농사용,"68,541 ","31,012,645 ","1,422,250,672 ",45.9 
201207,강원도,전체(시 / 군 / 구),가로등,"89,527 ","12,815,369 ","1,336,885,362 ",104.3 
201207,강원도,전체(시 / 군 / 구),심 야,"96,598 ","51,781,406 ","2,465,864,062 ",47.6 
201208,강원도,전체(시 / 군 / 구),주택용,"509,655 ","172,152,684 ","21,283,699,920 ",123.6 
201208,강원도,전체(시 / 군 / 구),일반용,"121,633 ","342,276,473 ","44,891,553,753 ",131.2 
201208,강원도,전체(시 / 군 / 구),교육용,"1,534 ","19,524,336 ","2,669,725,714 ",136.7 
201208,강원도,전체(시 / 군 / 구),산업용,"11,451 ","557,897,312 ","57,623,638,877 ",103.3 
201208,강원도,전체(시 / 군 / 구),농사용,"69,459 ","38,327,346 ","1,730,706,636 ",45.2 
201208,강원도,전체(시 / 군 / 구),가로등,"89,864 ","13,124,619 ","1,347,010,198 ",102.6 
201208,강원도,전체(시 / 군 / 구),심 야,"96,499 ","43,953,698 ","2,147,514,835 ",48.9 
201209,강원도,전체(시 / 군 / 구),주택용,"510,728 ","163,008,945 ","19,123,143,489 ",117.3 
201209,강원도,전체(시 / 군 / 구),일반용,"122,343 ","293,260,549 ","35,905,559,848 ",122.4 
201209,강원도,전체(시 / 군 / 구),교육용,"1,532 ","20,028,837 ","2,465,951,586 ",123.1 
201209,강원도,전체(시 / 군 / 구),산업용,"11,488 ","548,144,972 ","47,263,051,441 ",86.2 
201209,강원도,전체(시 / 군 / 구),농사용,"70,792 ","44,658,159 ","2,054,858,780 ",46.0 
201209,강원도,전체(시 / 군 / 구),가로등,"90,042 ","13,283,494 ","1,377,794,892 ",103.7 
201209,강원도,전체(시 / 군 / 구),심 야,"96,460 ","55,126,357 ","2,761,779,357 ",50.1 
201210,강원도,전체(시 / 군 / 구),주택용,"511,444 ","151,320,376 ","16,482,377,692 ",108.9 
201210,강원도,전체(시 / 군 / 구),일반용,"123,031 ","262,559,026 ","29,116,326,660 ",110.9 
201210,강원도,전체(시 / 군 / 구),교육용,"1,527 ","17,473,563 ","1,956,838,263 ",112.0 
201210,강원도,전체(시 / 군 / 구),산업용,"11,588 ","581,388,466 ","48,256,848,625 ",83.0 
201210,강원도,전체(시 / 군 / 구),농사용,"71,543 ","37,955,818 ","1,809,375,651 ",47.7 
201210,강원도,전체(시 / 군 / 구),가로등,"90,270 ","14,305,726 ","1,404,050,937 ",98.1 
201210,강원도,전체(시 / 군 / 구),심 야,"96,493 ","95,782,343 ","4,734,349,600 ",49.4 
201211,강원도,전체(시 / 군 / 구),주택용,"511,744 ","163,840,554 ","19,795,857,284 ",120.8 
201211,강원도,전체(시 / 군 / 구),일반용,"124,044 ","304,571,969 ","35,326,255,431 ",116.0 
201211,강원도,전체(시 / 군 / 구),교육용,"1,516 ","23,661,893 ","2,586,337,671 ",109.3 
201211,강원도,전체(시 / 군 / 구),산업용,"11,517 ","581,731,734 ","59,750,179,141 ",102.7 
201211,강원도,전체(시 / 군 / 구),농사용,"94,039 ","50,291,792 ","2,065,724,958 ",41.1 
201211,강원도,전체(시 / 군 / 구),가로등,"90,458 ","15,075,375 ","1,454,009,108 ",96.4 
201211,강원도,전체(시 / 군 / 구),심 야,"96,500 ","183,236,635 ","10,464,708,055 ",57.1 
201212,강원도,전체(시 / 군 / 구),주택용,"511,654 ","170,872,431 ","20,500,261,310 ",120.0 
