년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,경상남도,거제시,일반용,15021,206166298,20.06
201207-201212,경상남도,거제시,합계,16963,1027728351,
201207-201212,경상남도,거창군,일반용,4581,46023465,23.87
201207-201212,경상남도,거창군,합계,8337,192771344,
201207-201212,경상남도,고성군,일반용,4223,44646358,16.06
201207-201212,경상남도,고성군,합계,7877,278058667,
201207-201212,경상남도,김해시,일반용,25827,409273050,16.98
201207-201212,경상남도,김해시,합계,28812,2410925809,
201207-201212,경상남도,남해군,일반용,4342,42674456,34.65
201207-201212,경상남도,남해군,합계,7693,123150113,
201207-201212,경상남도,밀양시,일반용,8259,79961341,18.45
201207-201212,경상남도,밀양시,합계,14693,433475131,
201207-201212,경상남도,사천시,일반용,8548,102812665,17.34
201207-201212,경상남도,사천시,합계,11338,592838295,
201207-201212,경상남도,산청군,일반용,3126,26405740,22.57
201207-201212,경상남도,산청군,합계,6098,116996553,
201207-201212,경상남도,양산시,일반용,14571,238187954,14.7
201207-201212,경상남도,양산시,합계,15115,1619978785,
201207-201212,경상남도,의령군,일반용,2168,18468685,9.71
201207-201212,경상남도,의령군,합계,5067,190273450,
201207-201212,경상남도,진주시,일반용,22490,294262103,28.06
201207-201212,경상남도,진주시,합계,28831,1048867174,
201207-201212,경상남도,창녕군,일반용,5066,57779449,18.33
201207-201212,경상남도,창녕군,합계,9148,315295486,
201207-201212,경상남도,창원시,일반용,53260,941313506,17.32
201207-201212,경상남도,창원시,합계,73288,5433686531,
201207-201212,경상남도,통영시,일반용,9819,135335379,22.57
201207-201212,경상남도,통영시,합계,12540,599736369,
201207-201212,경상남도,하동군,일반용,3933,35747593,25.31
201207-201212,경상남도,하동군,합계,7862,141230722,
201207-201212,경상남도,함안군,일반용,4702,52146227,4.45
201207-201212,경상남도,함안군,합계,7910,1171938235,
201207-201212,경상남도,함양군,일반용,3295,28224752,23.98
201207-201212,경상남도,함양군,합계,6219,117716841,
201207-201212,경상남도,합천군,일반용,3641,33508718,20.7
201207-201212,경상남도,합천군,합계,7593,161879372,
