년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,경상북도,경산시,일반용,14633,191612544,14.7
201207-201212,경상북도,경산시,합계,22270,1303150222,
201207-201212,경상북도,경주시,일반용,21911,312225288,16.64
201207-201212,경상북도,경주시,합계,28993,1876587671,
201207-201212,경상북도,고령군,일반용,2666,23700139,4.6
201207-201212,경상북도,고령군,합계,4624,515752873,
201207-201212,경상북도,구미시,일반용,24866,346054573,6.33
201207-201212,경상북도,구미시,합계,28840,5467708341,
201207-201212,경상북도,군위군,일반용,1731,19253843,13.61
201207-201212,경상북도,군위군,합계,4319,141468297,
201207-201212,경상북도,김천시,일반용,8712,92130045,9.88
201207-201212,경상북도,김천시,합계,15360,932294001,
201207-201212,경상북도,문경시,일반용,5837,66014951,24.32
201207-201212,경상북도,문경시,합계,9496,271452788,
201207-201212,경상북도,봉화군,일반용,2593,21600072,2.34
201207-201212,경상북도,봉화군,합계,6388,923641742,
201207-201212,경상북도,상주시,일반용,6980,72909349,22.86
201207-201212,경상북도,상주시,합계,15178,318974416,
201207-201212,경상북도,성주군,일반용,3500,33714210,9.25
201207-201212,경상북도,성주군,합계,7370,364537730,
201207-201212,경상북도,안동시,일반용,11716,164928917,35.08
201207-201212,경상북도,안동시,합계,18184,470195922,
201207-201212,경상북도,영덕군,일반용,4596,50824424,38.18
201207-201212,경상북도,영덕군,합계,6288,133134688,
201207-201212,경상북도,영양군,일반용,1444,10766268,21.99
201207-201212,경상북도,영양군,합계,3748,48968398,
201207-201212,경상북도,영주시,일반용,8319,86839254,14.81
201207-201212,경상북도,영주시,합계,12097,586195291,
201207-201212,경상북도,영천시,일반용,7106,80792098,12.22
201207-201212,경상북도,영천시,합계,12583,661408346,
201207-201212,경상북도,예천군,일반용,2992,31249126,23.39
201207-201212,경상북도,예천군,합계,8588,133591073,
201207-201212,경상북도,울릉군,일반용,1397,14115225,55.9
201207-201212,경상북도,울릉군,합계,1190,25249519,
201207-201212,경상북도,울진군,일반용,4635,59655655,23.29
201207-201212,경상북도,울진군,합계,7611,256173131,
201207-201212,경상북도,의성군,일반용,3819,35100205,18.49
201207-201212,경상북도,의성군,합계,10749,189788462,
201207-201212,경상북도,청도군,일반용,3336,34395548,16.26
201207-201212,경상북도,청도군,합계,8241,211586872,
201207-201212,경상북도,청송군,일반용,2524,26478421,31.87
201207-201212,경상북도,청송군,합계,5624,83089566,
201207-201212,경상북도,칠곡군,일반용,8587,122820675,11.62
201207-201212,경상북도,칠곡군,합계,11205,1056597938,
201207-201212,경상북도,포항시,일반용,35520,466376153,7.79
201207-201212,경상북도,포항시,합계,39103,5983111007,
