계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,대전광역시,전체(시 / 군 / 구),주택용,"382,342 ","153,924,106 ","16,429,914,998 ",106.7 
201207,대전광역시,전체(시 / 군 / 구),일반용,"72,122 ","276,759,379 ","31,384,255,218 ",113.4 
201207,대전광역시,전체(시 / 군 / 구),교육용,979 ,"29,032,037 ","3,068,113,995 ",105.7 
201207,대전광역시,전체(시 / 군 / 구),산업용,"4,974 ","274,500,800 ","27,485,413,520 ",100.1 
201207,대전광역시,전체(시 / 군 / 구),농사용,"5,466 ","1,894,117 ","93,379,407 ",49.3 
201207,대전광역시,전체(시 / 군 / 구),가로등,"13,027 ","4,839,141 ","518,573,487 ",107.2 
201207,대전광역시,전체(시 / 군 / 구),심 야,"20,332 ","11,208,200 ","626,698,261 ",55.9 
201208,대전광역시,전체(시 / 군 / 구),주택용,"383,184 ","192,859,857 ","26,790,779,961 ",138.9 
201208,대전광역시,전체(시 / 군 / 구),일반용,"72,252 ","319,896,630 ","40,677,659,861 ",127.2 
201208,대전광역시,전체(시 / 군 / 구),교육용,981 ,"30,632,258 ","3,589,233,127 ",117.2 
201208,대전광역시,전체(시 / 군 / 구),산업용,"4,986 ","273,648,807 ","29,465,116,353 ",107.7 
201208,대전광역시,전체(시 / 군 / 구),농사용,"5,504 ","2,623,266 ","121,710,567 ",46.4 
201208,대전광역시,전체(시 / 군 / 구),가로등,"13,158 ","5,112,821 ","538,286,501 ",105.3 
201208,대전광역시,전체(시 / 군 / 구),심 야,"20,266 ","10,954,852 ","632,213,517 ",57.7 
201209,대전광역시,전체(시 / 군 / 구),주택용,"384,186 ","165,577,030 ","19,699,683,779 ",119.0 
201209,대전광역시,전체(시 / 군 / 구),일반용,"72,274 ","275,563,600 ","31,914,904,167 ",115.8 
201209,대전광역시,전체(시 / 군 / 구),교육용,980 ,"27,128,110 ","2,830,315,696 ",104.3 
201209,대전광역시,전체(시 / 군 / 구),산업용,"5,012 ","263,069,456 ","23,523,805,653 ",89.4 
201209,대전광역시,전체(시 / 군 / 구),농사용,"5,547 ","2,335,615 ","114,060,785 ",48.8 
201209,대전광역시,전체(시 / 군 / 구),가로등,"13,172 ","5,415,356 ","573,762,092 ",106.0 
201209,대전광역시,전체(시 / 군 / 구),심 야,"20,238 ","9,706,445 ","544,882,584 ",56.1 
201210,대전광역시,전체(시 / 군 / 구),주택용,"384,898 ","145,226,200 ","15,232,221,547 ",104.9 
201210,대전광역시,전체(시 / 군 / 구),일반용,"72,333 ","226,234,231 ","23,734,251,851 ",104.9 
201210,대전광역시,전체(시 / 군 / 구),교육용,980 ,"22,802,985 ","2,236,289,461 ",98.1 
201210,대전광역시,전체(시 / 군 / 구),산업용,"5,017 ","250,155,254 ","22,004,573,235 ",88.0 
201210,대전광역시,전체(시 / 군 / 구),농사용,"5,573 ","1,689,283 ","89,657,526 ",53.1 
201210,대전광역시,전체(시 / 군 / 구),가로등,"13,257 ","5,872,538 ","596,659,609 ",101.6 
201210,대전광역시,전체(시 / 군 / 구),심 야,"20,201 ","12,639,264 ","661,459,899 ",52.3 
201211,대전광역시,전체(시 / 군 / 구),주택용,"385,746 ","157,547,284 ","17,883,144,034 ",113.5 
201211,대전광역시,전체(시 / 군 / 구),일반용,"72,598 ","240,248,698 ","28,412,139,563 ",118.3 
201211,대전광역시,전체(시 / 군 / 구),교육용,984 ,"26,950,432 ","2,888,064,353 ",107.2 
201211,대전광역시,전체(시 / 군 / 구),산업용,"5,030 ","259,876,206 ","28,143,953,765 ",108.3 
201211,대전광역시,전체(시 / 군 / 구),농사용,"7,177 ","2,922,455 ","118,177,076 ",40.4 
201211,대전광역시,전체(시 / 군 / 구),가로등,"13,311 ","6,506,561 ","643,210,738 ",98.9 
201211,대전광역시,전체(시 / 군 / 구),심 야,"20,214 ","27,416,001 ","1,616,222,877 ",59.0 
201212,대전광역시,전체(시 / 군 / 구),주택용,"386,668 ","165,212,421 ","19,612,707,090 ",118.7 
201212,대전광역시,전체(시 / 군 / 구),일반용,"72,908 ","282,365,986 ","34,726,143,643 ",123.0 
201212,대전광역시,전체(시 / 군 / 구),교육용,987 ,"36,659,172 ","3,838,477,393 ",104.7 
201212,대전광역시,전체(시 / 군 / 구),산업용,"5,030 ","269,464,772 ","28,323,794,522 ",105.1 
201212,대전광역시,전체(시 / 군 / 구),농사용,"5,551 ","2,564,328 ","122,125,874 ",47.6 
201212,대전광역시,전체(시 / 군 / 구),가로등,"13,450 ","6,655,327 ","645,694,360 ",97.0 
201212,대전광역시,전체(시 / 군 / 구),심 야,"20,197 ","45,786,148 ","3,107,891,556 ",67.9 
합계,합계,합계,합계,"3,013,092","4,531,477,429","495,259,623,501",109.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,대전광역시,대덕구,가로등,"1,285 ","702,518 ","75,628,069 ",107.7 
201207,대전광역시,대덕구,교육용,149 ,"1,840,600 ","219,222,989 ",119.1 
201207,대전광역시,대덕구,농사용,499 ,"338,240 ","14,961,409 ",44.2 
201207,대전광역시,대덕구,산업용,"1,613 ","192,546,936 ","19,163,375,834 ",99.5 
201207,대전광역시,대덕구,심 야,"2,885 ","910,185 ","43,698,164 ",48 
201207,대전광역시,대덕구,일반용,"11,685 ","27,013,196 ","2,987,099,856 ",110.6 
201207,대전광역시,대덕구,주택용,"56,661 ","20,546,621 ","1,984,395,142 ",96.6 
201207,대전광역시,대덕구,합계,"74,777 ","243,898,296 ","24,488,381,463 ",100.4 
201207,대전광역시,동구,가로등,"1,807 ","794,893 ","85,094,982 ",107.1 
201207,대전광역시,동구,교육용,187 ,"3,589,455 ","392,345,462 ",109.3 
201207,대전광역시,동구,농사용,"1,198 ","221,699 ","11,641,994 ",52.5 
201207,대전광역시,동구,산업용,"1,209 ","6,590,038 ","684,245,031 ",103.8 
201207,대전광역시,동구,심 야,"5,610 ","1,699,791 ","86,255,642 ",50.7 
201207,대전광역시,동구,일반용,"13,552 ","32,406,244 ","3,716,286,744 ",114.7 
201207,대전광역시,동구,주택용,"81,834 ","25,051,463 ","2,567,805,796 ",102.5 
201207,대전광역시,동구,합계,"105,397 ","70,353,583 ","7,543,675,651 ",107.2 
201207,대전광역시,서구,가로등,"1,265 ","1,358,852 ","137,006,562 ",100.8 
201207,대전광역시,서구,교육용,280 ,"4,567,503 ","531,103,093 ",116.3 
201207,대전광역시,서구,농사용,913 ,"290,224 ","15,399,264 ",53.1 
201207,대전광역시,서구,산업용,706 ,"4,936,195 ","527,691,649 ",106.9 
201207,대전광역시,서구,심 야,"4,660 ","3,128,026 ","176,729,839 ",56.5 
201207,대전광역시,서구,일반용,"19,068 ","83,900,757 ","9,365,891,404 ",111.6 
201207,대전광역시,서구,주택용,"115,265 ","49,475,195 ","5,246,425,178 ",106 
201207,대전광역시,서구,합계,"142,157 ","147,656,752 ","16,000,246,989 ",108.4 
201207,대전광역시,유성구,가로등,"1,542 ","1,211,561 ","139,653,696 ",115.3 
201207,대전광역시,유성구,교육용,190 ,"17,094,229 ","1,694,651,604 ",99.1 
201207,대전광역시,유성구,농사용,"2,371 ","951,695 ","46,494,840 ",48.9 
201207,대전광역시,유성구,산업용,890 ,"67,083,758 ","6,743,200,519 ",100.5 
201207,대전광역시,유성구,심 야,"2,860 ","3,111,998 ","197,899,617 ",63.6 
201207,대전광역시,유성구,일반용,"12,654 ","86,067,988 ","9,700,258,185 ",112.7 
201207,대전광역시,유성구,주택용,"61,439 ","32,752,659 ","3,743,096,694 ",114.3 
201207,대전광역시,유성구,합계,"81,946 ","208,273,888 ","22,265,255,155 ",106.9 
201207,대전광역시,중구,가로등,"7,128 ","771,317 ","81,190,178 ",105.3 
201207,대전광역시,중구,교육용,173 ,"1,940,250 ","230,790,847 ",118.9 
201207,대전광역시,중구,농사용,485 ,"92,259 ","4,881,900 ",52.9 
201207,대전광역시,중구,산업용,556 ,"3,343,873 ","366,900,487 ",109.7 
201207,대전광역시,중구,심 야,"4,317 ","2,358,200 ","122,114,999 ",51.8 
201207,대전광역시,중구,일반용,"15,163 ","47,371,194 ","5,614,719,029 ",118.5 
201207,대전광역시,중구,주택용,"67,143 ","26,098,168 ","2,888,192,188 ",110.7 
201207,대전광역시,중구,합계,"94,965 ","81,975,261 ","9,308,789,628 ",113.6 
201208,대전광역시,대덕구,가로등,"1,304 ","728,813 ","76,501,584 ",105 
201208,대전광역시,대덕구,교육용,149 ,"1,908,353 ","265,893,969 ",139.3 
201208,대전광역시,대덕구,농사용,507 ,"403,228 ","17,408,899 ",43.2 
201208,대전광역시,대덕구,산업용,"1,615 ","184,417,165 ","19,884,495,346 ",107.8 
201208,대전광역시,대덕구,심 야,"2,864 ","778,435 ","38,294,520 ",49.2 
201208,대전광역시,대덕구,일반용,"11,705 ","31,907,428 ","4,184,975,045 ",131.2 
201208,대전광역시,대덕구,주택용,"56,695 ","24,170,691 ","3,116,619,462 ",128.9 
