계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2012년 07 월 ~ 2012년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201207,부산광역시,전체(시 / 군 / 구),주택용,"900,934 ","353,877,057 ","40,179,961,768 ",113.5 
201207,부산광역시,전체(시 / 군 / 구),일반용,"174,807 ","520,765,719 ","61,000,897,319 ",117.1 
201207,부산광역시,전체(시 / 군 / 구),교육용,"2,100 ","35,864,213 ","4,201,780,545 ",117.2 
201207,부산광역시,전체(시 / 군 / 구),산업용,"23,278 ","720,218,289 ","77,379,456,269 ",107.4 
201207,부산광역시,전체(시 / 군 / 구),농사용,"8,348 ","5,822,063 ","271,858,788 ",46.7 
201207,부산광역시,전체(시 / 군 / 구),가로등,"71,399 ","12,588,687 ","1,275,508,324 ",101.3 
201207,부산광역시,전체(시 / 군 / 구),심 야,"27,457 ","21,999,479 ","1,141,482,903 ",51.9 
201208,부산광역시,전체(시 / 군 / 구),주택용,"902,549 ","447,662,601 ","67,136,652,980 ",150.0 
201208,부산광역시,전체(시 / 군 / 구),일반용,"175,164 ","630,809,539 ","81,165,758,316 ",128.7 
201208,부산광역시,전체(시 / 군 / 구),교육용,"2,096 ","41,676,778 ","5,283,990,296 ",126.8 
201208,부산광역시,전체(시 / 군 / 구),산업용,"23,312 ","708,081,660 ","82,193,335,528 ",116.1 
201208,부산광역시,전체(시 / 군 / 구),농사용,"8,410 ","8,672,673 ","352,485,015 ",40.6 
201208,부산광역시,전체(시 / 군 / 구),가로등,"71,843 ","12,765,294 ","1,287,614,685 ",100.9 
201208,부산광역시,전체(시 / 군 / 구),심 야,"27,347 ","19,571,278 ","1,086,911,411 ",55.5 
201209,부산광역시,전체(시 / 군 / 구),주택용,"903,791 ","391,651,690 ","50,193,896,151 ",128.2 
201209,부산광역시,전체(시 / 군 / 구),일반용,"175,189 ","556,845,717 ","64,161,550,336 ",115.2 
201209,부산광역시,전체(시 / 군 / 구),교육용,"2,100 ","43,373,869 ","4,820,318,659 ",111.1 
201209,부산광역시,전체(시 / 군 / 구),산업용,"23,358 ","699,859,415 ","69,148,991,916 ",98.8 
201209,부산광역시,전체(시 / 군 / 구),농사용,"8,489 ","7,664,620 ","335,764,721 ",43.8 
201209,부산광역시,전체(시 / 군 / 구),가로등,"71,975 ","13,717,245 ","1,397,851,659 ",101.9 
201209,부산광역시,전체(시 / 군 / 구),심 야,"27,267 ","18,184,375 ","983,558,331 ",54.1 
201210,부산광역시,전체(시 / 군 / 구),주택용,"905,155 ","344,533,863 ","38,360,617,399 ",111.3 
201210,부산광역시,전체(시 / 군 / 구),일반용,"175,129 ","448,138,831 ","47,377,275,742 ",105.7 
201210,부산광역시,전체(시 / 군 / 구),교육용,"2,097 ","31,361,587 ","3,395,489,594 ",108.3 
201210,부산광역시,전체(시 / 군 / 구),산업용,"23,354 ","663,859,514 ","64,305,075,284 ",96.9 
201210,부산광역시,전체(시 / 군 / 구),농사용,"8,520 ","7,600,940 ","327,046,100 ",43.0 
201210,부산광역시,전체(시 / 군 / 구),가로등,"72,161 ","14,544,518 ","1,419,760,186 ",97.6 
201210,부산광역시,전체(시 / 군 / 구),심 야,"27,236 ","20,985,072 ","1,099,932,131 ",52.4 
201211,부산광역시,전체(시 / 군 / 구),주택용,"906,218 ","369,945,666 ","44,238,035,562 ",119.6 
201211,부산광역시,전체(시 / 군 / 구),일반용,"175,421 ","452,019,415 ","54,780,364,536 ",121.2 
201211,부산광역시,전체(시 / 군 / 구),교육용,"2,097 ","35,872,122 ","4,142,519,298 ",115.5 
201211,부산광역시,전체(시 / 군 / 구),산업용,"23,351 ","728,711,901 ","82,474,791,814 ",113.2 
201211,부산광역시,전체(시 / 군 / 구),농사용,"8,684 ","6,821,918 ","318,359,230 ",46.7 
201211,부산광역시,전체(시 / 군 / 구),가로등,"72,300 ","15,322,864 ","1,466,796,479 ",95.7 
201211,부산광역시,전체(시 / 군 / 구),심 야,"27,234 ","38,363,193 ","2,266,898,536 ",59.1 
201212,부산광역시,전체(시 / 군 / 구),주택용,"907,987 ","392,526,368 ","49,838,480,875 ",127.0 
201212,부산광역시,전체(시 / 군 / 구),일반용,"176,097 ","522,756,000 ","65,703,079,392 ",125.7 
201212,부산광역시,전체(시 / 군 / 구),교육용,"2,104 ","48,732,046 ","5,498,499,004 ",112.8 
201212,부산광역시,전체(시 / 군 / 구),산업용,"23,412 ","737,653,824 ","82,742,868,702 ",112.2 
201212,부산광역시,전체(시 / 군 / 구),농사용,"8,638 ","9,759,117 ","439,668,504 ",45.1 
201212,부산광역시,전체(시 / 군 / 구),가로등,"72,460 ","16,754,853 ","1,569,767,460 ",93.7 
201212,부산광역시,전체(시 / 군 / 구),심 야,"27,231 ","62,496,022 ","4,293,497,473 ",68.7 
