년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,인천광역시,강화군,일반용,6614,69983171,30.3
201207-201212,인천광역시,강화군,합계,10348,230990806,
201207-201212,인천광역시,계양구,일반용,12039,223867154,33.96
201207-201212,인천광역시,계양구,합계,15951,659165172,
201207-201212,인천광역시,남구,일반용,20404,299287413,27.46
201207-201212,인천광역시,남구,합계,29774,1089924515,
201207-201212,인천광역시,남동구,일반용,20249,422506585,21.44
201207-201212,인천광역시,남동구,합계,22629,1970960942,
201207-201212,인천광역시,동구,일반용,3735,55582485,2.72
201207-201212,인천광역시,동구,합계,3970,2046428196,
201207-201212,인천광역시,부평구,일반용,21818,389607064,30.87
201207-201212,인천광역시,부평구,합계,26250,1262056026,
201207-201212,인천광역시,서구,일반용,18365,328653707,15.16
201207-201212,인천광역시,서구,합계,22030,2167715977,
201207-201212,인천광역시,연수구,일반용,7667,251137581,30.3
201207-201212,인천광역시,연수구,합계,8956,828821736,
201207-201212,인천광역시,옹진군,일반용,3200,41956840,49.19
201207-201212,인천광역시,옹진군,합계,3047,85288192,
201207-201212,인천광역시,중구,일반용,9091,428867097,50.65
201207-201212,인천광역시,중구,합계,6910,846736676,
