년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,전라북도,고창군,일반용,3976,42402176,18.35
201207-201212,전라북도,고창군,합계,8890,231029168,
201207-201212,전라북도,군산시,일반용,18111,272214654,7.25
201207-201212,전라북도,군산시,합계,19211,3753072327,
201207-201212,전라북도,김제시,일반용,5696,66932760,17.09
201207-201212,전라북도,김제시,합계,11223,391725004,
201207-201212,전라북도,남원시,일반용,6611,69167889,25.3
201207-201212,전라북도,남원시,합계,11693,273444315,
201207-201212,전라북도,무주군,일반용,2371,37489637,42.5
201207-201212,전라북도,무주군,합계,4006,88216321,
201207-201212,전라북도,부안군,일반용,5042,56643868,29.9
201207-201212,전라북도,부안군,합계,7141,189457253,
201207-201212,전라북도,순창군,일반용,1956,17967147,16.85
201207-201212,전라북도,순창군,합계,4707,106646196,
201207-201212,전라북도,완주군,일반용,5468,61239091,8.96
201207-201212,전라북도,완주군,합계,9227,683211369,
201207-201212,전라북도,익산시,일반용,19211,236387282,15.21
201207-201212,전라북도,익산시,합계,26153,1553738953,
201207-201212,전라북도,임실군,일반용,1976,20607461,17.34
201207-201212,전라북도,임실군,합계,4943,118826573,
201207-201212,전라북도,장수군,일반용,1444,13939092,18.21
201207-201212,전라북도,장수군,합계,3746,76559835,
201207-201212,전라북도,전주시,일반용,40040,588233505,27.7
201207-201212,전라북도,전주시,합계,37501,2123346160,
201207-201212,전라북도,정읍시,일반용,8182,86105397,14.32
201207-201212,전라북도,정읍시,합계,14367,601324612,
201207-201212,전라북도,진안군,일반용,1835,16094311,20.13
201207-201212,전라북도,진안군,합계,4346,79946120,
