년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201207-201212,충청남도,계룡시,일반용,1500,53665556,47.18
201207-201212,충청남도,계룡시,합계,1068,113745078,
201207-201212,충청남도,공주시,일반용,9111,115210078,23.52
201207-201212,충청남도,공주시,합계,13788,489781609,
201207-201212,충청남도,금산군,일반용,4720,48477416,10.65
201207-201212,충청남도,금산군,합계,7731,455350511,
201207-201212,충청남도,논산시,일반용,9158,109713062,19.46
201207-201212,충청남도,논산시,합계,15003,563753850,
201207-201212,충청남도,당진시,일반용,11821,141129889,2.84
201207-201212,충청남도,당진시,합계,17042,4968133884,
201207-201212,충청남도,보령시,일반용,9465,111298763,24.02
201207-201212,충청남도,보령시,합계,12050,463316275,
201207-201212,충청남도,부여군,일반용,4742,48659422,18.71
201207-201212,충청남도,부여군,합계,10656,260052909,
201207-201212,충청남도,서산시,일반용,11081,148825898,5.18
201207-201212,충청남도,서산시,합계,15778,2871795883,
201207-201212,충청남도,서천군,일반용,4551,46463174,8.29
201207-201212,충청남도,서천군,합계,8225,560557815,
201207-201212,충청남도,아산시,일반용,15742,248190978,4.45
201207-201212,충청남도,아산시,합계,19667,5582440209,
201207-201212,충청남도,연기군,일반용,3088,48908452,12.04
201207-201212,충청남도,연기군,합계,4506,406098780,
201207-201212,충청남도,예산군,일반용,6332,70666905,18.14
201207-201212,충청남도,예산군,합계,10846,389507513,
201207-201212,충청남도,천안시,일반용,33717,570070413,14.57
201207-201212,충청남도,천안시,합계,38777,3912676309,
201207-201212,충청남도,청양군,일반용,2546,20977306,16.01
201207-201212,충청남도,청양군,합계,5838,130995185,
201207-201212,충청남도,태안군,일반용,7865,81944131,34.18
201207-201212,충청남도,태안군,합계,9272,239714649,
201207-201212,충청남도,홍성군,일반용,6668,76255304,21.82
201207-201212,충청남도,홍성군,합계,11365,349451917,
