계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,부산광역시,전체(시 / 군 / 구),주택용,"909,611 ","428,274,936 ","59,347,805,007 ",138.6 
201301,부산광역시,전체(시 / 군 / 구),일반용,"176,628 ","593,368,464 ","73,306,027,263 ",123.5 
201301,부산광역시,전체(시 / 군 / 구),교육용,"2,115 ","48,633,448 ","5,531,046,787 ",113.7 
201301,부산광역시,전체(시 / 군 / 구),산업용,"23,429 ","740,620,584 ","86,157,768,800 ",116.3 
201301,부산광역시,전체(시 / 군 / 구),농사용,"8,628 ","12,934,741 ","557,858,670 ",43.1 
201301,부산광역시,전체(시 / 군 / 구),가로등,"72,679 ","16,791,082 ","1,576,300,902 ",93.9 
201301,부산광역시,전체(시 / 군 / 구),심 야,"27,185 ","78,484,899 ","5,435,548,407 ",69.3 
201302,부산광역시,전체(시 / 군 / 구),주택용,"911,821 ","419,400,593 ","57,586,087,004 ",137.3 
201302,부산광역시,전체(시 / 군 / 구),일반용,"176,795 ","549,979,247 ","71,031,627,853 ",129.2 
201302,부산광역시,전체(시 / 군 / 구),교육용,"2,131 ","44,363,020 ","5,324,165,188 ",120.0 
201302,부산광역시,전체(시 / 군 / 구),산업용,"23,501 ","676,845,417 ","82,215,905,793 ",121.5 
201302,부산광역시,전체(시 / 군 / 구),농사용,"8,650 ","12,308,607 ","542,879,028 ",44.1 
201302,부산광역시,전체(시 / 군 / 구),가로등,"72,954 ","15,944,534 ","1,627,495,379 ",102.1 
201302,부산광역시,전체(시 / 군 / 구),심 야,"27,109 ","74,697,764 ","5,369,078,522 ",71.9 
201303,부산광역시,전체(시 / 군 / 구),주택용,"913,568 ","361,092,928 ","42,964,456,485 ",119.0 
201303,부산광역시,전체(시 / 군 / 구),일반용,"176,940 ","474,334,316 ","56,993,620,603 ",120.2 
201303,부산광역시,전체(시 / 군 / 구),교육용,"2,132 ","38,639,104 ","4,368,499,548 ",113.1 
201303,부산광역시,전체(시 / 군 / 구),산업용,"23,539 ","704,913,069 ","71,005,897,041 ",100.7 
201303,부산광역시,전체(시 / 군 / 구),농사용,"8,749 ","9,267,191 ","424,548,580 ",45.8 
201303,부산광역시,전체(시 / 군 / 구),가로등,"72,974 ","15,249,776 ","1,578,861,705 ",103.5 
201303,부산광역시,전체(시 / 군 / 구),심 야,"27,040 ","57,099,725 ","3,630,468,788 ",63.6 
201304,부산광역시,전체(시 / 군 / 구),주택용,"915,117 ","378,793,293 ","46,719,399,059 ",123.3 
201304,부산광역시,전체(시 / 군 / 구),일반용,"177,176 ","463,572,781 ","51,425,515,961 ",110.9 
201304,부산광역시,전체(시 / 군 / 구),교육용,"2,130 ","39,140,425 ","4,014,700,219 ",102.6 
201304,부산광역시,전체(시 / 군 / 구),산업용,"23,605 ","714,675,209 ","70,059,485,500 ",98.0 
201304,부산광역시,전체(시 / 군 / 구),농사용,"8,708 ","7,760,775 ","363,612,908 ",46.9 
201304,부산광역시,전체(시 / 군 / 구),가로등,"73,096 ","14,108,583 ","1,513,478,859 ",107.3 
201304,부산광역시,전체(시 / 군 / 구),심 야,"26,969 ","48,729,789 ","2,564,504,469 ",52.6 
201305,부산광역시,전체(시 / 군 / 구),주택용,"916,025 ","352,564,225 ","40,947,278,741 ",116.1 
201305,부산광역시,전체(시 / 군 / 구),일반용,"177,202 ","448,153,146 ","50,430,422,118 ",112.5 
201305,부산광역시,전체(시 / 군 / 구),교육용,"2,132 ","33,307,856 ","3,669,100,052 ",110.2 
201305,부산광역시,전체(시 / 군 / 구),산업용,"23,686 ","679,077,200 ","67,773,153,867 ",99.8 
201305,부산광역시,전체(시 / 군 / 구),농사용,"8,759 ","6,904,703 ","326,627,814 ",47.3 
