계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,인천광역시,전체(시 / 군 / 구),주택용,"676,055 ","344,986,049 ","46,265,685,564 ",134.1 
201301,인천광역시,전체(시 / 군 / 구),일반용,"124,304 ","520,552,838 ","62,827,185,063 ",120.7 
201301,인천광역시,전체(시 / 군 / 구),교육용,"1,672 ","38,413,286 ","4,568,818,071 ",118.9 
201301,인천광역시,전체(시 / 군 / 구),산업용,"17,339 ","1,196,560,209 ","131,519,083,014 ",109.9 
201301,인천광역시,전체(시 / 군 / 구),농사용,"18,581 ","8,569,580 ","402,071,320 ",46.9 
201301,인천광역시,전체(시 / 군 / 구),가로등,"44,144 ","15,395,340 ","1,493,042,193 ",97.0 
201301,인천광역시,전체(시 / 군 / 구),심 야,"19,737 ","68,983,554 ","4,757,790,082 ",69.0 
201302,인천광역시,전체(시 / 군 / 구),주택용,"677,042 ","336,889,034 ","45,009,328,418 ",133.6 
201302,인천광역시,전체(시 / 군 / 구),일반용,"124,243 ","474,863,295 ","60,033,344,119 ",126.4 
201302,인천광역시,전체(시 / 군 / 구),교육용,"1,678 ","35,738,212 ","4,402,405,140 ",123.2 
201302,인천광역시,전체(시 / 군 / 구),산업용,"17,344 ","1,045,495,586 ","120,743,029,994 ",115.5 
201302,인천광역시,전체(시 / 군 / 구),농사용,"18,552 ","8,362,902 ","405,331,512 ",48.5 
201302,인천광역시,전체(시 / 군 / 구),가로등,"44,361 ","14,969,494 ","1,560,431,891 ",104.2 
201302,인천광역시,전체(시 / 군 / 구),심 야,"19,693 ","65,390,214 ","4,685,384,906 ",71.7 
201303,인천광역시,전체(시 / 군 / 구),주택용,"677,808 ","290,701,086 ","33,983,770,773 ",116.9 
201303,인천광역시,전체(시 / 군 / 구),일반용,"124,098 ","410,413,110 ","47,643,220,110 ",116.1 
201303,인천광역시,전체(시 / 군 / 구),교육용,"1,684 ","33,595,085 ","3,539,104,750 ",105.3 
201303,인천광역시,전체(시 / 군 / 구),산업용,"17,351 ","1,107,835,219 ","104,179,570,235 ",94.0 
201303,인천광역시,전체(시 / 군 / 구),농사용,"25,363 ","7,487,200 ","370,428,143 ",49.5 
