계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,전라북도,전체(시 / 군 / 구),주택용,"589,320 ","214,222,530 ","28,119,176,534 ",131.3 
201301,전라북도,전체(시 / 군 / 구),일반용,"123,761 ","338,903,280 ","41,381,351,713 ",122.1 
201301,전라북도,전체(시 / 군 / 구),교육용,"1,791 ","41,223,439 ","4,170,813,018 ",101.2 
201301,전라북도,전체(시 / 군 / 구),산업용,"12,816 ","1,035,043,317 ","112,425,330,837 ",108.6 
201301,전라북도,전체(시 / 군 / 구),농사용,"111,380 ","108,548,108 ","4,777,005,933 ",44.0 
201301,전라북도,전체(시 / 군 / 구),가로등,"78,991 ","16,657,196 ","1,547,011,442 ",92.9 
201301,전라북도,전체(시 / 군 / 구),심 야,"71,720 ","200,761,224 ","13,593,615,336 ",67.7 
201302,전라북도,전체(시 / 군 / 구),주택용,"590,137 ","211,616,683 ","27,814,101,756 ",131.4 
201302,전라북도,전체(시 / 군 / 구),일반용,"124,274 ","321,632,256 ","40,826,244,899 ",126.9 
201302,전라북도,전체(시 / 군 / 구),교육용,"1,797 ","37,793,518 ","4,426,509,496 ",117.1 
201302,전라북도,전체(시 / 군 / 구),산업용,"12,807 ","953,218,515 ","106,454,799,501 ",111.7 
201302,전라북도,전체(시 / 군 / 구),농사용,"111,579 ","107,204,142 ","4,845,093,215 ",45.2 
201302,전라북도,전체(시 / 군 / 구),가로등,"79,287 ","15,230,352 ","1,574,677,019 ",103.4 
201302,전라북도,전체(시 / 군 / 구),심 야,"71,686 ","194,251,337 ","13,634,273,878 ",70.2 
201303,전라북도,전체(시 / 군 / 구),주택용,"590,672 ","183,593,161 ","21,084,072,939 ",114.8 
201303,전라북도,전체(시 / 군 / 구),일반용,"124,326 ","266,903,653 ","32,562,650,566 ",122.0 
201303,전라북도,전체(시 / 군 / 구),교육용,"1,796 ","33,816,175 ","3,674,410,380 ",108.7 
201303,전라북도,전체(시 / 군 / 구),산업용,"12,810 ","1,144,104,230 ","100,196,618,421 ",87.6 
201303,전라북도,전체(시 / 군 / 구),농사용,"191,418 ","91,368,193 ","4,252,113,567 ",46.5 
201303,전라북도,전체(시 / 군 / 구),가로등,"79,350 ","14,544,123 ","1,514,726,135 ",104.1 
201303,전라북도,전체(시 / 군 / 구),심 야,"71,614 ","149,970,629 ","9,413,961,028 ",62.8 
201304,전라북도,전체(시 / 군 / 구),주택용,"591,722 ","194,225,446 ","23,312,857,097 ",120.0 
201304,전라북도,전체(시 / 군 / 구),일반용,"124,837 ","261,945,854 ","28,960,480,756 ",110.6 
201304,전라북도,전체(시 / 군 / 구),교육용,"1,794 ","34,370,925 ","3,378,947,782 ",98.3 
201304,전라북도,전체(시 / 군 / 구),산업용,"12,855 ","1,143,639,095 ","100,369,222,014 ",87.8 
201304,전라북도,전체(시 / 군 / 구),농사용,"146,061 ","83,126,995 ","3,952,991,238 ",47.6 
201304,전라북도,전체(시 / 군 / 구),가로등,"79,529 ","14,080,223 ","1,549,720,533 ",110.1 
201304,전라북도,전체(시 / 군 / 구),심 야,"71,503 ","128,521,486 ","6,580,621,081 ",51.2 
201305,전라북도,전체(시 / 군 / 구),주택용,"592,728 ","182,697,596 ","20,740,293,168 ",113.5 
201305,전라북도,전체(시 / 군 / 구),일반용,"124,906 ","234,241,702 ","27,131,734,067 ",115.8 
201305,전라북도,전체(시 / 군 / 구),교육용,"1,793 ","26,222,775 ","2,893,877,802 ",110.4 
