계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 부산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,부산광역시,전체(시 / 군 / 구),주택용,"919,009 ","364,835,271 ","44,637,222,652 ",122.3 
201307,부산광역시,전체(시 / 군 / 구),일반용,"177,619 ","538,566,670 ","68,397,424,525 ",127.0 
201307,부산광역시,전체(시 / 군 / 구),교육용,"2,134 ","37,815,570 ","4,693,728,985 ",124.1 
201307,부산광역시,전체(시 / 군 / 구),산업용,"23,748 ","722,153,661 ","86,528,513,071 ",119.8 
201307,부산광역시,전체(시 / 군 / 구),농사용,"8,865 ","6,964,231 ","317,758,387 ",45.6 
201307,부산광역시,전체(시 / 군 / 구),가로등,"73,883 ","12,320,229 ","1,378,587,090 ",111.9 
201307,부산광역시,전체(시 / 군 / 구),심 야,"26,646 ","20,450,227 ","1,168,850,859 ",57.2 
201308,부산광역시,전체(시 / 군 / 구),주택용,"919,850 ","460,687,929 ","74,183,191,838 ",161.0 
201308,부산광역시,전체(시 / 군 / 구),일반용,"178,097 ","636,465,582 ","85,910,311,463 ",135.0 
201308,부산광역시,전체(시 / 군 / 구),교육용,"2,138 ","41,151,706 ","5,531,850,196 ",134.4 
201308,부산광역시,전체(시 / 군 / 구),산업용,"23,790 ","685,677,004 ","84,021,506,867 ",122.5 
201308,부산광역시,전체(시 / 군 / 구),농사용,"8,939 ","7,487,599 ","349,609,697 ",46.7 
201308,부산광역시,전체(시 / 군 / 구),가로등,"74,036 ","12,626,553 ","1,370,796,907 ",108.6 
201308,부산광역시,전체(시 / 군 / 구),심 야,"26,579 ","17,340,801 ","1,031,046,846 ",59.5 
201309,부산광역시,전체(시 / 군 / 구),주택용,"920,811 ","402,493,487 ","54,576,339,138 ",135.6 
201309,부산광역시,전체(시 / 군 / 구),일반용,"178,336 ","563,417,017 ","67,799,965,695 ",120.3 
201309,부산광역시,전체(시 / 군 / 구),교육용,"2,135 ","41,765,805 ","4,929,761,344 ",118.0 
