계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,경기도,전체(시 / 군 / 구),주택용,"2,552,869 ","1,412,764,700 ","191,435,055,789 ",135.5 
201401,경기도,전체(시 / 군 / 구),일반용,"591,665 ","2,357,902,565 ","305,050,707,036 ",129.4 
201401,경기도,전체(시 / 군 / 구),교육용,"4,097 ","153,436,965 ","17,520,385,740 ",114.2 
201401,경기도,전체(시 / 군 / 구),산업용,"109,861 ","4,853,126,054 ","566,504,689,205 ",116.7 
201401,경기도,전체(시 / 군 / 구),농사용,"184,365 ","228,490,681 ","10,586,663,236 ",46.3 
201401,경기도,전체(시 / 군 / 구),가로등,"283,934 ","73,182,357 ","7,850,410,885 ",107.3 
201401,경기도,전체(시 / 군 / 구),심 야,"164,888 ","590,012,498 ","44,692,879,466 ",75.7 
201402,경기도,전체(시 / 군 / 구),주택용,"2,556,983 ","1,406,048,173 ","190,364,882,103 ",135.4 
201402,경기도,전체(시 / 군 / 구),일반용,"592,465 ","2,214,675,518 ","291,324,249,658 ",131.5 
201402,경기도,전체(시 / 군 / 구),교육용,"4,144 ","140,836,681 ","16,458,538,254 ",116.9 
201402,경기도,전체(시 / 군 / 구),산업용,"110,171 ","4,503,995,388 ","541,900,519,440 ",120.3 
201402,경기도,전체(시 / 군 / 구),농사용,"184,368 ","222,699,245 ","10,314,304,122 ",46.3 
201402,경기도,전체(시 / 군 / 구),가로등,"284,581 ","68,973,701 ","7,715,110,088 ",111.9 
201402,경기도,전체(시 / 군 / 구),심 야,"164,642 ","574,215,375 ","43,475,478,744 ",75.7 
201403,경기도,전체(시 / 군 / 구),주택용,"2,561,467 ","1,223,578,722 ","145,507,212,351 ",118.9 
201403,경기도,전체(시 / 군 / 구),일반용,"592,551 ","1,935,800,217 ","235,114,325,141 ",121.5 
201403,경기도,전체(시 / 군 / 구),교육용,"4,137 ","128,750,311 ","13,717,104,474 ",106.5 
201403,경기도,전체(시 / 군 / 구),산업용,"110,450 ","4,641,937,852 ","460,966,612,468 ",99.3 
201403,경기도,전체(시 / 군 / 구),농사용,"253,036 ","179,444,399 ","8,534,056,914 ",47.6 
201403,경기도,전체(시 / 군 / 구),가로등,"284,877 ","62,642,375 ","7,113,784,017 ",113.6 
201403,경기도,전체(시 / 군 / 구),심 야,"164,435 ","432,595,918 ","28,959,462,137 ",66.9 
201404,경기도,전체(시 / 군 / 구),주택용,"2,566,446 ","1,275,524,211 ","155,907,102,192 ",122.2 
201404,경기도,전체(시 / 군 / 구),일반용,"593,939 ","1,807,326,022 ","205,865,248,355 ",113.9 
201404,경기도,전체(시 / 군 / 구),교육용,"4,151 ","113,037,290 ","11,846,672,775 ",104.8 
201404,경기도,전체(시 / 군 / 구),산업용,"110,835 ","4,560,606,849 ","443,786,614,857 ",97.3 
201404,경기도,전체(시 / 군 / 구),농사용,"193,465 ","158,615,844 ","7,583,476,585 ",47.8 
201404,경기도,전체(시 / 군 / 구),가로등,"286,376 ","60,879,724 ","7,157,451,802 ",117.6 
201404,경기도,전체(시 / 군 / 구),심 야,"164,125 ","319,706,237 ","17,519,821,511 ",54.8 
201405,경기도,전체(시 / 군 / 구),주택용,"2,571,321 ","1,201,940,483 ","140,626,303,970 ",117.0 
201405,경기도,전체(시 / 군 / 구),일반용,"594,742 ","1,691,083,187 ","196,098,604,004 ",116.0 
201405,경기도,전체(시 / 군 / 구),교육용,"4,156 ","89,316,139 ","10,383,404,645 ",116.3 
201405,경기도,전체(시 / 군 / 구),산업용,"111,228 ","4,406,915,234 ","427,508,343,030 ",97.0 
201405,경기도,전체(시 / 군 / 구),농사용,"187,185 ","150,374,585 ","6,989,107,336 ",46.5 
201405,경기도,전체(시 / 군 / 구),가로등,"291,019 ","56,950,114 ","6,910,251,593 ",121.3 
201405,경기도,전체(시 / 군 / 구),심 야,"163,698 ","202,072,555 ","11,184,088,595 ",55.3 
201406,경기도,전체(시 / 군 / 구),주택용,"2,577,653 ","1,239,412,602 ","150,989,961,096 ",121.8 
201406,경기도,전체(시 / 군 / 구),일반용,"596,219 ","1,854,205,795 ","242,633,403,079 ",130.9 
201406,경기도,전체(시 / 군 / 구),교육용,"4,158 ","96,724,067 ","12,618,671,497 ",130.5 
201406,경기도,전체(시 / 군 / 구),산업용,"111,634 ","4,478,707,366 ","520,162,023,855 ",116.1 
201406,경기도,전체(시 / 군 / 구),농사용,"188,058 ","149,919,279 ","7,026,837,356 ",46.9 
201406,경기도,전체(시 / 군 / 구),가로등,"291,776 ","54,280,282 ","6,786,750,040 ",125.0 
201406,경기도,전체(시 / 군 / 구),심 야,"163,251 ","123,537,218 ","7,060,266,454 ",57.2 
합계,합계,합계,합계,"23,535,421","51,496,244,778","5,741,750,835,895",111.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,경기도,가평군,가로등,"8,278 ","788,585 ","81,435,410 ",103.3 
201401,경기도,가평군,교육용,46 ,"1,085,456 ","121,485,380 ",111.9 
201401,경기도,가평군,농사용,"5,680 ","2,900,269 ","144,161,542 ",49.7 
201401,경기도,가평군,산업용,984 ,"6,736,863 ","869,272,400 ",129 
201401,경기도,가평군,심 야,"6,518 ","25,371,621 ","1,912,431,891 ",75.4 
201401,경기도,가평군,일반용,"8,827 ","27,885,717 ","3,596,454,546 ",129 
201401,경기도,가평군,주택용,"26,586 ","6,630,926 ","977,907,077 ",147.5 
201401,경기도,가평군,합계,"56,919 ","71,399,437 ","7,703,148,246 ",107.9 
201401,경기도,고양시,가로등,"16,745 ","5,243,389 ","562,934,779 ",107.4 
201401,경기도,고양시,교육용,318 ,"8,998,945 ","1,058,840,728 ",117.7 
201401,경기도,고양시,농사용,"10,669 ","26,609,005 ","1,158,417,324 ",43.5 
201401,경기도,고양시,산업용,"5,116 ","72,242,207 ","8,430,889,703 ",116.7 
201401,경기도,고양시,심 야,"7,323 ","25,191,545 ","1,920,181,119 ",76.2 
201401,경기도,고양시,일반용,"38,044 ","183,546,584 ","23,557,994,520 ",128.3 
201401,경기도,고양시,주택용,"132,311 ","119,080,861 ","16,146,374,132 ",135.6 
201401,경기도,고양시,합계,"210,526 ","440,912,536 ","52,835,632,305 ",119.8 
201401,경기도,과천시,가로등,331 ,"621,215 ","68,993,523 ",111.1 
201401,경기도,과천시,교육용,27 ,"1,578,307 ","184,168,596 ",116.7 
201401,경기도,과천시,농사용,"1,185 ","981,574 ","46,783,130 ",47.7 
201401,경기도,과천시,산업용,87 ,"3,812,497 ","393,727,982 ",103.3 
201401,경기도,과천시,심 야,331 ,"585,335 ","47,217,293 ",80.7 
201401,경기도,과천시,일반용,"2,171 ","22,611,436 ","2,825,566,183 ",125 
201401,경기도,과천시,주택용,"9,843 ","7,034,519 ","944,117,220 ",134.2 
201401,경기도,과천시,합계,"13,975 ","37,224,883 ","4,510,573,927 ",121.2 
201401,경기도,광명시,가로등,"4,163 ","1,317,359 ","137,453,597 ",104.3 
201401,경기도,광명시,교육용,86 ,"1,918,505 ","243,033,397 ",126.7 
201401,경기도,광명시,농사용,"1,297 ","780,423 ","38,551,801 ",49.4 
201401,경기도,광명시,산업용,"1,105 ","25,494,329 ","2,969,393,120 ",116.5 
201401,경기도,광명시,심 야,"1,000 ","3,096,958 ","237,847,495 ",76.8 
201401,경기도,광명시,일반용,"10,838 ","39,755,836 ","5,279,339,815 ",132.8 
201401,경기도,광명시,주택용,"60,399 ","36,020,840 ","4,701,348,268 ",130.5 
201401,경기도,광명시,합계,"78,888 ","108,384,250 ","13,606,967,493 ",125.5 
201401,경기도,광주시,가로등,"8,966 ","1,471,915 ","163,596,698 ",111.1 
201401,경기도,광주시,교육용,92 ,"2,707,758 ","316,062,104 ",116.7 
201401,경기도,광주시,농사용,"6,425 ","6,361,954 ","299,054,007 ",47 
201401,경기도,광주시,산업용,"7,071 ","102,173,199 ","12,536,228,723 ",122.7 
201401,경기도,광주시,심 야,"7,884 ","30,995,716 ","2,359,219,887 ",76.1 
201401,경기도,광주시,일반용,"22,119 ","55,658,517 ","7,320,857,213 ",131.5 
201401,경기도,광주시,주택용,"87,161 ","32,804,655 ","4,812,342,817 ",146.7 
201401,경기도,광주시,합계,"139,718 ","232,173,714 ","27,807,361,449 ",119.8 
201401,경기도,구리시,가로등,"3,039 ","1,060,754 ","111,295,471 ",104.9 
201401,경기도,구리시,교육용,49 ,"1,181,422 ","147,856,992 ",125.2 
201401,경기도,구리시,농사용,835 ,"901,921 ","41,075,611 ",45.5 
201401,경기도,구리시,산업용,907 ,"10,762,517 ","1,227,404,413 ",114 
201401,경기도,구리시,심 야,382 ,"1,181,831 ","93,442,013 ",79.1 
201401,경기도,구리시,일반용,"9,816 ","33,744,598 ","4,372,884,204 ",129.6 
201401,경기도,구리시,주택용,"34,145 ","20,706,616 ","2,794,373,717 ",135 
201401,경기도,구리시,합계,"49,173 ","69,539,659 ","8,788,332,421 ",126.4 
201401,경기도,군포시,가로등,"1,705 ","1,146,568 ","123,053,308 ",107.3 
201401,경기도,군포시,교육용,81 ,"2,365,622 ","275,515,438 ",116.5 
201401,경기도,군포시,농사용,619 ,"173,917 ","9,075,514 ",52.2 
201401,경기도,군포시,산업용,"1,498 ","66,284,993 ","7,927,185,039 ",119.6 
201401,경기도,군포시,심 야,436 ,"1,291,864 ","99,068,833 ",76.7 
