계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,경상남도,전체(시 / 군 / 구),주택용,"1,067,833 ","373,443,748 ","50,257,526,754 ",134.6 
201401,경상남도,전체(시 / 군 / 구),일반용,"207,613 ","550,502,321 ","73,287,963,710 ",133.1 
201401,경상남도,전체(시 / 군 / 구),교육용,"1,595 ","38,191,561 ","4,630,957,235 ",121.3 
201401,경상남도,전체(시 / 군 / 구),산업용,"35,131 ","1,712,502,127 ","211,284,408,964 ",123.4 
201401,경상남도,전체(시 / 군 / 구),농사용,"160,757 ","279,593,841 ","12,893,529,660 ",46.1 
201401,경상남도,전체(시 / 군 / 구),가로등,"135,928 ","24,109,217 ","2,542,797,987 ",105.5 
201401,경상남도,전체(시 / 군 / 구),심 야,"99,265 ","198,001,972 ","14,974,870,754 ",75.6 
201402,경상남도,전체(시 / 군 / 구),주택용,"1,069,232 ","373,981,587 ","50,235,173,805 ",134.3 
201402,경상남도,전체(시 / 군 / 구),일반용,"208,027 ","524,814,833 ","70,835,231,911 ",135.0 
201402,경상남도,전체(시 / 군 / 구),교육용,"1,593 ","35,759,063 ","4,406,521,314 ",123.2 
201402,경상남도,전체(시 / 군 / 구),산업용,"35,144 ","1,616,969,025 ","204,069,655,740 ",126.2 
201402,경상남도,전체(시 / 군 / 구),농사용,"160,940 ","260,236,713 ","12,082,949,969 ",46.4 
201402,경상남도,전체(시 / 군 / 구),가로등,"136,243 ","22,508,022 ","2,508,650,679 ",111.5 
201402,경상남도,전체(시 / 군 / 구),심 야,"99,145 ","195,646,870 ","14,784,247,759 ",75.6 
201403,경상남도,전체(시 / 군 / 구),주택용,"1,071,220 ","328,954,187 ","39,052,739,510 ",118.7 
201403,경상남도,전체(시 / 군 / 구),일반용,"207,887 ","463,245,428 ","58,776,165,979 ",126.9 
201403,경상남도,전체(시 / 군 / 구),교육용,"1,598 ","35,783,267 ","3,848,540,229 ",107.6 
201403,경상남도,전체(시 / 군 / 구),산업용,"35,209 ","1,731,407,285 ","179,235,712,495 ",103.5 
201403,경상남도,전체(시 / 군 / 구),농사용,"185,352 ","209,628,068 ","9,915,685,575 ",47.3 
201403,경상남도,전체(시 / 군 / 구),가로등,"136,514 ","20,853,098 ","2,352,450,299 ",112.8 
201403,경상남도,전체(시 / 군 / 구),심 야,"99,051 ","154,262,400 ","10,257,891,036 ",66.5 
201404,경상남도,전체(시 / 군 / 구),주택용,"1,073,024 ","341,920,230 ","41,576,436,135 ",121.6 
201404,경상남도,전체(시 / 군 / 구),일반용,"208,312 ","442,758,641 ","51,437,472,045 ",116.2 
201404,경상남도,전체(시 / 군 / 구),교육용,"1,594 ","31,814,626 ","3,354,713,921 ",105.4 
201404,경상남도,전체(시 / 군 / 구),산업용,"35,309 ","1,696,770,222 ","172,073,189,895 ",101.4 
201404,경상남도,전체(시 / 군 / 구),농사용,"162,504 ","165,077,270 ","8,083,753,458 ",49.0 
201404,경상남도,전체(시 / 군 / 구),가로등,"138,048 ","20,489,428 ","2,412,112,527 ",117.7 
201404,경상남도,전체(시 / 군 / 구),심 야,"98,930 ","121,380,475 ","6,615,329,828 ",54.5 
201405,경상남도,전체(시 / 군 / 구),주택용,"1,074,563 ","320,588,609 ","36,784,398,040 ",114.7 
201405,경상남도,전체(시 / 군 / 구),일반용,"208,569 ","409,888,736 ","48,832,664,146 ",119.1 
201405,경상남도,전체(시 / 군 / 구),교육용,"1,592 ","25,733,083 ","2,988,424,945 ",116.1 
201405,경상남도,전체(시 / 군 / 구),산업용,"35,411 ","1,623,283,328 ","165,519,825,272 ",102.0 
201405,경상남도,전체(시 / 군 / 구),농사용,"163,736 ","114,213,942 ","5,989,937,779 ",52.4 
201405,경상남도,전체(시 / 군 / 구),가로등,"138,640 ","19,351,595 ","2,350,517,828 ",121.5 
201405,경상남도,전체(시 / 군 / 구),심 야,"98,691 ","77,785,567 ","4,245,723,638 ",54.6 
201406,경상남도,전체(시 / 군 / 구),주택용,"1,076,275 ","321,703,802 ","37,046,498,928 ",115.2 
201406,경상남도,전체(시 / 군 / 구),일반용,"208,941 ","434,875,918 ","58,005,695,821 ",133.4 
201406,경상남도,전체(시 / 군 / 구),교육용,"1,595 ","26,588,541 ","3,539,201,062 ",133.1 
201406,경상남도,전체(시 / 군 / 구),산업용,"35,533 ","1,645,413,284 ","200,627,212,256 ",121.9 
201406,경상남도,전체(시 / 군 / 구),농사용,"164,091 ","97,740,766 ","5,012,311,979 ",51.3 
201406,경상남도,전체(시 / 군 / 구),가로등,"139,108 ","18,524,602 ","2,323,159,553 ",125.4 
201406,경상남도,전체(시 / 군 / 구),심 야,"98,457 ","45,651,954 ","2,510,579,121 ",55.0 
합계,합계,합계,합계,"10,318,200","17,151,949,252","1,893,562,829,541",110.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,경상남도,거제시,가로등,"8,317 ","1,050,982 ","110,131,633 ",104.8 
201401,경상남도,거제시,교육용,108 ,"1,950,097 ","247,462,851 ",126.9 
201401,경상남도,거제시,농사용,"5,173 ","6,075,077 ","290,127,459 ",47.8 
201401,경상남도,거제시,산업용,"1,473 ","103,078,033 ","12,451,890,987 ",120.8 
201401,경상남도,거제시,심 야,"4,102 ","12,965,939 ","983,246,963 ",75.8 
201401,경상남도,거제시,일반용,"16,108 ","43,055,530 ","5,736,424,478 ",133.2 
201401,경상남도,거제시,주택용,"72,424 ","29,401,809 ","4,176,163,215 ",142 
201401,경상남도,거제시,합계,"107,705 ","197,577,467 ","23,995,447,586 ",121.4 
201401,경상남도,거창군,가로등,"5,586 ","678,123 ","69,717,449 ",102.8 
201401,경상남도,거창군,교육용,54 ,"1,091,629 ","123,587,954 ",113.2 
201401,경상남도,거창군,농사용,"9,795 ","6,459,012 ","310,336,684 ",48 
201401,경상남도,거창군,산업용,788 ,"10,555,135 ","1,349,999,339 ",127.9 
201401,경상남도,거창군,심 야,"2,678 ","6,360,123 ","483,257,547 ",76 
201401,경상남도,거창군,일반용,"4,917 ","10,093,221 ","1,323,268,639 ",131.1 
201401,경상남도,거창군,주택용,"27,535 ","6,772,354 ","892,763,663 ",131.8 
201401,경상남도,거창군,합계,"51,353 ","42,009,597 ","4,552,931,275 ",108.4 
201401,경상남도,고성군,가로등,"5,492 ","574,112 ","58,242,508 ",101.4 
201401,경상남도,고성군,교육용,45 ,"569,851 ","73,807,180 ",129.5 
201401,경상남도,고성군,농사용,"7,040 ","12,759,545 ","599,836,340 ",47 
201401,경상남도,고성군,산업용,883 ,"26,284,750 ","3,586,757,522 ",136.5 
201401,경상남도,고성군,심 야,"2,794 ","6,224,235 ","468,969,103 ",75.3 
201401,경상남도,고성군,일반용,"4,521 ","9,253,583 ","1,222,734,498 ",132.1 
201401,경상남도,고성군,주택용,"27,646 ","6,331,777 ","874,065,701 ",138 
201401,경상남도,고성군,합계,"48,421 ","61,997,853 ","6,884,412,852 ",111 
201401,경상남도,김해시,가로등,"12,033 ","3,488,985 ","374,093,469 ",107.2 
201401,경상남도,김해시,교육용,194 ,"4,963,162 ","626,611,692 ",126.3 
201401,경상남도,김해시,농사용,"8,322 ","21,257,596 ","969,421,608 ",45.6 
201401,경상남도,김해시,산업용,"8,839 ","286,830,364 ","37,525,766,094 ",130.8 
201401,경상남도,김해시,심 야,"7,400 ","16,721,091 ","1,270,189,609 ",76 
201401,경상남도,김해시,일반용,"27,447 ","79,675,790 ","10,724,773,797 ",134.6 
201401,경상남도,김해시,주택용,"118,196 ","58,036,305 ","7,752,391,917 ",133.6 
201401,경상남도,김해시,합계,"182,431 ","470,973,293 ","59,243,248,186 ",125.8 
201401,경상남도,남해군,가로등,"4,063 ","345,789 ","33,738,246 ",97.6 
201401,경상남도,남해군,교육용,41 ,"518,518 ","63,548,456 ",122.6 
201401,경상남도,남해군,농사용,"9,415 ","3,494,590 ","175,716,025 ",50.3 
201401,경상남도,남해군,산업용,839 ,"1,750,964 ","231,257,967 ",132.1 
201401,경상남도,남해군,심 야,"2,114 ","4,796,640 ","360,712,890 ",75.2 
201401,경상남도,남해군,일반용,"4,661 ","9,083,859 ","1,217,739,057 ",134.1 
201401,경상남도,남해군,주택용,"25,475 ","5,078,532 ","702,855,844 ",138.4 
201401,경상남도,남해군,합계,"46,608 ","25,068,892 ","2,785,568,485 ",111.1 
201401,경상남도,밀양시,가로등,"7,282 ","1,088,784 ","116,409,256 ",106.9 
201401,경상남도,밀양시,교육용,67 ,"1,461,974 ","166,576,555 ",113.9 
201401,경상남도,밀양시,농사용,"20,217 ","42,535,901 ","1,906,964,810 ",44.8 
201401,경상남도,밀양시,산업용,"1,318 ","39,812,907 ","5,052,263,110 ",126.9 
201401,경상남도,밀양시,심 야,"4,816 ","10,126,872 ","764,356,778 ",75.5 
201401,경상남도,밀양시,일반용,"8,735 ","16,702,053 ","2,199,038,611 ",131.7 
