???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,????,??(? / ? / ?),???,"1,050,124 ","257,163,462 ","28,895,413,266 ",112.4 
201407,????,??(? / ? / ?),???,"201,479 ","395,060,032 ","59,778,071,855 ",151.3 
201407,????,??(? / ? / ?),???,"1,459 ","43,171,227 ","5,435,360,263 ",125.9 
201407,????,??(? / ? / ?),???,"29,358 ","2,947,502,106 ","340,668,664,744 ",115.6 
201407,????,??(? / ? / ?),???,"284,889 ","135,390,261 ","6,472,374,684 ",47.8 
201407,????,??(? / ? / ?),???,"155,219 ","18,311,914 ","2,307,577,512 ",126.0 
201407,????,??(? / ? / ?),? ?,"83,027 ","35,340,195 ","1,989,593,494 ",56.3 
201408,????,??(? / ? / ?),???,"1,052,733 ","291,897,501 ","36,615,998,433 ",125.4 
201408,????,??(? / ? / ?),???,"202,356 ","437,889,335 ","64,166,113,073 ",146.5 
201408,????,??(? / ? / ?),???,"1,460 ","37,094,998 ","4,857,263,715 ",130.9 
201408,????,??(? / ? / ?),???,"29,476 ","2,705,785,614 ","307,498,802,233 ",113.6 
201408,????,??(? / ? / ?),???,"287,316 ","163,499,337 ","7,709,341,488 ",47.2 
201408,????,??(? / ? / ?),???,"156,310 ","19,517,468 ","2,355,628,008 ",120.7 
201408,????,??(? / ? / ?),? ?,"82,908 ","30,323,569 ","1,722,860,904 ",56.8 
201409,????,??(? / ? / ?),???,"1,055,640 ","266,088,771 ","30,596,510,422 ",115.0 
201409,????,??(? / ? / ?),???,"202,251 ","382,393,095 ","51,303,986,389 ",134.2 
201409,????,??(? / ? / ?),???,"1,460 ","38,680,903 ","4,085,379,818 ",105.6 
201409,????,??(? / ? / ?),???,"29,614 ","2,747,966,919 ","262,372,381,662 ",95.5 
201409,????,??(? / ? / ?),???,"289,347 ","155,379,388 ","7,486,867,058 ",48.2 
201409,????,??(? / ? / ?),???,"157,836 ","20,670,278 ","2,346,415,389 ",113.5 
201409,????,??(? / ? / ?),? ?,"82,832 ","36,462,308 ","2,026,873,796 ",55.6 
201410,????,??(? / ? / ?),???,"1,058,749 ","251,770,471 ","27,537,845,456 ",109.4 
201410,????,??(? / ? / ?),???,"201,839 ","344,939,073 ","41,505,377,593 ",120.3 
201410,????,??(? / ? / ?),???,"1,463 ","38,361,834 ","3,743,684,343 ",97.6 
201410,????,??(? / ? / ?),???,"29,727 ","2,891,866,038 ","260,675,633,758 ",90.1 
201410,????,??(? / ? / ?),???,"290,219 ","127,472,348 ","6,381,050,009 ",50.1 
201410,????,??(? / ? / ?),???,"157,922 ","22,487,403 ","2,410,992,910 ",107.2 
201410,????,??(? / ? / ?),? ?,"82,787 ","56,622,205 ","3,101,345,059 ",54.8 
201411,????,??(? / ? / ?),???,"1,060,738 ","273,435,203 ","32,094,021,728 ",117.4 
201411,????,??(? / ? / ?),???,"202,618 ","375,412,357 ","48,776,216,056 ",129.9 
201411,????,??(? / ? / ?),???,"1,465 ","45,337,909 ","4,899,621,754 ",108.1 
201411,????,??(? / ? / ?),???,"29,842 ","2,774,270,209 ","312,068,704,325 ",112.5 
201411,????,??(? / ? / ?),???,"357,508 ","166,766,069 ","7,520,131,942 ",45.1 
