계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 광주광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,광주광역시,전체(시 / 군 / 구),주택용,"362,134 ","171,151,005 ","22,645,993,294 ",132.3 
201401,광주광역시,전체(시 / 군 / 구),일반용,"83,944 ","256,814,833 ","33,632,629,849 ",131.0 
201401,광주광역시,전체(시 / 군 / 구),교육용,570 ,"27,408,201 ","3,069,966,958 ",112.0 
201401,광주광역시,전체(시 / 군 / 구),산업용,"5,526 ","257,465,838 ","31,582,044,629 ",122.7 
201401,광주광역시,전체(시 / 군 / 구),농사용,"9,479 ","10,568,701 ","465,603,490 ",44.1 
201401,광주광역시,전체(시 / 군 / 구),가로등,"35,744 ","7,408,476 ","796,943,546 ",107.6 
201401,광주광역시,전체(시 / 군 / 구),심 야,"8,368 ","23,118,463 ","1,726,604,976 ",74.7 
201402,광주광역시,전체(시 / 군 / 구),주택용,"363,240 ","170,398,495 ","22,502,474,041 ",132.1 
201402,광주광역시,전체(시 / 군 / 구),일반용,"83,980 ","245,649,447 ","32,524,025,421 ",132.4 
201402,광주광역시,전체(시 / 군 / 구),교육용,587 ,"24,747,396 ","2,866,808,670 ",115.8 
201402,광주광역시,전체(시 / 군 / 구),산업용,"5,546 ","243,225,037 ","30,509,542,768 ",125.4 
201402,광주광역시,전체(시 / 군 / 구),농사용,"9,492 ","10,241,207 ","455,155,530 ",44.4 
201402,광주광역시,전체(시 / 군 / 구),가로등,"35,782 ","7,045,338 ","790,882,728 ",112.3 
201402,광주광역시,전체(시 / 군 / 구),심 야,"8,332 ","22,448,817 ","1,669,797,834 ",74.4 
201403,광주광역시,전체(시 / 군 / 구),주택용,"364,165 ","150,127,792 ","17,554,547,377 ",116.9 
201403,광주광역시,전체(시 / 군 / 구),일반용,"84,148 ","217,696,581 ","26,860,129,349 ",123.4 
201403,광주광역시,전체(시 / 군 / 구),교육용,589 ,"24,234,523 ","2,480,206,374 ",102.3 
201403,광주광역시,전체(시 / 군 / 구),산업용,"5,564 ","258,210,880 ","26,730,947,197 ",103.5 
201403,광주광역시,전체(시 / 군 / 구),농사용,"13,777 ","8,256,263 ","378,707,071 ",45.9 
201403,광주광역시,전체(시 / 군 / 구),가로등,"35,844 ","6,237,851 ","717,410,581 ",115.0 
201403,광주광역시,전체(시 / 군 / 구),심 야,"8,305 ","18,514,426 ","1,214,277,963 ",65.6 
201404,광주광역시,전체(시 / 군 / 구),주택용,"364,746 ","156,926,793 ","18,878,286,109 ",120.3 
201404,광주광역시,전체(시 / 군 / 구),일반용,"84,556 ","208,642,483 ","23,424,818,826 ",112.3 
201404,광주광역시,전체(시 / 군 / 구),교육용,588 ,"21,689,930 ","2,134,784,608 ",98.4 
201404,광주광역시,전체(시 / 군 / 구),산업용,"5,601 ","258,379,756 ","25,687,489,051 ",99.4 
201404,광주광역시,전체(시 / 군 / 구),농사용,"9,579 ","5,500,474 ","269,476,352 ",49.0 
201404,광주광역시,전체(시 / 군 / 구),가로등,"36,019 ","6,037,142 ","719,998,272 ",119.3 
201404,광주광역시,전체(시 / 군 / 구),심 야,"8,272 ","14,225,758 ","782,394,014 ",55.0 
201405,광주광역시,전체(시 / 군 / 구),주택용,"365,307 ","146,942,539 ","16,715,813,782 ",113.8 
201405,광주광역시,전체(시 / 군 / 구),일반용,"84,602 ","192,046,069 ","22,150,652,753 ",115.3 
201405,광주광역시,전체(시 / 군 / 구),교육용,592 ,"17,574,321 ","1,890,696,731 ",107.6 
201405,광주광역시,전체(시 / 군 / 구),산업용,"5,608 ","249,053,248 ","24,797,764,630 ",99.6 
201405,광주광역시,전체(시 / 군 / 구),농사용,"9,617 ","3,754,643 ","198,442,737 ",52.9 
201405,광주광역시,전체(시 / 군 / 구),가로등,"36,006 ","5,522,421 ","683,415,488 ",123.8 
201405,광주광역시,전체(시 / 군 / 구),심 야,"8,229 ","8,543,943 ","499,804,895 ",58.5 
201406,광주광역시,전체(시 / 군 / 구),주택용,"365,877 ","148,608,989 ","17,062,126,974 ",114.8 
201406,광주광역시,전체(시 / 군 / 구),일반용,"84,733 ","211,446,379 ","27,138,205,825 ",128.3 
201406,광주광역시,전체(시 / 군 / 구),교육용,591 ,"18,735,283 ","2,264,362,124 ",120.9 
201406,광주광역시,전체(시 / 군 / 구),산업용,"5,624 ","257,334,579 ","30,619,935,860 ",119.0 
201406,광주광역시,전체(시 / 군 / 구),농사용,"9,616 ","3,841,031 ","198,698,099 ",51.7 
201406,광주광역시,전체(시 / 군 / 구),가로등,"36,054 ","5,252,628 ","671,604,498 ",127.9 
201406,광주광역시,전체(시 / 군 / 구),심 야,"8,177 ","6,015,210 ","377,229,544 ",62.7 
합계,합계,합계,합계,"3,055,110","4,107,043,189","478,340,700,818",116.5
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,광주광역시,광산구,가로등,"5,227 ","2,419,070 ","263,165,044 ",108.8 
201401,광주광역시,광산구,교육용,136 ,"5,427,077 ","649,008,620 ",119.6 
201401,광주광역시,광산구,농사용,"4,851 ","6,153,875 ","268,572,349 ",43.6 
201401,광주광역시,광산구,산업용,"2,535 ","167,599,932 ","20,952,117,421 ",125 
201401,광주광역시,광산구,심 야,"1,798 ","5,398,961 ","399,693,942 ",74 
201401,광주광역시,광산구,일반용,"18,925 ","59,973,196 ","7,818,405,161 ",130.4 
201401,광주광역시,광산구,주택용,"71,580 ","44,875,374 ","5,781,790,813 ",128.8 
201401,광주광역시,광산구,합계,"105,052 ","291,847,485 ","36,132,753,350 ",123.8 
201401,광주광역시,남구,가로등,"7,647 ","1,081,099 ","112,614,733 ",104.2 
