???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ?????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,?????,??(? / ? / ?),???,"929,492 ","353,153,301 ","42,640,100,812 ",120.7 
201407,?????,??(? / ? / ?),???,"181,245 ","520,457,546 ","77,107,849,267 ",148.2 
201407,?????,??(? / ? / ?),???,"1,140 ","34,498,120 ","4,627,300,773 ",134.1 
201407,?????,??(? / ? / ?),???,"24,228 ","725,872,637 ","94,257,985,345 ",129.9 
201407,?????,??(? / ? / ?),???,"9,446 ","6,389,720 ","329,061,130 ",51.5 
201407,?????,??(? / ? / ?),???,"76,093 ","12,253,521 ","1,447,615,925 ",118.1 
201407,?????,??(? / ? / ?),? ?,"25,773 ","19,137,900 ","1,161,231,159 ",60.7 
201408,?????,??(? / ? / ?),???,"929,883 ","399,525,912 ","54,109,026,829 ",135.4 
201408,?????,??(? / ? / ?),???,"181,594 ","582,890,384 ","83,109,372,776 ",142.6 
201408,?????,??(? / ? / ?),???,"1,143 ","35,071,500 ","4,662,792,609 ",133.0 
201408,?????,??(? / ? / ?),???,"24,266 ","684,404,543 ","87,794,265,347 ",128.3 
201408,?????,??(? / ? / ?),???,"9,477 ","7,796,251 ","377,981,775 ",48.5 
201408,?????,??(? / ? / ?),???,"76,229 ","12,754,035 ","1,475,405,373 ",115.7 
201408,?????,??(? / ? / ?),? ?,"25,680 ","17,202,437 ","1,063,452,695 ",61.8 
201409,?????,??(? / ? / ?),???,"930,379 ","369,191,696 ","45,756,384,207 ",123.9 
201409,?????,??(? / ? / ?),???,"181,515 ","518,324,313 ","65,383,695,639 ",126.1 
201409,?????,??(? / ? / ?),???,"1,144 ","33,104,411 ","3,765,426,749 ",113.7 
201409,?????,??(? / ? / ?),???,"24,296 ","683,276,076 ","73,933,313,702 ",108.2 
201409,?????,??(? / ? / ?),???,"9,520 ","9,960,210 ","420,803,693 ",42.2 
201409,?????,??(? / ? / ?),???,"76,315 ","13,471,436 ","1,519,670,578 ",112.8 
201409,?????,??(? / ? / ?),? ?,"25,592 ","16,995,685 ","1,017,506,982 ",59.9 
201410,?????,??(? / ? / ?),???,"931,463 ","340,703,840 ","38,942,844,147 ",114.3 
201410,?????,??(? / ? / ?),???,"181,378 ","464,848,468 ","53,341,782,610 ",114.8 
201410,?????,??(? / ? / ?),???,"1,148 ","31,103,157 ","3,180,346,001 ",102.3 
201410,?????,??(? / ? / ?),???,"24,342 ","700,035,767 ","71,758,659,078 ",102.5 
201410,?????,??(? / ? / ?),???,"9,525 ","6,660,021 ","340,063,370 ",51.1 
201410,?????,??(? / ? / ?),???,"76,361 ","14,455,312 ","1,567,101,782 ",108.4 
201410,?????,??(? / ? / ?),? ?,"25,530 ","18,346,123 ","1,057,969,771 ",57.7 
201411,?????,??(? / ? / ?),???,"932,291 ","366,225,341 ","44,852,229,430 ",122.5 
201411,?????,??(? / ? / ?),???,"181,422 ","454,879,089 ","59,685,255,650 ",131.2 
201411,?????,??(? / ? / ?),???,"1,148 ","32,815,710 ","3,699,723,519 ",112.7 
201411,?????,??(? / ? / ?),???,"24,402 ","685,883,791 ","84,379,421,863 ",123.0 
201411,?????,??(? / ? / ?),???,"9,690 ","7,737,007 ","392,383,295 ",50.7 
201411,?????,??(? / ? / ?),???,"76,551 ","15,669,368 ","1,668,688,161 ",106.5 
201411,?????,??(? / ? / ?),? ?,"25,498 ","29,988,047 ","1,960,969,713 ",65.4 
201412,?????,??(? / ? / ?),???,"933,401 ","384,652,594 ","49,351,597,333 ",128.3 
201412,?????,??(? / ? / ?),???,"181,920 ","518,609,737 ","71,789,497,766 ",138.4 
201412,?????,??(? / ? / ?),???,"1,149 ","45,453,908 ","5,101,707,934 ",112.2 
