계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2014년 01 월 ~ 2014년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,인천광역시,전체(시 / 군 / 구),주택용,"684,627 ","333,244,100 ","44,810,319,281 ",134.5 
201401,인천광역시,전체(시 / 군 / 구),일반용,"126,103 ","485,788,457 ","63,313,777,416 ",130.3 
201401,인천광역시,전체(시 / 군 / 구),교육용,980 ,"31,958,027 ","3,869,956,940 ",121.1 
201401,인천광역시,전체(시 / 군 / 구),산업용,"17,785 ","1,141,665,523 ","134,014,178,245 ",117.4 
201401,인천광역시,전체(시 / 군 / 구),농사용,"19,264 ","8,193,638 ","413,063,088 ",50.4 
201401,인천광역시,전체(시 / 군 / 구),가로등,"45,922 ","15,961,054 ","1,711,743,222 ",107.2 
201401,인천광역시,전체(시 / 군 / 구),심 야,"19,073 ","57,027,699 ","4,352,943,641 ",76.3 
201402,인천광역시,전체(시 / 군 / 구),주택용,"685,578 ","332,286,796 ","44,701,753,107 ",134.5 
201402,인천광역시,전체(시 / 군 / 구),일반용,"126,170 ","455,281,279 ","60,324,542,729 ",132.5 
201402,인천광역시,전체(시 / 군 / 구),교육용,973 ,"31,310,040 ","3,804,229,768 ",121.5 
201402,인천광역시,전체(시 / 군 / 구),산업용,"17,827 ","1,028,801,411 ","124,670,677,984 ",121.2 
201402,인천광역시,전체(시 / 군 / 구),농사용,"19,253 ","8,423,582 ","422,767,650 ",50.2 
201402,인천광역시,전체(시 / 군 / 구),가로등,"46,148 ","15,392,124 ","1,712,449,130 ",111.3 
201402,인천광역시,전체(시 / 군 / 구),심 야,"19,006 ","56,139,387 ","4,281,711,531 ",76.3 
201403,인천광역시,전체(시 / 군 / 구),주택용,"686,602 ","288,337,823 ","34,058,900,806 ",118.1 
201403,인천광역시,전체(시 / 군 / 구),일반용,"126,088 ","402,075,140 ","48,604,844,000 ",120.9 
201403,인천광역시,전체(시 / 군 / 구),교육용,969 ,"30,234,002 ","3,084,031,871 ",102.0 
201403,인천광역시,전체(시 / 군 / 구),산업용,"17,831 ","1,092,383,971 ","107,955,081,381 ",98.8 
201403,인천광역시,전체(시 / 군 / 구),농사용,"26,049 ","7,616,014 ","391,057,759 ",51.3 
201403,인천광역시,전체(시 / 군 / 구),가로등,"46,245 ","13,504,489 ","1,534,779,214 ",113.6 
201403,인천광역시,전체(시 / 군 / 구),심 야,"18,973 ","42,684,780 ","2,876,775,456 ",67.4 
201404,인천광역시,전체(시 / 군 / 구),주택용,"687,527 ","300,249,876 ","36,465,672,025 ",121.5 
201404,인천광역시,전체(시 / 군 / 구),일반용,"126,201 ","377,249,866 ","42,952,901,684 ",113.9 
201404,인천광역시,전체(시 / 군 / 구),교육용,971 ,"22,907,908 ","2,612,871,044 ",114.1 
201404,인천광역시,전체(시 / 군 / 구),산업용,"17,870 ","1,062,987,048 ","103,858,585,368 ",97.7 
201404,인천광역시,전체(시 / 군 / 구),농사용,"23,446 ","7,660,085 ","398,515,030 ",52.0 
201404,인천광역시,전체(시 / 군 / 구),가로등,"46,579 ","13,211,213 ","1,547,191,968 ",117.1 
201404,인천광역시,전체(시 / 군 / 구),심 야,"18,903 ","31,711,052 ","1,755,175,556 ",55.3 
201405,인천광역시,전체(시 / 군 / 구),주택용,"688,323 ","285,042,351 ","33,085,909,816 ",116.1 
201405,인천광역시,전체(시 / 군 / 구),일반용,"126,071 ","356,239,507 ","41,607,969,450 ",116.8 
201405,인천광역시,전체(시 / 군 / 구),교육용,975 ,"20,001,980 ","2,440,993,962 ",122.0 
201405,인천광역시,전체(시 / 군 / 구),산업용,"17,923 ","1,030,829,370 ","100,656,127,104 ",97.6 
201405,인천광역시,전체(시 / 군 / 구),농사용,"19,588 ","7,971,169 ","390,751,495 ",49.0 
201405,인천광역시,전체(시 / 군 / 구),가로등,"46,608 ","12,066,983 ","1,460,902,136 ",121.1 
201405,인천광역시,전체(시 / 군 / 구),심 야,"18,826 ","21,748,969 ","1,218,677,531 ",56.0 
201406,인천광역시,전체(시 / 군 / 구),주택용,"689,358 ","293,251,017 ","35,363,267,192 ",120.6 
201406,인천광역시,전체(시 / 군 / 구),일반용,"126,331 ","389,872,512 ","50,996,028,022 ",130.8 
201406,인천광역시,전체(시 / 군 / 구),교육용,975 ,"21,735,997 ","3,156,282,662 ",145.2 
201406,인천광역시,전체(시 / 군 / 구),산업용,"17,935 ","1,066,550,470 ","125,402,830,048 ",117.6 
201406,인천광역시,전체(시 / 군 / 구),농사용,"19,753 ","8,116,962 ","398,340,223 ",49.1 
201406,인천광역시,전체(시 / 군 / 구),가로등,"46,940 ","11,113,620 ","1,396,554,374 ",125.7 
201406,인천광역시,전체(시 / 군 / 구),심 야,"18,743 ","14,290,715 ","830,208,238 ",58.1 
합계,합계,합계,합계,"5,511,312","11,233,118,006","1,278,905,339,147",113.9

년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201401,인천광역시,강화군,가로등,"4,663 ","1,032,878 ","98,865,059 ",95.7 
201401,인천광역시,강화군,교육용,61 ,"1,323,031 ","155,334,643 ",117.4 
201401,인천광역시,강화군,농사용,"12,056 ","4,365,693 ","224,065,240 ",51.3 
201401,인천광역시,강화군,산업용,962 ,"5,134,675 ","675,418,281 ",131.5 
201401,인천광역시,강화군,심 야,"7,268 ","22,664,043 ","1,719,756,273 ",75.9 
201401,인천광역시,강화군,일반용,"6,846 ","16,596,815 ","2,164,589,919 ",130.4 
201401,인천광역시,강화군,주택용,"30,715 ","6,853,358 ","979,790,787 ",143 
201401,인천광역시,강화군,합계,"62,571 ","57,970,493 ","6,017,820,202 ",103.8 
201401,인천광역시,계양구,가로등,"3,092 ","1,329,488 ","141,109,865 ",106.1 
201401,인천광역시,계양구,교육용,100 ,"2,906,695 ","367,937,297 ",126.6 
201401,인천광역시,계양구,농사용,"1,504 ","750,394 ","37,993,236 ",50.6 
201401,인천광역시,계양구,산업용,"1,433 ","35,127,484 ","4,051,959,246 ",115.4 
201401,인천광역시,계양구,심 야,839 ,"2,849,915 ","219,504,515 ",77 
201401,인천광역시,계양구,일반용,"12,270 ","41,919,293 ","5,444,410,759 ",129.9 
201401,인천광역시,계양구,주택용,"77,377 ","37,233,650 ","4,895,734,891 ",131.5 
201401,인천광역시,계양구,합계,"96,615 ","122,116,919 ","15,158,649,809 ",124.1 
201401,인천광역시,남구,가로등,"11,245 ","1,477,731 ","147,285,549 ",99.7 
201401,인천광역시,남구,교육용,119 ,"6,096,571 ","681,722,042 ",111.8 
201401,인천광역시,남구,농사용,20 ,"22,315 ","980,009 ",43.9 
201401,인천광역시,남구,산업용,"1,284 ","84,632,626 ","9,622,655,667 ",113.7 
201401,인천광역시,남구,심 야,"2,110 ","5,371,248 ","410,949,815 ",76.5 
201401,인천광역시,남구,일반용,"20,443 ","56,397,434 ","7,464,998,051 ",132.4 
201401,인천광역시,남구,주택용,"143,736 ","45,437,467 ","6,182,775,983 ",136.1 
201401,인천광역시,남구,합계,"178,957 ","199,435,392 ","24,511,367,116 ",122.9 
201401,인천광역시,남동구,가로등,"4,799 ","2,342,445 ","253,606,412 ",108.3 
201401,인천광역시,남동구,교육용,165 ,"3,593,021 ","467,176,273 ",130 
201401,인천광역시,남동구,농사용,"1,252 ","956,384 ","43,709,025 ",45.7 
201401,인천광역시,남동구,산업용,"4,198 ","219,953,080 ","28,596,885,581 ",130 
201401,인천광역시,남동구,심 야,"1,356 ","4,019,594 ","309,125,248 ",76.9 
201401,인천광역시,남동구,일반용,"20,742 ","79,278,126 ","10,427,718,588 ",131.5 
201401,인천광역시,남동구,주택용,"105,681 ","60,456,736 ","8,093,641,073 ",133.9 
201401,인천광역시,남동구,합계,"138,193 ","370,599,386 ","48,191,862,200 ",130 
201401,인천광역시,동구,가로등,358 ,"444,084 ","45,292,136 ",102 
201401,인천광역시,동구,교육용,33 ,"867,648 ","107,438,020 ",123.8 
201401,인천광역시,동구,농사용,1 ,"11,791 ","529,435 ",44.9 
201401,인천광역시,동구,산업용,440 ,"329,076,956 ","34,290,960,452 ",104.2 
201401,인천광역시,동구,심 야,418 ,"1,316,469 ","100,595,905 ",76.4 
201401,인천광역시,동구,일반용,"3,706 ","11,346,892 ","1,542,047,390 ",135.9 
201401,인천광역시,동구,주택용,"19,006 ","8,254,529 ","1,089,051,278 ",131.9 
201401,인천광역시,동구,합계,"23,962 ","351,318,369 ","37,175,914,616 ",105.8 
201401,인천광역시,부평구,가로등,"6,697 ","1,625,164 ","172,199,395 ",106 
201401,인천광역시,부평구,교육용,172 ,"4,083,490 ","514,891,039 ",126.1 
201401,인천광역시,부평구,농사용,55 ,"63,953 ","3,052,207 ",47.7 
201401,인천광역시,부평구,산업용,"2,578 ","83,835,426 ","10,252,588,315 ",122.3 
201401,인천광역시,부평구,심 야,"1,958 ","4,723,331 ","365,766,922 ",77.4 
201401,인천광역시,부평구,일반용,"22,055 ","72,588,287 ","9,502,841,309 ",130.9 
201401,인천광역시,부평구,주택용,"126,600 ","61,658,605 ","8,121,198,026 ",131.7 
201401,인천광역시,부평구,합계,"160,115 ","228,578,256 ","28,932,537,213 ",126.6 
201401,인천광역시,서구,가로등,"9,500 ","2,896,053 ","314,431,392 ",108.6 
201401,인천광역시,서구,교육용,156 ,"3,635,036 ","480,787,099 ",132.3 
201401,인천광역시,서구,농사용,"1,014 ","753,425 ","36,703,457 ",48.7 
201401,인천광역시,서구,산업용,"5,308 ","265,335,675 ","32,821,212,880 ",123.7 
201401,인천광역시,서구,심 야,"1,194 ","3,985,259 ","300,538,031 ",75.4 
201401,인천광역시,서구,일반용,"19,223 ","71,434,910 ","9,564,305,513 ",133.9 
201401,인천광역시,서구,주택용,"100,312 ","57,611,690 ","7,908,456,964 ",137.3 
201401,인천광역시,서구,합계,"136,707 ","405,652,048 ","51,426,435,336 ",126.8 
201401,인천광역시,연수구,가로등,"1,799 ","2,252,581 ","255,752,978 ",113.5 
201401,인천광역시,연수구,교육용,98 ,"7,164,138 ","821,174,678 ",114.6 
201401,인천광역시,연수구,농사용,65 ,"46,300 ","2,389,306 ",51.6 
201401,인천광역시,연수구,산업용,401 ,"63,038,772 ","6,891,989,884 ",109.3 
201401,인천광역시,연수구,심 야,626 ,"1,520,873 ","116,177,393 ",76.4 
201401,인천광역시,연수구,일반용,"7,914 ","48,996,334 ","6,526,873,833 ",133.2 
201401,인천광역시,연수구,주택용,"43,532 ","40,326,723 ","5,514,742,492 ",136.8 
201401,인천광역시,연수구,합계,"54,435 ","163,345,721 ","20,129,100,564 ",123.2 
201401,인천광역시,옹진군,가로등,871 ,"354,811 ","36,269,029 ",102.2 
201401,인천광역시,옹진군,교육용,20 ,"277,923 ","34,250,456 ",123.2 
201401,인천광역시,옹진군,농사용,"2,459 ","829,440 ","43,715,905 ",52.7 
201401,인천광역시,옹진군,산업용,680 ,"927,121 ","468,003,824 ",504.8 
201401,인천광역시,옹진군,심 야,"1,784 ","5,262,271 ","399,958,942 ",76 
201401,인천광역시,옹진군,일반용,"3,539 ","10,623,027 ","1,372,057,427 ",129.2 
201401,인천광역시,옹진군,주택용,"10,319 ","1,862,620 ","277,819,872 ",149.2 
201401,인천광역시,옹진군,합계,"19,672 ","20,137,213 ","2,632,075,455 ",130.7 
201401,인천광역시,중구,가로등,"2,898 ","2,205,819 ","246,931,407 ",111.9 
