"계약종별 전력사용량 월별( 20220804 현재 )","","","","","","",""
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)","","","","","","",""
"기간 : 2014년 01 월 ~ 2014년 06월","","","","","","",""
"년월","시구","시군구","계약구분","고객호수(호)","사용량(kWh)","전기요금(원)","평균판매단가(원/kWh)"
"201401","제주특별자치도","전체(시 / 군 / 구)","주택용","212,529 ","61,890,180 ","8,736,144,479 ","141.2 "
"201401","제주특별자치도","전체(시 / 군 / 구)","일반용","46,711 ","132,903,700 ","17,848,352,598 ","134.3 "
"201401","제주특별자치도","전체(시 / 군 / 구)","교육용","322 ","10,146,434 ","1,181,295,764 ","116.4 "
"201401","제주특별자치도","전체(시 / 군 / 구)","산업용","3,068 ","43,149,459 ","5,365,640,831 ","124.4 "
"201401","제주특별자치도","전체(시 / 군 / 구)","농사용","38,996 ","121,806,643 ","5,590,194,379 ","45.9 "
"201401","제주특별자치도","전체(시 / 군 / 구)","가로등","16,903 ","4,666,210 ","478,980,755 ","102.6 "
"201401","제주특별자치도","전체(시 / 군 / 구)","심 야","7,797 ","20,442,652 ","1,536,494,620 ","75.2 "
"201402","제주특별자치도","전체(시 / 군 / 구)","주택용","213,555 ","61,862,603 ","8,709,114,613 ","140.8 "
"201402","제주특별자치도","전체(시 / 군 / 구)","일반용","46,976 ","129,307,258 ","17,591,269,196 ","136.0 "
"201402","제주특별자치도","전체(시 / 군 / 구)","교육용","326 ","9,428,198 ","1,133,301,797 ","120.2 "
"201402","제주특별자치도","전체(시 / 군 / 구)","산업용","3,076 ","39,450,249 ","5,017,542,091 ","127.2 "
"201402","제주특별자치도","전체(시 / 군 / 구)","농사용","39,120 ","127,718,996 ","5,821,099,977 ","45.6 "
"201402","제주특별자치도","전체(시 / 군 / 구)","가로등","17,049 ","4,222,941 ","471,957,179 ","111.8 "
"201402","제주특별자치도","전체(시 / 군 / 구)","심 야","7,791 ","20,473,409 ","1,535,391,337 ","75.0 "
"201403","제주특별자치도","전체(시 / 군 / 구)","주택용","214,156 ","54,963,646 ","6,861,824,929 ","124.8 "
"201403","제주특별자치도","전체(시 / 군 / 구)","일반용","47,130 ","118,467,424 ","14,755,786,924 ","124.6 "
"201403","제주특별자치도","전체(시 / 군 / 구)","교육용","324 ","9,287,073 ","963,841,181 ","103.8 "
