???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,????,??(? / ? / ?),???,"684,208 ","198,936,268 ","22,995,665,892 ",115.6 
201407,????,??(? / ? / ?),???,"146,432 ","321,026,818 ","48,550,850,118 ",151.2 
201407,????,??(? / ? / ?),???,"1,058 ","28,847,403 ","3,950,441,583 ",136.9 
201407,????,??(? / ? / ?),???,"18,673 ","3,209,812,699 ","366,361,130,214 ",114.1 
201407,????,??(? / ? / ?),???,"160,565 ","114,049,048 ","5,431,717,422 ",47.6 
201407,????,??(? / ? / ?),???,"119,844 ","11,585,778 ","1,454,922,424 ",125.6 
201407,????,??(? / ? / ?),? ?,"95,216 ","36,487,626 ","2,063,804,247 ",56.6 
201408,????,??(? / ? / ?),???,"686,099 ","223,362,338 ","28,531,651,914 ",127.7 
201408,????,??(? / ? / ?),???,"147,020 ","351,215,334 ","51,586,504,059 ",146.9 
201408,????,??(? / ? / ?),???,"1,060 ","26,772,816 ","3,726,161,810 ",139.2 
201408,????,??(? / ? / ?),???,"18,766 ","3,107,585,218 ","344,832,450,374 ",111.0 
201408,????,??(? / ? / ?),???,"161,721 ","136,795,129 ","6,516,774,085 ",47.6 
201408,????,??(? / ? / ?),???,"120,258 ","12,271,969 ","1,472,365,695 ",120.0 
201408,????,??(? / ? / ?),? ?,"95,086 ","33,815,037 ","1,931,321,380 ",57.1 
201409,????,??(? / ? / ?),???,"687,445 ","208,198,717 ","24,648,692,707 ",118.4 
201409,????,??(? / ? / ?),???,"147,104 ","314,236,886 ","41,838,482,574 ",133.1 
201409,????,??(? / ? / ?),???,"1,061 ","26,427,573 ","3,092,106,393 ",117.0 
201409,????,??(? / ? / ?),???,"18,812 ","3,005,784,134 ","270,465,670,293 ",90.0 
201409,????,??(? / ? / ?),???,"162,610 ","139,872,151 ","6,611,922,948 ",47.3 
201409,????,??(? / ? / ?),???,"120,647 ","13,114,210 ","1,513,122,931 ",115.4 
201409,????,??(? / ? / ?),? ?,"95,032 ","37,762,587 ","2,136,493,699 ",56.6 
201410,????,??(? / ? / ?),???,"688,977 ","193,632,595 ","21,590,493,859 ",111.5 
201410,????,??(? / ? / ?),???,"147,258 ","286,122,554 ","34,147,514,434 ",119.3 
201410,????,??(? / ? / ?),???,"1,063 ","25,732,155 ","2,789,613,315 ",108.4 
201410,????,??(? / ? / ?),???,"18,860 ","3,131,099,113 ","275,901,904,323 ",88.1 
201410,????,??(? / ? / ?),???,"163,090 ","109,729,149 ","5,483,767,927 ",50.0 
201410,????,??(? / ? / ?),???,"120,903 ","14,447,865 ","1,552,224,997 ",107.4 
201410,????,??(? / ? / ?),? ?,"95,008 ","57,301,176 ","3,189,223,129 ",55.7 
201411,????,??(? / ? / ?),???,"692,036 ","211,155,148 ","25,122,774,886 ",119.0 
201411,????,??(? / ? / ?),???,"148,549 ","310,381,134 ","40,314,899,688 ",129.9 
201411,????,??(? / ? / ?),???,"1,069 ","31,770,577 ","3,654,060,691 ",115.0 
201411,????,??(? / ? / ?),???,"18,911 ","3,075,082,177 ","341,048,881,062 ",110.9 
201411,????,??(? / ? / ?),???,"267,008 ","209,291,869 ","8,149,124,840 ",38.9 
201411,????,??(? / ? / ?),???,"121,584 ","15,613,670 ","1,643,482,909 ",105.3 
201411,????,??(? / ? / ?),? ?,"95,008 ","129,566,624 ","8,347,838,846 ",64.4 
201412,????,??(? / ? / ?),???,"693,388 ","221,050,940 ","27,698,897,099 ",125.3 
201412,????,??(? / ? / ?),???,"149,173 ","365,887,717 ","50,417,475,863 ",137.8 
201412,????,??(? / ? / ?),???,"1,093 ","49,163,736 ","5,300,971,283 ",107.8 
201412,????,??(? / ? / ?),???,"18,968 ","3,152,811,293 ","353,697,960,342 ",112.2 
201412,????,??(? / ? / ?),???,"163,491 ","147,104,583 ","7,217,655,775 ",49.1 
201412,????,??(? / ? / ?),???,"121,888 ","16,234,954 ","1,654,639,629 ",101.9 
201412,????,??(? / ? / ?),? ?,"95,021 ","213,256,471 ","16,117,411,755 ",75.6 
??,??,??,??,"7,511,063","23,524,395,239","2,474,753,069,414",105.2
,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,????,???,???,878 ,"155,587 ","20,635,037 ",132.6 
201407,????,???,???,17 ,"260,308 ","41,455,707 ",159.3 
201407,????,???,???,438 ,"150,254 ","8,120,128 ",54 
201407,????,???,???,98 ,"4,313,139 ","573,106,753 ",132.9 
201407,????,???,? ?,357 ,"541,159 ","32,468,496 ",60 
201407,????,???,???,"1,576 ","10,246,664 ","1,457,065,709 ",142.2 
201407,????,???,???,"3,558 ","4,137,450 ","481,809,769 ",116.5 
201407,????,???,??,"6,922 ","19,804,561 ","2,614,661,599 ",132 
201407,????,???,???,"7,260 ","1,288,785 ","154,800,779 ",120.1 
201407,????,???,???,76 ,"2,209,900 ","291,027,745 ",131.7 
201407,????,???,???,"11,769 ","6,794,356 ","329,398,426 ",48.5 
201407,????,???,???,"1,095 ","29,760,400 ","3,983,351,138 ",133.8 
201407,????,???,? ?,"7,444 ","2,969,110 ","167,082,614 ",56.3 
201407,????,???,???,"9,113 ","17,456,624 ","2,677,561,629 ",153.4 
201407,????,???,???,"45,267 ","10,773,187 ","1,230,581,437 ",114.2 
201407,????,???,??,"82,024 ","71,252,362 ","8,833,803,768 ",124 
201407,????,???,???,"3,495 ","769,760 ","91,829,630 ",119.3 
201407,????,???,???,39 ,"686,771 ","102,065,794 ",148.6 
201407,????,???,???,"8,562 ","2,740,227 ","152,565,973 ",55.7 
201407,????,???,???,"1,362 ","52,852,487 ","6,602,612,363 ",124.9 
201407,????,???,? ?,"3,585 ","1,192,353 ","65,411,583 ",54.9 
201407,????,???,???,"4,996 ","7,795,129 ","1,243,150,849 ",159.5 
201407,????,???,???,"25,621 ","4,867,243 ","553,147,024 ",113.6 
201407,????,???,??,"47,660 ","70,903,970 ","8,810,783,216 ",124.3 
