년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201401-201406,강원도,강릉시,일반용,17309,230796042,23.24
202101-202106,강원도,강릉시,합계,20081,993016414,
201401-201406,강원도,고성군,일반용,3572,55848211,38.62
202101-202106,강원도,고성군,합계,4389,144592932,
201401-201406,강원도,동해시,일반용,6555,97620691,6.77
202101-202106,강원도,동해시,합계,7619,1441186950,
201401-201406,강원도,삼척시,일반용,5806,79043699,12.86
202101-202106,강원도,삼척시,합계,8174,614490123,
201401-201406,강원도,속초시,일반용,7398,111204979,48.47
202101-202106,강원도,속초시,합계,6217,229438755,
201401-201406,강원도,양구군,일반용,2301,37831059,34.3
202101-202106,강원도,양구군,합계,3393,110282564,
201401-201406,강원도,양양군,일반용,3823,53122513,39.38
202101-202106,강원도,양양군,합계,4541,134902097,
201401-201406,강원도,영월군,일반용,3920,37707217,7.32
202101-202106,강원도,영월군,합계,6117,515442333,
201401-201406,강원도,원주시,일반용,22194,333698226,28.98
202101-202106,강원도,원주시,합계,22773,1151408776,
201401-201406,강원도,인제군,일반용,4200,66186502,38.78
202101-202106,강원도,인제군,합계,5206,170669155,
201401-201406,강원도,정선군,일반용,4804,94249996,29.34
202101-202106,강원도,정선군,합계,5926,321282436,
201401-201406,강원도,철원군,일반용,4611,73700922,30.26
202101-202106,강원도,철원군,합계,6595,243550061,
201401-201406,강원도,춘천시,일반용,19370,305146381,38.89
202101-202106,강원도,춘천시,합계,21514,784662697,
201401-201406,강원도,태백시,일반용,4037,47217243,27.24
202101-202106,강원도,태백시,합계,4560,173339364,
201401-201406,강원도,평창군,일반용,5687,121407784,38.98
202101-202106,강원도,평창군,합계,7632,311478849,
201401-201406,강원도,홍천군,일반용,7451,109178653,31.12
202101-202106,강원도,홍천군,합계,10444,350806619,
201401-201406,강원도,화천군,일반용,2972,54356560,43.23
202101-202106,강원도,화천군,합계,3579,125745247,
201401-201406,강원도,횡성군,일반용,4526,63130840,22.05
202101-202106,강원도,횡성군,합계,7632,286353481,
