계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 01 월 ~ 2015년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201501,대구광역시,전체(시 / 군 / 구),주택용,"635,052 ","289,999,243 ","38,945,877,180 ",134.3 
201501,대구광역시,전체(시 / 군 / 구),일반용,"145,540 ","421,906,105 ","55,453,147,344 ",131.4 
201501,대구광역시,전체(시 / 군 / 구),교육용,784 ,"32,401,220 ","3,579,600,889 ",110.5 
201501,대구광역시,전체(시 / 군 / 구),산업용,"20,111 ","602,778,084 ","72,363,515,012 ",120.1 
201501,대구광역시,전체(시 / 군 / 구),농사용,"11,511 ","7,821,539 ","381,011,239 ",48.7 
201501,대구광역시,전체(시 / 군 / 구),가로등,"36,428 ","12,336,192 ","1,285,491,657 ",104.2 
201501,대구광역시,전체(시 / 군 / 구),심 야,"22,705 ","50,139,984 ","3,785,184,367 ",75.5 
201502,대구광역시,전체(시 / 군 / 구),주택용,"636,289 ","283,733,587 ","37,236,980,191 ",131.2 
201502,대구광역시,전체(시 / 군 / 구),일반용,"145,682 ","398,272,906 ","52,941,172,599 ",132.9 
201502,대구광역시,전체(시 / 군 / 구),교육용,785 ,"29,843,160 ","3,352,340,524 ",112.3 
201502,대구광역시,전체(시 / 군 / 구),산업용,"20,161 ","566,797,790 ","68,517,687,443 ",120.9 
201502,대구광역시,전체(시 / 군 / 구),농사용,"11,532 ","7,722,977 ","375,836,009 ",48.7 
201502,대구광역시,전체(시 / 군 / 구),가로등,"36,571 ","11,635,542 ","1,253,477,559 ",107.7 
201502,대구광역시,전체(시 / 군 / 구),심 야,"22,662 ","46,782,396 ","3,528,419,598 ",75.4 
201503,대구광역시,전체(시 / 군 / 구),주택용,"637,083 ","251,780,475 ","29,548,712,056 ",117.4 
201503,대구광역시,전체(시 / 군 / 구),일반용,"145,515 ","344,117,913 ","42,551,840,943 ",123.7 
201503,대구광역시,전체(시 / 군 / 구),교육용,786 ,"28,944,485 ","2,821,756,838 ",97.5 
201503,대구광역시,전체(시 / 군 / 구),산업용,"20,169 ","552,976,500 ","57,498,279,298 ",104.0 
201503,대구광역시,전체(시 / 군 / 구),농사용,"11,939 ","6,331,140 ","317,371,684 ",50.1 
201503,대구광역시,전체(시 / 군 / 구),가로등,"36,605 ","10,524,053 ","1,154,244,891 ",109.7 
201503,대구광역시,전체(시 / 군 / 구),심 야,"22,582 ","38,384,446 ","2,566,596,451 ",66.9 
201504,대구광역시,전체(시 / 군 / 구),주택용,"638,154 ","261,106,247 ","31,262,196,786 ",119.7 
201504,대구광역시,전체(시 / 군 / 구),일반용,"145,717 ","331,391,018 ","37,886,349,685 ",114.3 
201504,대구광역시,전체(시 / 군 / 구),교육용,789 ,"26,088,158 ","2,511,949,924 ",96.3 
201504,대구광역시,전체(시 / 군 / 구),산업용,"20,207 ","580,540,193 ","57,388,963,930 ",98.9 
201504,대구광역시,전체(시 / 군 / 구),농사용,"11,667 ","5,313,791 ","277,040,244 ",52.1 
201504,대구광역시,전체(시 / 군 / 구),가로등,"36,727 ","10,299,074 ","1,158,791,917 ",112.5 
201504,대구광역시,전체(시 / 군 / 구),심 야,"22,518 ","29,294,142 ","1,622,778,905 ",55.4 
201505,대구광역시,전체(시 / 군 / 구),주택용,"639,549 ","241,010,140 ","27,051,208,987 ",112.2 
201505,대구광역시,전체(시 / 군 / 구),일반용,"145,855 ","312,709,642 ","36,456,065,815 ",116.6 
201505,대구광역시,전체(시 / 군 / 구),교육용,788 ,"21,166,084 ","2,205,202,986 ",104.2 
201505,대구광역시,전체(시 / 군 / 구),산업용,"20,241 ","542,186,860 ","54,100,276,587 ",99.8 
201505,대구광역시,전체(시 / 군 / 구),농사용,"11,787 ","4,571,232 ","241,656,345 ",52.9 
201505,대구광역시,전체(시 / 군 / 구),가로등,"36,832 ","9,517,242 ","1,101,280,580 ",115.7 
201505,대구광역시,전체(시 / 군 / 구),심 야,"22,401 ","17,917,546 ","1,042,901,394 ",58.2 
201506,대구광역시,전체(시 / 군 / 구),주택용,"641,016 ","244,374,884 ","28,054,727,745 ",114.8 
201506,대구광역시,전체(시 / 군 / 구),일반용,"145,689 ","339,219,640 ","45,268,282,315 ",133.4 
201506,대구광역시,전체(시 / 군 / 구),교육용,788 ,"25,039,344 ","3,050,128,549 ",121.8 
201506,대구광역시,전체(시 / 군 / 구),산업용,"20,283 ","567,417,965 ","67,899,647,266 ",119.7 
201506,대구광역시,전체(시 / 군 / 구),농사용,"11,882 ","6,261,084 ","288,214,567 ",46.0 
201506,대구광역시,전체(시 / 군 / 구),가로등,"36,860 ","9,023,765 ","1,070,345,374 ",118.6 
201506,대구광역시,전체(시 / 군 / 구),심 야,"22,311 ","11,705,269 ","709,126,030 ",60.6 
합계,합계,합계,합계,"5,252,553","7,591,383,057","880,105,679,703",115.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201501,대구광역시,남구,가로등,"3,575 ","582,358 ","57,091,748 ",98 
201501,대구광역시,남구,교육용,53 ,"3,264,467 ","368,477,769 ",112.9 
201501,대구광역시,남구,농사용,20 ,"32,372 ","1,518,507 ",46.9 
201501,대구광역시,남구,산업용,355 ,"1,094,389 ","136,639,008 ",124.9 
201501,대구광역시,남구,심 야,"3,756 ","6,429,109 ","483,357,396 ",75.2 
201501,대구광역시,남구,일반용,"11,924 ","29,423,338 ","3,749,160,531 ",127.4 
201501,대구광역시,남구,주택용,"75,182 ","19,797,802 ","2,712,780,723 ",137 
201501,대구광역시,남구,합계,"94,865 ","60,623,835 ","7,509,025,682 ",123.9 
201501,대구광역시,달서구,가로등,"4,002 ","2,181,715 ","227,279,759 ",104.2 
201501,대구광역시,달서구,교육용,199 ,"6,397,045 ","723,123,641 ",113 
201501,대구광역시,달서구,농사용,136 ,"42,877 ","2,118,446 ",49.4 
201501,대구광역시,달서구,산업용,"3,677 ","216,912,089 ","26,015,052,601 ",119.9 
201501,대구광역시,달서구,심 야,"3,066 ","6,214,382 ","465,852,382 ",75 
201501,대구광역시,달서구,일반용,"27,342 ","80,235,896 ","10,585,349,505 ",131.9 
201501,대구광역시,달서구,주택용,"116,871 ","71,271,098 ","9,212,759,908 ",129.3 
201501,대구광역시,달서구,합계,"155,293 ","383,255,102 ","47,231,536,242 ",123.2 
201501,대구광역시,달성군,가로등,"3,726 ","2,112,659 ","230,191,937 ",109 
201501,대구광역시,달성군,교육용,72 ,"4,771,500 ","478,633,896 ",100.3 
201501,대구광역시,달성군,농사용,"5,647 ","4,904,502 ","237,406,578 ",48.4 
201501,대구광역시,달성군,산업용,"4,003 ","232,792,410 ","27,118,976,395 ",116.5 
201501,대구광역시,달성군,심 야,"2,483 ","7,457,892 ","566,733,153 ",76 
201501,대구광역시,달성군,일반용,"9,984 ","30,117,206 ","3,793,809,230 ",126 
201501,대구광역시,달성군,주택용,"37,763 ","18,191,765 ","2,377,537,677 ",130.7 
201501,대구광역시,달성군,합계,"63,678 ","300,347,934 ","34,803,288,866 ",115.9 
201501,대구광역시,동구,가로등,"3,850 ","1,944,254 ","207,796,712 ",106.9 
201501,대구광역시,동구,교육용,104 ,"2,384,300 ","284,810,609 ",119.5 
201501,대구광역시,동구,농사용,"3,698 ","1,450,021 ","71,763,926 ",49.5 
201501,대구광역시,동구,산업용,"1,236 ","12,650,136 ","1,646,160,802 ",130.1 
201501,대구광역시,동구,심 야,"3,953 ","9,357,238 ","706,762,399 ",75.5 
201501,대구광역시,동구,일반용,"19,939 ","59,216,055 ","7,744,647,890 ",130.8 
201501,대구광역시,동구,주택용,"100,136 ","40,669,830 ","5,474,770,040 ",134.6 
201501,대구광역시,동구,합계,"132,916 ","127,671,834 ","16,136,712,378 ",126.4 
201501,대구광역시,북구,가로등,"10,524 ","2,183,221 ","226,078,109 ",103.6 
201501,대구광역시,북구,교육용,141 ,"8,914,977 ","963,228,728 ",108 
201501,대구광역시,북구,농사용,"1,057 ","904,532 ","43,916,041 ",48.6 
201501,대구광역시,북구,산업용,"6,646 ","79,892,047 ","9,812,958,887 ",122.8 
201501,대구광역시,북구,심 야,"2,972 ","6,453,504 ","486,325,947 ",75.4 
201501,대구광역시,북구,일반용,"24,295 ","72,902,489 ","9,591,066,817 ",131.6 
201501,대구광역시,북구,주택용,"96,471 ","51,176,806 ","6,664,160,746 ",130.2 
201501,대구광역시,북구,합계,"142,106 ","222,427,576 ","27,787,735,275 ",124.9 
201501,대구광역시,서구,가로등,"3,613 ","781,138 ","71,553,178 ",91.6 
201501,대구광역시,서구,교육용,46 ,"1,220,642 ","143,712,197 ",117.7 
201501,대구광역시,서구,농사용,29 ,"34,682 ","1,752,716 ",50.5 
201501,대구광역시,서구,산업용,"2,338 ","41,550,286 ","5,301,374,581 ",127.6 
201501,대구광역시,서구,심 야,"1,832 ","4,215,055 ","316,202,880 ",75 
201501,대구광역시,서구,일반용,"14,355 ","29,999,869 ","3,948,138,440 ",131.6 
201501,대구광역시,서구,주택용,"83,331 ","23,862,102 ","3,293,329,286 ",138 
201501,대구광역시,서구,합계,"105,544 ","101,663,774 ","13,076,063,278 ",128.6 
201501,대구광역시,수성구,가로등,"3,633 ","1,740,544 ","184,384,089 ",105.9 
201501,대구광역시,수성구,교육용,131 ,"4,074,609 ","465,383,809 ",114.2 
201501,대구광역시,수성구,농사용,908 ,"413,207 ","20,806,784 ",50.4 
201501,대구광역시,수성구,산업용,686 ,"14,114,054 ","1,840,078,473 ",130.4 
201501,대구광역시,수성구,심 야,"3,461 ","7,641,739 ","574,118,878 ",75.1 
201501,대구광역시,수성구,일반용,"22,450 ","69,412,725 ","9,193,244,849 ",132.4 
