계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 01 월 ~ 2015년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201501,대전광역시,전체(시 / 군 / 구),주택용,"401,463 ","178,051,055 ","23,053,927,420 ",129.5 
201501,대전광역시,전체(시 / 군 / 구),일반용,"75,968 ","313,620,417 ","41,443,575,955 ",132.1 
201501,대전광역시,전체(시 / 군 / 구),교육용,605 ,"40,004,040 ","4,167,626,524 ",104.2 
201501,대전광역시,전체(시 / 군 / 구),산업용,"5,183 ","286,480,493 ","33,712,806,392 ",117.7 
201501,대전광역시,전체(시 / 군 / 구),농사용,"6,042 ","3,136,865 ","154,232,385 ",49.2 
201501,대전광역시,전체(시 / 군 / 구),가로등,"14,938 ","7,373,809 ","788,988,613 ",107.0 
201501,대전광역시,전체(시 / 군 / 구),심 야,"19,115 ","46,850,681 ","3,527,548,084 ",75.3 
201502,대전광역시,전체(시 / 군 / 구),주택용,"402,169 ","175,089,542 ","22,307,093,630 ",127.4 
201502,대전광역시,전체(시 / 군 / 구),일반용,"76,047 ","296,421,923 ","39,342,234,420 ",132.7 
201502,대전광역시,전체(시 / 군 / 구),교육용,606 ,"35,148,521 ","3,748,312,387 ",106.6 
201502,대전광역시,전체(시 / 군 / 구),산업용,"5,190 ","255,133,737 ","30,215,554,305 ",118.4 
201502,대전광역시,전체(시 / 군 / 구),농사용,"6,039 ","3,216,070 ","156,554,033 ",48.7 
201502,대전광역시,전체(시 / 군 / 구),가로등,"14,961 ","6,945,351 ","772,812,310 ",111.3 
201502,대전광역시,전체(시 / 군 / 구),심 야,"19,079 ","43,770,067 ","3,295,232,514 ",75.3 
201503,대전광역시,전체(시 / 군 / 구),주택용,"402,754 ","153,100,082 ","17,329,129,020 ",113.2 
201503,대전광역시,전체(시 / 군 / 구),일반용,"75,981 ","259,577,013 ","31,635,351,842 ",121.9 
201503,대전광역시,전체(시 / 군 / 구),교육용,606 ,"32,643,753 ","3,089,959,006 ",94.7 
201503,대전광역시,전체(시 / 군 / 구),산업용,"5,201 ","272,432,238 ","26,468,625,217 ",97.2 
