년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,대전광역시,대덕구,일반용,12086,169232421,12.06
201501-201506,대전광역시,대덕구,합계,12854,1403634861,
201501-201506,대전광역시,동구,일반용,14016,187885382,40.62
201501-201506,대전광역시,동구,합계,18107,462585524,
201501-201506,대전광역시,서구,일반용,20097,485138423,53.32
201501-201506,대전광역시,서구,합계,24922,909869107,
201501-201506,대전광역시,유성구,일반용,14123,516655701,37.97
201501-201506,대전광역시,유성구,합계,15209,1360802080,
201501-201506,대전광역시,중구,일반용,15698,253651583,51.17
201501-201506,대전광역시,중구,합계,16452,495733105,
