년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,전라북도,고창군,일반용,4298,49217336,17.91
201501-201506,전라북도,고창군,합계,9341,274797528,
201501-201506,전라북도,군산시,일반용,19391,292030172,6.67
201501-201506,전라북도,군산시,합계,22080,4380081844,
201501-201506,전라북도,김제시,일반용,6205,74728864,16.24
201501-201506,전라북도,김제시,합계,11939,460212915,
201501-201506,전라북도,남원시,일반용,7032,77992779,27.18
201501-201506,전라북도,남원시,합계,12115,287000202,
201501-201506,전라북도,무주군,일반용,2548,43099975,40.67
201501-201506,전라북도,무주군,합계,4214,105970171,
201501-201506,전라북도,부안군,일반용,5338,63337215,26.71
201501-201506,전라북도,부안군,합계,8369,237095756,
201501-201506,전라북도,순창군,일반용,2140,20706049,17.41
201501-201506,전라북도,순창군,합계,4910,118959651,
201501-201506,전라북도,완주군,일반용,6591,91637456,11.26
201501-201506,전라북도,완주군,합계,10172,813485383,
201501-201506,전라북도,익산시,일반용,20109,243521955,15.4
201501-201506,전라북도,익산시,합계,27066,1581783645,
201501-201506,전라북도,임실군,일반용,2210,26439986,18.92
201501-201506,전라북도,임실군,합계,5120,139718824,
201501-201506,전라북도,장수군,일반용,1544,17345424,15.37
201501-201506,전라북도,장수군,합계,4023,112888134,
201501-201506,전라북도,전주시,일반용,43269,606079555,28.42
201501-201506,전라북도,전주시,합계,42757,2132652050,
201501-201506,전라북도,정읍시,일반용,8772,88735344,12.79
201501-201506,전라북도,정읍시,합계,15314,693849440,
201501-201506,전라북도,진안군,일반용,1963,20440170,21.5
201501-201506,전라북도,진안군,합계,4547,95075855,
