년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201501-201506,충청북도,괴산군,일반용,3305,39993531,16.16
201501-201506,충청북도,괴산군,합계,6887,247420920,
201501-201506,충청북도,단양군,일반용,3273,35509546,4.01
201501-201506,충청북도,단양군,합계,5131,885568345,
201501-201506,충청북도,보은군,일반용,2799,32615964,19.81
201501-201506,충청북도,보은군,합계,6347,164638569,
201501-201506,충청북도,영동군,일반용,3837,39545880,17.76
201501-201506,충청북도,영동군,합계,8798,222685311,
201501-201506,충청북도,옥천군,일반용,3848,45326236,14.33
201501-201506,충청북도,옥천군,합계,7801,316195729,
201501-201506,충청북도,음성군,일반용,7953,105214614,8.09
201501-201506,충청북도,음성군,합계,11977,1300337455,
201501-201506,충청북도,제천시,일반용,11310,135916767,18.23
201501-201506,충청북도,제천시,합계,14550,745522694,
201501-201506,충청북도,증평군,일반용,2669,31978488,12.09
201501-201506,충청북도,증평군,합계,3574,264574209,
201501-201506,충청북도,진천군,일반용,5545,80864333,8.17
201501-201506,충청북도,진천군,합계,7987,989204017,
201501-201506,충청북도,청주시,일반용,49775,755992625,14.21
201501-201506,충청북도,청주시,합계,65388,5320610114,
201501-201506,충청북도,충주시,일반용,15703,217069343,19.28
201501-201506,충청북도,충주시,합계,24271,1126049229,
