계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,경상남도,전체(시 / 군 / 구),주택용,"1,099,958 ","326,532,725 ","36,319,215,339 ",111.2 
201507,경상남도,전체(시 / 군 / 구),일반용,"212,784 ","470,849,620 ","72,041,447,546 ",153.0 
201507,경상남도,전체(시 / 군 / 구),교육용,"1,611 ","28,830,012 ","4,099,528,639 ",142.2 
201507,경상남도,전체(시 / 군 / 구),산업용,"36,343 ","1,727,402,791 ","225,424,232,975 ",130.5 
201507,경상남도,전체(시 / 군 / 구),농사용,"172,848 ","103,207,184 ","5,303,597,617 ",51.4 
201507,경상남도,전체(시 / 군 / 구),가로등,"145,116 ","19,147,632 ","2,372,638,047 ",123.9 
201507,경상남도,전체(시 / 군 / 구),심 야,"96,386 ","33,976,683 ","1,908,435,017 ",56.2 
201508,경상남도,전체(시 / 군 / 구),주택용,"1,101,583 ","407,592,005 ","53,573,444,975 ",131.4 
201508,경상남도,전체(시 / 군 / 구),일반용,"213,381 ","573,575,001 ","83,141,082,849 ",145.0 
201508,경상남도,전체(시 / 군 / 구),교육용,"1,617 ","28,908,845 ","4,116,738,388 ",142.4 
201508,경상남도,전체(시 / 군 / 구),산업용,"36,354 ","1,569,519,173 ","202,668,898,572 ",129.1 
201508,경상남도,전체(시 / 군 / 구),농사용,"174,093 ","135,027,346 ","6,651,656,970 ",49.3 
201508,경상남도,전체(시 / 군 / 구),가로등,"146,892 ","20,386,814 ","2,428,893,036 ",119.1 
201508,경상남도,전체(시 / 군 / 구),심 야,"96,198 ","28,474,935 ","1,635,192,552 ",57.4 
201509,경상남도,전체(시 / 군 / 구),주택용,"1,103,440 ","350,519,290 ","40,304,794,019 ",115.0 
201509,경상남도,전체(시 / 군 / 구),일반용,"213,943 ","503,531,766 ","66,610,838,310 ",132.3 
201509,경상남도,전체(시 / 군 / 구),교육용,"1,621 ","30,427,624 ","3,611,911,244 ",118.7 
201509,경상남도,전체(시 / 군 / 구),산업용,"36,403 ","1,590,250,310 ","171,778,497,056 ",108.0 
201509,경상남도,전체(시 / 군 / 구),농사용,"175,335 ","127,707,154 ","6,369,238,398 ",49.9 
201509,경상남도,전체(시 / 군 / 구),가로등,"147,359 ","21,540,062 ","2,490,209,842 ",115.6 
201509,경상남도,전체(시 / 군 / 구),심 야,"96,041 ","28,468,164 ","1,613,652,727 ",56.7 
201510,경상남도,전체(시 / 군 / 구),주택용,"1,105,527 ","321,108,559 ","35,613,944,673 ",110.9 
201510,경상남도,전체(시 / 군 / 구),일반용,"214,145 ","425,885,109 ","51,113,105,063 ",120.0 
201510,경상남도,전체(시 / 군 / 구),교육용,"1,621 ","25,184,463 ","2,909,367,262 ",115.5 
