년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,경상남도,거제시,일반용,17281,234923917,21.5
201507-201512,경상남도,거제시,합계,19849,1092668195,
201507-201512,경상남도,거창군,일반용,4921,46559295,23.23
201507-201512,경상남도,거창군,합계,8968,200440473,
201507-201512,경상남도,고성군,일반용,4620,45354456,14.83
201507-201512,경상남도,고성군,합계,8515,305858621,
201507-201512,경상남도,김해시,일반용,28622,439077398,17.75
201507-201512,경상남도,김해시,합계,31905,2473977850,
201507-201512,경상남도,남해군,일반용,4715,44650674,36.04
201507-201512,경상남도,남해군,합계,8087,123888120,
201507-201512,경상남도,밀양시,일반용,8995,83982894,17.35
201507-201512,경상남도,밀양시,합계,15925,483962667,
201507-201512,경상남도,사천시,일반용,9068,105280477,17.04
201507-201512,경상남도,사천시,합계,12066,617696805,
201507-201512,경상남도,산청군,일반용,3420,28778254,20.61
201507-201512,경상남도,산청군,합계,6706,139601307,
201507-201512,경상남도,양산시,일반용,16609,254557187,14.93
201507-201512,경상남도,양산시,합계,18009,1705392796,
201507-201512,경상남도,의령군,일반용,2506,19575246,10.54
201507-201512,경상남도,의령군,합계,5535,185734410,
201507-201512,경상남도,진주시,일반용,24111,300175644,26.11
201507-201512,경상남도,진주시,합계,30550,1149820958,
201507-201512,경상남도,창녕군,일반용,5380,58362721,14.16
201507-201512,경상남도,창녕군,합계,9768,412258906,
201507-201512,경상남도,창원시,일반용,55928,942463748,18.0
201507-201512,경상남도,창원시,합계,75451,5236871629,
201507-201512,경상남도,통영시,일반용,10706,139919626,23.55
201507-201512,경상남도,통영시,합계,13153,594168307,
201507-201512,경상남도,하동군,일반용,4168,38314832,25.28
201507-201512,경상남도,하동군,합계,8632,151567859,
201507-201512,경상남도,함안군,일반용,5332,57237255,4.66
201507-201512,경상남도,함안군,합계,8668,1227160347,
201507-201512,경상남도,함양군,일반용,3561,28810257,23.89
201507-201512,경상남도,함양군,합계,6679,120579528,
201507-201512,경상남도,합천군,일반용,3926,35179517,20.8
201507-201512,경상남도,합천군,합계,8127,169138309,
