계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,경상북도,전체(시 / 군 / 구),주택용,"1,080,072 ","254,852,271 ","27,361,440,973 ",107.4 
201507,경상북도,전체(시 / 군 / 구),일반용,"203,647 ","385,587,087 ","59,545,884,047 ",154.4 
201507,경상북도,전체(시 / 군 / 구),교육용,"1,463 ","43,330,955 ","5,510,221,990 ",127.2 
201507,경상북도,전체(시 / 군 / 구),산업용,"30,301 ","2,730,896,270 ","318,549,020,664 ",116.6 
201507,경상북도,전체(시 / 군 / 구),농사용,"297,646 ","137,709,349 ","6,717,674,336 ",48.8 
201507,경상북도,전체(시 / 군 / 구),가로등,"163,176 ","18,808,720 ","2,349,630,973 ",124.9 
201507,경상북도,전체(시 / 군 / 구),심 야,"81,978 ","35,846,556 ","2,026,817,958 ",56.5 
201508,경상북도,전체(시 / 군 / 구),주택용,"1,082,609 ","323,242,830 ","41,685,891,296 ",129.0 
201508,경상북도,전체(시 / 군 / 구),일반용,"204,293 ","470,801,049 ","68,496,708,992 ",145.5 
201508,경상북도,전체(시 / 군 / 구),교육용,"1,467 ","42,281,490 ","5,407,098,102 ",127.9 
201508,경상북도,전체(시 / 군 / 구),산업용,"30,365 ","2,609,251,162 ","297,910,294,110 ",114.2 
201508,경상북도,전체(시 / 군 / 구),농사용,"300,166 ","184,785,241 ","8,611,057,730 ",46.6 
201508,경상북도,전체(시 / 군 / 구),가로등,"166,214 ","20,199,117 ","2,399,444,894 ",118.8 
201508,경상북도,전체(시 / 군 / 구),심 야,"81,827 ","30,184,378 ","1,747,477,588 ",57.9 
201509,경상북도,전체(시 / 군 / 구),주택용,"1,085,834 ","273,344,174 ","30,956,325,725 ",113.3 
201509,경상북도,전체(시 / 군 / 구),일반용,"204,701 ","405,841,787 ","54,601,324,008 ",134.5 
201509,경상북도,전체(시 / 군 / 구),교육용,"1,468 ","44,490,694 ","4,584,252,613 ",103.0 
201509,경상북도,전체(시 / 군 / 구),산업용,"30,427 ","2,653,946,690 ","249,186,189,424 ",93.9 
201509,경상북도,전체(시 / 군 / 구),농사용,"302,911 ","183,855,927 ","8,652,924,838 ",47.1 
201509,경상북도,전체(시 / 군 / 구),가로등,"166,630 ","21,195,286 ","2,423,903,323 ",114.4 
201509,경상북도,전체(시 / 군 / 구),심 야,"81,686 ","31,693,211 ","1,807,652,617 ",57.0 
201510,경상북도,전체(시 / 군 / 구),주택용,"1,088,411 ","252,582,695 ","26,494,872,818 ",104.9 
201510,경상북도,전체(시 / 군 / 구),일반용,"204,928 ","352,760,725 ","42,894,958,630 ",121.6 
201510,경상북도,전체(시 / 군 / 구),교육용,"1,467 ","40,621,348 ","3,958,540,598 ",97.4 
201510,경상북도,전체(시 / 군 / 구),산업용,"30,513 ","2,760,283,057 ","250,202,500,659 ",90.6 
201510,경상북도,전체(시 / 군 / 구),농사용,"303,903 ","139,607,197 ","6,997,677,971 ",50.1 
201510,경상북도,전체(시 / 군 / 구),가로등,"167,118 ","23,240,576 ","2,490,503,787 ",107.2 
201510,경상북도,전체(시 / 군 / 구),심 야,"81,585 ","53,401,249 ","2,934,984,875 ",55.0 
201511,경상북도,전체(시 / 군 / 구),주택용,"1,091,328 ","274,318,115 ","31,844,337,949 ",116.1 
201511,경상북도,전체(시 / 군 / 구),일반용,"205,464 ","380,188,830 ","50,105,741,168 ",131.8 
201511,경상북도,전체(시 / 군 / 구),교육용,"1,471 ","47,984,983 ","5,208,412,527 ",108.5 
201511,경상북도,전체(시 / 군 / 구),산업용,"30,615 ","2,587,860,746 ","289,662,880,868 ",111.9 
201511,경상북도,전체(시 / 군 / 구),농사용,"372,004 ","189,338,449 ","8,354,285,565 ",44.1 
201511,경상북도,전체(시 / 군 / 구),가로등,"167,549 ","24,727,481 ","2,585,948,161 ",104.6 
201511,경상북도,전체(시 / 군 / 구),심 야,"81,537 ","99,256,225 ","6,313,474,361 ",63.6 
201512,경상북도,전체(시 / 군 / 구),주택용,"1,094,463 ","284,858,010 ","34,137,774,030 ",119.8 
201512,경상북도,전체(시 / 군 / 구),일반용,"206,221 ","430,284,467 ","60,109,680,671 ",139.7 
201512,경상북도,전체(시 / 군 / 구),교육용,"1,477 ","60,240,196 ","6,406,435,745 ",106.3 
201512,경상북도,전체(시 / 군 / 구),산업용,"30,698 ","2,693,426,798 ","304,626,396,188 ",113.1 
201512,경상북도,전체(시 / 군 / 구),농사용,"302,357 ","149,370,849 ","7,422,519,776 ",49.7 
201512,경상북도,전체(시 / 군 / 구),가로등,"168,112 ","26,672,130 ","2,697,214,061 ",101.1 
201512,경상북도,전체(시 / 군 / 구),심 야,"81,437 ","152,424,043 ","11,463,414,654 ",75.2 
합계,합계,합계,합계,"11,311,539","21,925,592,413","2,357,443,791,263",107.5
,,,,,,,
