년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,경상북도,경산시,일반용,16009,202065440,15.54
201507-201512,경상북도,경산시,합계,24445,1300643864,
201507-201512,경상북도,경주시,일반용,23477,303137241,15.72
201507-201512,경상북도,경주시,합계,31465,1928319257,
201507-201512,경상북도,고령군,일반용,2964,26699805,4.64
201507-201512,경상북도,고령군,합계,5008,575854877,
201507-201512,경상북도,구미시,일반용,26327,341166684,6.9
201507-201512,경상북도,구미시,합계,32868,4944545279,
201507-201512,경상북도,군위군,일반용,2000,23974906,15.76
201507-201512,경상북도,군위군,합계,4695,152089574,
201507-201512,경상북도,김천시,일반용,9705,116117061,11.45
201507-201512,경상북도,김천시,합계,16878,1014142650,
201507-201512,경상북도,문경시,일반용,6244,68294132,25.02
201507-201512,경상북도,문경시,합계,10081,272912459,
201507-201512,경상북도,봉화군,일반용,2858,21894888,2.3
201507-201512,경상북도,봉화군,합계,6821,952036116,
201507-201512,경상북도,상주시,일반용,7474,76453661,22.43
201507-201512,경상북도,상주시,합계,16100,340900281,
201507-201512,경상북도,성주군,일반용,3836,35200006,8.0
201507-201512,경상북도,성주군,합계,8144,440270361,
201507-201512,경상북도,안동시,일반용,12743,164202242,33.68
201507-201512,경상북도,안동시,합계,19736,487590649,
201507-201512,경상북도,영덕군,일반용,4922,50047994,37.53
201507-201512,경상북도,영덕군,합계,6707,133338906,
201507-201512,경상북도,영양군,일반용,1558,11885590,22.85
201507-201512,경상북도,영양군,합계,3970,52026240,
201507-201512,경상북도,영주시,일반용,9213,85757271,12.62
201507-201512,경상북도,영주시,합계,13250,679491001,
201507-201512,경상북도,영천시,일반용,7644,85132489,12.2
201507-201512,경상북도,영천시,합계,14046,697671668,
201507-201512,경상북도,예천군,일반용,3173,34866959,24.52
201507-201512,경상북도,예천군,합계,8998,142223780,
201507-201512,경상북도,울릉군,일반용,1609,16228608,59.28
201507-201512,경상북도,울릉군,합계,1277,27374311,
201507-201512,경상북도,울진군,일반용,5171,72321268,32.85
201507-201512,경상북도,울진군,합계,8453,220148558,
201507-201512,경상북도,의성군,일반용,4050,34103218,17.24
201507-201512,경상북도,의성군,합계,11291,197788929,
201507-201512,경상북도,청도군,일반용,3628,37827437,16.58
201507-201512,경상북도,청도군,합계,9018,228086789,
201507-201512,경상북도,청송군,일반용,2612,23309421,28.56
201507-201512,경상북도,청송군,합계,6089,81616665,
201507-201512,경상북도,칠곡군,일반용,9957,132546431,13.6
201507-201512,경상북도,칠곡군,합계,13004,974359687,
201507-201512,경상북도,포항시,일반용,37695,462231193,7.6
201507-201512,경상북도,포항시,합계,41854,6082160512,
