년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,대구광역시,남구,일반용,11932,149006525,52.33
201507-201512,대구광역시,남구,합계,15916,284740874,
201507-201512,대구광역시,달서구,일반용,27272,404188507,20.06
201507-201512,대구광역시,달서구,합계,26550,2014515488,
201507-201512,대구광역시,달성군,일반용,10306,137181829,8.38
201507-201512,대구광역시,달성군,합계,11131,1637208932,
201507-201512,대구광역시,동구,일반용,20206,302126008,47.47
201507-201512,대구광역시,동구,합계,22538,636521479,
201507-201512,대구광역시,북구,일반용,24465,366742953,32.61
201507-201512,대구광역시,북구,합계,23969,1124731738,
201507-201512,대구광역시,서구,일반용,14264,148607738,28.18
201507-201512,대구광역시,서구,합계,17701,527373677,
201507-201512,대구광역시,수성구,일반용,22639,345202916,44.36
201507-201512,대구광역시,수성구,합계,21000,778209778,
201507-201512,대구광역시,중구,일반용,15141,260062614,73.67
201507-201512,대구광역시,중구,합계,8814,353020670,
