계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,세종특별자치시,전체(시 / 군 / 구),주택용,"46,850 ","22,000,279 ","2,489,443,221 ",113.2 
201507,세종특별자치시,전체(시 / 군 / 구),일반용,"10,003 ","34,666,758 ","5,435,723,078 ",156.8 
201507,세종특별자치시,전체(시 / 군 / 구),교육용,97 ,"3,954,843 ","571,662,846 ",144.5 
201507,세종특별자치시,전체(시 / 군 / 구),산업용,"1,401 ","147,290,739 ","18,024,102,652 ",122.4 
201507,세종특별자치시,전체(시 / 군 / 구),농사용,"8,213 ","5,686,022 ","224,189,679 ",39.4 
201507,세종특별자치시,전체(시 / 군 / 구),가로등,"7,053 ","1,645,125 ","206,425,401 ",125.5 
201507,세종특별자치시,전체(시 / 군 / 구),심 야,"8,105 ","2,252,261 ","132,432,453 ",58.8 
201508,세종특별자치시,전체(시 / 군 / 구),주택용,"47,017 ","27,246,873 ","3,573,035,201 ",131.1 
201508,세종특별자치시,전체(시 / 군 / 구),일반용,"10,095 ","38,403,918 ","5,786,352,758 ",150.7 
201508,세종특별자치시,전체(시 / 군 / 구),교육용,97 ,"4,022,683 ","488,314,303 ",121.4 
201508,세종특별자치시,전체(시 / 군 / 구),산업용,"1,408 ","137,542,762 ","16,466,734,616 ",119.7 
201508,세종특별자치시,전체(시 / 군 / 구),농사용,"8,269 ","7,551,012 ","352,519,992 ",46.7 
201508,세종특별자치시,전체(시 / 군 / 구),가로등,"7,060 ","1,730,474 ","209,660,612 ",121.2 
201508,세종특별자치시,전체(시 / 군 / 구),심 야,"8,064 ","1,980,092 ","117,651,569 ",59.4 
201509,세종특별자치시,전체(시 / 군 / 구),주택용,"47,114 ","24,026,923 ","2,688,371,189 ",111.9 
201509,세종특별자치시,전체(시 / 군 / 구),일반용,"10,133 ","35,635,104 ","4,860,971,779 ",136.4 
201509,세종특별자치시,전체(시 / 군 / 구),교육용,98 ,"4,263,131 ","485,931,467 ",114.0 
201509,세종특별자치시,전체(시 / 군 / 구),산업용,"1,411 ","140,963,833 ","13,927,463,284 ",98.8 
201509,세종특별자치시,전체(시 / 군 / 구),농사용,"8,314 ","7,321,044 ","338,269,921 ",46.2 
201509,세종특별자치시,전체(시 / 군 / 구),가로등,"7,071 ","1,867,959 ","218,162,273 ",116.8 
201509,세종특별자치시,전체(시 / 군 / 구),심 야,"8,042 ","2,043,213 ","118,536,072 ",58.0 
201510,세종특별자치시,전체(시 / 군 / 구),주택용,"47,174 ","22,226,129 ","2,430,155,255 ",109.3 
201510,세종특별자치시,전체(시 / 군 / 구),일반용,"10,149 ","30,016,803 ","3,789,463,056 ",126.2 
201510,세종특별자치시,전체(시 / 군 / 구),교육용,98 ,"3,722,160 ","383,215,492 ",103.0 
201510,세종특별자치시,전체(시 / 군 / 구),산업용,"1,414 ","142,943,325 ","13,284,361,452 ",92.9 
201510,세종특별자치시,전체(시 / 군 / 구),농사용,"8,325 ","5,322,566 ","263,293,147 ",49.5 
201510,세종특별자치시,전체(시 / 군 / 구),가로등,"7,124 ","2,060,006 ","228,767,055 ",111.1 
201510,세종특별자치시,전체(시 / 군 / 구),심 야,"8,026 ","3,736,548 ","207,819,117 ",55.6 
201511,세종특별자치시,전체(시 / 군 / 구),주택용,"47,247 ","24,498,473 ","2,886,635,927 ",117.8 
201511,세종특별자치시,전체(시 / 군 / 구),일반용,"10,411 ","32,355,597 ","4,490,567,775 ",138.8 
201511,세종특별자치시,전체(시 / 군 / 구),교육용,98 ,"4,398,098 ","475,795,061 ",108.2 
201511,세종특별자치시,전체(시 / 군 / 구),산업용,"1,425 ","143,069,021 ","16,296,564,325 ",113.9 
