계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,울산광역시,전체(시 / 군 / 구),주택용,"309,776 ","114,348,950 ","12,891,646,776 ",112.7 
201507,울산광역시,전체(시 / 군 / 구),일반용,"68,808 ","157,187,934 ","24,207,785,688 ",154.0 
201507,울산광역시,전체(시 / 군 / 구),교육용,421 ,"12,597,403 ","1,635,891,538 ",129.9 
201507,울산광역시,전체(시 / 군 / 구),산업용,"6,135 ","2,312,654,012 ","269,482,993,863 ",116.5 
201507,울산광역시,전체(시 / 군 / 구),농사용,"11,625 ","5,251,300 ","274,478,930 ",52.3 
201507,울산광역시,전체(시 / 군 / 구),가로등,"30,750 ","4,218,197 ","524,297,906 ",124.3 
201507,울산광역시,전체(시 / 군 / 구),심 야,"8,149 ","5,649,562 ","324,863,927 ",57.5 
201508,울산광역시,전체(시 / 군 / 구),주택용,"310,348 ","149,474,736 ","20,932,705,520 ",140.0 
201508,울산광역시,전체(시 / 군 / 구),일반용,"69,065 ","191,536,649 ","27,895,850,420 ",145.6 
201508,울산광역시,전체(시 / 군 / 구),교육용,423 ,"13,265,407 ","1,678,938,142 ",126.6 
201508,울산광역시,전체(시 / 군 / 구),산업용,"6,158 ","2,238,453,893 ","232,560,227,815 ",103.9 
201508,울산광역시,전체(시 / 군 / 구),농사용,"11,727 ","7,040,009 ","349,989,314 ",49.7 
201508,울산광역시,전체(시 / 군 / 구),가로등,"30,817 ","4,506,240 ","537,245,895 ",119.2 
201508,울산광역시,전체(시 / 군 / 구),심 야,"8,115 ","5,113,362 ","298,536,662 ",58.4 
201509,울산광역시,전체(시 / 군 / 구),주택용,"311,131 ","126,349,186 ","15,690,572,255 ",124.2 
201509,울산광역시,전체(시 / 군 / 구),일반용,"69,243 ","170,886,131 ","22,718,092,195 ",132.9 
201509,울산광역시,전체(시 / 군 / 구),교육용,424 ,"13,060,396 ","1,388,423,295 ",106.3 
