계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,전라북도,전체(시 / 군 / 구),주택용,"615,427 ","182,356,288 ","20,243,300,235 ",111.0 
201507,전라북도,전체(시 / 군 / 구),일반용,"132,037 ","269,291,176 ","41,383,544,484 ",153.7 
201507,전라북도,전체(시 / 군 / 구),교육용,"1,193 ","24,417,109 ","3,396,953,431 ",139.1 
201507,전라북도,전체(시 / 군 / 구),산업용,"13,750 ","1,058,330,452 ","127,844,229,179 ",120.8 
201507,전라북도,전체(시 / 군 / 구),농사용,"129,248 ","94,496,707 ","4,587,216,574 ",48.5 
201507,전라북도,전체(시 / 군 / 구),가로등,"121,130 ","13,015,163 ","1,608,381,209 ",123.6 
201507,전라북도,전체(시 / 군 / 구),심 야,"69,073 ","24,164,155 ","1,383,767,658 ",57.3 
201508,전라북도,전체(시 / 군 / 구),주택용,"616,006 ","222,729,389 ","28,570,012,755 ",128.3 
201508,전라북도,전체(시 / 군 / 구),일반용,"132,341 ","324,412,137 ","47,319,817,137 ",145.9 
201508,전라북도,전체(시 / 군 / 구),교육용,"1,192 ","25,222,265 ","3,464,286,050 ",137.4 
201508,전라북도,전체(시 / 군 / 구),산업용,"13,821 ","1,067,966,246 ","124,186,019,500 ",116.3 
201508,전라북도,전체(시 / 군 / 구),농사용,"130,265 ","131,107,132 ","6,025,260,412 ",46.0 
201508,전라북도,전체(시 / 군 / 구),가로등,"121,460 ","13,975,181 ","1,644,588,297 ",117.7 
201508,전라북도,전체(시 / 군 / 구),심 야,"68,887 ","20,163,142 ","1,186,762,675 ",58.9 
201509,전라북도,전체(시 / 군 / 구),주택용,"617,221 ","193,087,343 ","21,777,491,683 ",112.8 
201509,전라북도,전체(시 / 군 / 구),일반용,"132,626 ","284,381,932 ","38,076,459,884 ",133.9 
201509,전라북도,전체(시 / 군 / 구),교육용,"1,198 ","25,428,500 ","3,073,609,866 ",120.9 
201509,전라북도,전체(시 / 군 / 구),산업용,"13,880 ","1,140,205,333 ","106,321,911,408 ",93.2 
201509,전라북도,전체(시 / 군 / 구),농사용,"131,242 ","125,756,804 ","5,844,107,968 ",46.5 
201509,전라북도,전체(시 / 군 / 구),가로등,"121,683 ","14,748,870 ","1,673,237,436 ",113.4 
