계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2015년 07 월 ~ 2015년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,충청북도,전체(시 / 군 / 구),주택용,"555,705 ","155,676,564 ","17,493,043,279 ",112.4 
201507,충청북도,전체(시 / 군 / 구),일반용,"110,816 ","245,131,483 ","37,539,730,236 ",153.1 
201507,충청북도,전체(시 / 군 / 구),교육용,756 ,"19,641,094 ","2,734,406,319 ",139.2 
201507,충청북도,전체(시 / 군 / 구),산업용,"15,080 ","1,375,667,041 ","171,819,124,235 ",124.9 
201507,충청북도,전체(시 / 군 / 구),농사용,"114,994 ","51,275,004 ","2,600,167,840 ",50.7 
201507,충청북도,전체(시 / 군 / 구),가로등,"88,904 ","12,166,837 ","1,471,558,904 ",120.9 
201507,충청북도,전체(시 / 군 / 구),심 야,"92,418 ","27,037,537 ","1,547,537,433 ",57.2 
201508,충청북도,전체(시 / 군 / 구),주택용,"557,229 ","189,688,369 ","24,918,035,886 ",131.4 
201508,충청북도,전체(시 / 군 / 구),일반용,"111,200 ","284,322,899 ","41,623,472,191 ",146.4 
201508,충청북도,전체(시 / 군 / 구),교육용,755 ,"19,412,643 ","2,700,323,459 ",139.1 
201508,충청북도,전체(시 / 군 / 구),산업용,"15,139 ","1,305,895,321 ","148,367,597,824 ",113.6 
201508,충청북도,전체(시 / 군 / 구),농사용,"115,970 ","69,008,332 ","3,339,056,713 ",48.4 
201508,충청북도,전체(시 / 군 / 구),가로등,"89,122 ","12,851,734 ","1,496,655,250 ",116.5 
201508,충청북도,전체(시 / 군 / 구),심 야,"92,287 ","24,106,067 ","1,414,203,308 ",58.7 
201509,충청북도,전체(시 / 군 / 구),주택용,"558,980 ","165,791,496 ","19,046,600,903 ",114.9 
201509,충청북도,전체(시 / 군 / 구),일반용,"111,455 ","253,931,711 ","34,152,184,900 ",134.5 
201509,충청북도,전체(시 / 군 / 구),교육용,760 ,"20,963,797 ","2,546,780,998 ",121.5 
201509,충청북도,전체(시 / 군 / 구),산업용,"15,174 ","1,283,911,835 ","123,227,585,653 ",96.0 
201509,충청북도,전체(시 / 군 / 구),농사용,"116,760 ","70,553,448 ","3,388,821,203 ",48.0 
201509,충청북도,전체(시 / 군 / 구),가로등,"89,253 ","13,553,606 ","1,531,123,352 ",113.0 
201509,충청북도,전체(시 / 군 / 구),심 야,"92,224 ","25,289,729 ","1,447,689,084 ",57.2 
201510,충청북도,전체(시 / 군 / 구),주택용,"560,292 ","151,645,047 ","16,783,887,348 ",110.7 
201510,충청북도,전체(시 / 군 / 구),일반용,"111,795 ","216,370,982 ","26,415,133,657 ",122.1 
201510,충청북도,전체(시 / 군 / 구),교육용,760 ,"17,877,885 ","1,958,937,424 ",109.6 
201510,충청북도,전체(시 / 군 / 구),산업용,"15,218 ","1,306,094,340 ","121,731,494,858 ",93.2 
201510,충청북도,전체(시 / 군 / 구),농사용,"117,092 ","52,194,737 ","2,698,941,225 ",51.7 
201510,충청북도,전체(시 / 군 / 구),가로등,"89,497 ","14,371,278 ","1,541,883,408 ",107.3 
201510,충청북도,전체(시 / 군 / 구),심 야,"92,197 ","44,632,430 ","2,470,481,210 ",55.4 
201511,충청북도,전체(시 / 군 / 구),주택용,"561,694 ","165,072,444 ","19,802,668,077 ",120.0 
201511,충청북도,전체(시 / 군 / 구),일반용,"112,377 ","229,802,563 ","30,497,937,719 ",132.7 
201511,충청북도,전체(시 / 군 / 구),교육용,760 ,"21,750,320 ","2,457,142,252 ",113.0 
201511,충청북도,전체(시 / 군 / 구),산업용,"15,260 ","1,301,476,043 ","152,082,701,780 ",116.9 
201511,충청북도,전체(시 / 군 / 구),농사용,"151,859 ","75,253,649 ","3,345,896,815 ",44.5 
201511,충청북도,전체(시 / 군 / 구),가로등,"89,663 ","14,910,474 ","1,568,533,958 ",105.2 
201511,충청북도,전체(시 / 군 / 구),심 야,"92,258 ","95,545,539 ","6,085,419,697 ",63.7 
201512,충청북도,전체(시 / 군 / 구),주택용,"563,086 ","172,210,702 ","21,321,620,313 ",123.8 
201512,충청북도,전체(시 / 군 / 구),일반용,"112,734 ","262,705,755 ","36,919,465,361 ",140.5 
201512,충청북도,전체(시 / 군 / 구),교육용,763 ,"30,527,104 ","3,396,698,221 ",111.3 
201512,충청북도,전체(시 / 군 / 구),산업용,"15,318 ","1,333,862,007 ","153,823,438,457 ",115.3 
201512,충청북도,전체(시 / 군 / 구),농사용,"117,106 ","59,533,323 ","3,017,437,669 ",50.7 
201512,충청북도,전체(시 / 군 / 구),가로등,"89,875 ","15,261,494 ","1,563,352,761 ",102.4 
201512,충청북도,전체(시 / 군 / 구),심 야,"92,294 ","159,250,745 ","11,883,263,304 ",74.6 
합계,합계,합계,합계,"5,946,879","11,366,225,408","1,265,772,034,484",111.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201507,충청북도,괴산군,가로등,"2,794 ","1,004,340 ","115,006,343 ",114.5 
201507,충청북도,괴산군,교육용,30 ,"1,441,790 ","175,358,011 ",121.6 
201507,충청북도,괴산군,농사용,"11,368 ","4,585,748 ","234,222,685 ",51.1 
201507,충청북도,괴산군,산업용,729 ,"14,427,254 ","2,038,725,966 ",141.3 
201507,충청북도,괴산군,심 야,"3,719 ","1,390,132 ","73,658,595 ",53 
201507,충청북도,괴산군,일반용,"3,307 ","6,067,807 ","969,130,010 ",159.7 
201507,충청북도,괴산군,주택용,"19,518 ","3,599,517 ","427,519,407 ",118.8 
201507,충청북도,괴산군,합계,"41,465 ","32,516,588 ","4,033,621,017 ",124 
201507,충청북도,단양군,가로등,"4,684 ","746,088 ","77,706,355 ",104.2 
201507,충청북도,단양군,교육용,26 ,"234,086 ","35,600,343 ",152.1 
201507,충청북도,단양군,농사용,"4,240 ","848,317 ","48,316,996 ",57 
201507,충청북도,단양군,산업용,457 ,"136,755,691 ","14,886,052,527 ",108.9 
201507,충청북도,단양군,심 야,"3,364 ","1,393,183 ","76,931,538 ",55.2 
201507,충청북도,단양군,일반용,"3,291 ","5,488,989 ","878,540,651 ",160.1 
201507,충청북도,단양군,주택용,"15,035 ","2,808,224 ","322,910,513 ",115 
201507,충청북도,단양군,합계,"31,097 ","148,274,578 ","16,326,058,923 ",110.1 
201507,충청북도,보은군,가로등,"5,676 ","443,027 ","51,598,115 ",116.5 
201507,충청북도,보은군,교육용,26 ,"230,249 ","35,072,453 ",152.3 
201507,충청북도,보은군,농사용,"9,014 ","3,187,843 ","166,691,457 ",52.3 
201507,충청북도,보은군,산업용,684 ,"8,168,369 ","1,132,858,305 ",138.7 
201507,충청북도,보은군,심 야,"2,846 ","1,112,529 ","60,836,159 ",54.7 
201507,충청북도,보은군,일반용,"2,794 ","4,237,134 ","711,854,097 ",168 
201507,충청북도,보은군,주택용,"16,830 ","2,977,201 ","343,041,684 ",115.2 
201507,충청북도,보은군,합계,"37,870 ","20,356,352 ","2,501,952,270 ",122.9 
201507,충청북도,영동군,가로등,"6,204 ","518,659 ","63,078,491 ",121.6 
201507,충청북도,영동군,교육용,38 ,"564,787 ","84,453,821 ",149.5 
201507,충청북도,영동군,농사용,"14,162 ","3,693,602 ","195,219,464 ",52.9 
201507,충청북도,영동군,산업용,668 ,"13,559,640 ","1,865,228,870 ",137.6 
201507,충청북도,영동군,심 야,"3,705 ","1,263,526 ","67,309,494 ",53.3 
201507,충청북도,영동군,일반용,"3,864 ","5,559,818 ","911,937,281 ",164 
201507,충청북도,영동군,주택용,"24,567 ","4,559,770 ","514,149,816 ",112.8 
201507,충청북도,영동군,합계,"53,208 ","29,719,802 ","3,701,377,237 ",124.5 
201507,충청북도,옥천군,가로등,"7,051 ","682,866 ","80,497,715 ",117.9 
201507,충청북도,옥천군,교육용,30 ,"277,531 ","44,001,187 ",158.5 
201507,충청북도,옥천군,농사용,"10,369 ","3,243,460 ","167,441,111 ",51.6 
201507,충청북도,옥천군,산업용,921 ,"27,839,175 ","3,891,014,822 ",139.8 
201507,충청북도,옥천군,심 야,"3,256 ","1,029,603 ","54,831,370 ",53.3 
201507,충청북도,옥천군,일반용,"3,867 ","6,365,991 ","1,017,736,474 ",159.9 
201507,충청북도,옥천군,주택용,"21,523 ","4,514,476 ","513,472,593 ",113.7 
201507,충청북도,옥천군,합계,"47,017 ","43,953,102 ","5,768,995,272 ",131.3 
201507,충청북도,음성군,가로등,"8,022 ","866,153 ","111,150,624 ",128.3 
201507,충청북도,음성군,교육용,60 ,"1,174,941 ","168,503,506 ",143.4 
