년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201507-201512,충청북도,괴산군,일반용,3360,37427281,16.9
201507-201512,충청북도,괴산군,합계,7035,221464954,
201507-201512,충청북도,단양군,일반용,3335,36644030,3.94
201507-201512,충청북도,단양군,합계,5222,929356442,
201507-201512,충청북도,보은군,일반용,2820,28532657,20.12
201507-201512,충청북도,보은군,합계,6465,141805326,
201507-201512,충청북도,영동군,일반용,3889,36106402,18.73
201507-201512,충청북도,영동군,합계,8964,192749334,
201507-201512,충청북도,옥천군,일반용,3894,41181211,14.67
201507-201512,충청북도,옥천군,합계,7944,280668504,
201507-201512,충청북도,음성군,일반용,8196,100265112,7.84
201507-201512,충청북도,음성군,합계,12226,1279662205,
201507-201512,충청북도,제천시,일반용,11453,128066809,18.11
201507-201512,충청북도,제천시,합계,14790,707129484,
201507-201512,충청북도,증평군,일반용,2702,29652540,11.99
201507-201512,충청북도,증평군,합계,3638,247302752,
201507-201512,충청북도,진천군,일반용,5731,80185926,8.26
201507-201512,충청북도,진천군,합계,8199,970223263,
201507-201512,충청북도,청주시,일반용,50412,765164795,14.26
201507-201512,충청북도,청주시,합계,66123,5365809072,
201507-201512,충청북도,충주시,일반용,15932,209038630,20.29
201507-201512,충청북도,충주시,합계,24580,1030054072,
