년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,강원도,강릉시,일반용,18497,247498845,24.65
201601-201606,강원도,강릉시,합계,20989,1004187010,
201601-201606,강원도,고성군,일반용,3762,61839436,39.44
201601-201606,강원도,고성군,합계,4614,156780495,
201601-201606,강원도,동해시,일반용,6810,106622979,7.54
201601-201606,강원도,동해시,합계,7889,1413563428,
201601-201606,강원도,삼척시,일반용,6242,83809661,10.34
201601-201606,강원도,삼척시,합계,8581,810728695,
201601-201606,강원도,속초시,일반용,7722,117707571,48.73
201601-201606,강원도,속초시,합계,6360,241564448,
201601-201606,강원도,양구군,일반용,2492,40929790,35.5
201601-201606,강원도,양구군,합계,3591,115292912,
201601-201606,강원도,양양군,일반용,3945,56965287,40.99
201601-201606,강원도,양양군,합계,4739,138961885,
201601-201606,강원도,영월군,일반용,4045,39019776,7.17
201601-201606,강원도,영월군,합계,6406,544564941,
201601-201606,강원도,원주시,일반용,23635,378709337,30.81
201601-201606,강원도,원주시,합계,24191,1229232839,
201601-201606,강원도,인제군,일반용,4365,68226447,39.63
201601-201606,강원도,인제군,합계,5444,172144414,
201601-201606,강원도,정선군,일반용,4891,102335499,33.14
201601-201606,강원도,정선군,합계,6142,308774701,
201601-201606,강원도,철원군,일반용,4679,80624676,31.56
201601-201606,강원도,철원군,합계,6865,255479077,
201601-201606,강원도,춘천시,일반용,20065,343423830,41.18
201601-201606,강원도,춘천시,합계,22462,834037436,
201601-201606,강원도,태백시,일반용,4095,47527342,27.78
201601-201606,강원도,태백시,합계,4600,171114177,
201601-201606,강원도,평창군,일반용,5940,119270778,37.2
201601-201606,강원도,평창군,합계,8028,320616597,
201601-201606,강원도,홍천군,일반용,7850,119250775,32.21
201601-201606,강원도,홍천군,합계,11109,370180095,
201601-201606,강원도,화천군,일반용,3144,57934724,43.9
201601-201606,강원도,화천군,합계,3799,131979039,
201601-201606,강원도,횡성군,일반용,4724,63932883,21.38
201601-201606,강원도,횡성군,합계,8154,299027702,
