계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,경상남도,전체(시 / 군 / 구),주택용,"1,111,804 ","385,954,785 ","51,153,797,273 ",132.5 
201601,경상남도,전체(시 / 군 / 구),일반용,"215,352 ","567,063,953 ","76,576,865,299 ",135.0 
201601,경상남도,전체(시 / 군 / 구),교육용,"1,628 ","37,664,882 ","4,233,078,042 ",112.4 
201601,경상남도,전체(시 / 군 / 구),산업용,"36,597 ","1,748,470,282 ","213,649,462,951 ",122.2 
201601,경상남도,전체(시 / 군 / 구),농사용,"178,953 ","314,184,457 ","14,660,802,461 ",46.7 
201601,경상남도,전체(시 / 군 / 구),가로등,"148,896 ","26,150,294 ","2,788,861,878 ",106.6 
201601,경상남도,전체(시 / 군 / 구),심 야,"95,591 ","166,858,290 ","12,591,806,237 ",75.5 
201602,경상남도,전체(시 / 군 / 구),주택용,"1,113,868 ","393,466,294 ","53,062,083,842 ",134.9 
201602,경상남도,전체(시 / 군 / 구),일반용,"215,642 ","587,365,947 ","78,896,313,405 ",134.3 
201602,경상남도,전체(시 / 군 / 구),교육용,"1,633 ","38,912,456 ","4,463,201,666 ",114.7 
201602,경상남도,전체(시 / 군 / 구),산업용,"36,636 ","1,603,028,687 ","199,080,285,499 ",124.2 
201602,경상남도,전체(시 / 군 / 구),농사용,"179,287 ","329,945,546 ","15,354,102,747 ",46.5 
201602,경상남도,전체(시 / 군 / 구),가로등,"153,513 ","24,933,836 ","2,769,354,711 ",111.1 
201602,경상남도,전체(시 / 군 / 구),심 야,"95,427 ","185,312,692 ","13,981,667,573 ",75.4 
201603,경상남도,전체(시 / 군 / 구),주택용,"1,115,419 ","350,832,725 ","42,451,174,892 ",121.0 
201603,경상남도,전체(시 / 군 / 구),일반용,"215,751 ","506,574,866 ","64,198,919,672 ",126.7 
201603,경상남도,전체(시 / 군 / 구),교육용,"1,633 ","37,393,535 ","3,995,387,771 ",106.8 
201603,경상남도,전체(시 / 군 / 구),산업용,"36,679 ","1,754,151,890 ","181,139,860,699 ",103.3 
201603,경상남도,전체(시 / 군 / 구),농사용,"203,782 ","245,055,757 ","11,714,185,761 ",47.8 
201603,경상남도,전체(시 / 군 / 구),가로등,"151,833 ","23,462,922 ","2,663,871,579 ",113.5 
201603,경상남도,전체(시 / 군 / 구),심 야,"95,240 ","144,452,622 ","9,641,266,342 ",66.7 
201604,경상남도,전체(시 / 군 / 구),주택용,"1,117,804 ","352,601,636 ","42,539,093,132 ",120.6 
201604,경상남도,전체(시 / 군 / 구),일반용,"216,204 ","474,943,442 ","55,295,706,959 ",116.4 
201604,경상남도,전체(시 / 군 / 구),교육용,"1,638 ","33,076,140 ","3,482,112,820 ",105.3 
201604,경상남도,전체(시 / 군 / 구),산업용,"36,741 ","1,688,090,744 ","169,773,977,780 ",100.6 
201604,경상남도,전체(시 / 군 / 구),농사용,"181,193 ","183,928,566 ","9,149,204,939 ",49.7 
201604,경상남도,전체(시 / 군 / 구),가로등,"152,528 ","22,893,405 ","2,688,684,902 ",117.4 
201604,경상남도,전체(시 / 군 / 구),심 야,"95,002 ","108,576,408 ","5,918,171,704 ",54.5 
201605,경상남도,전체(시 / 군 / 구),주택용,"1,119,980 ","327,956,202 ","37,281,315,071 ",113.7 
201605,경상남도,전체(시 / 군 / 구),일반용,"216,196 ","437,561,799 ","52,631,202,007 ",120.3 
201605,경상남도,전체(시 / 군 / 구),교육용,"1,644 ","26,485,513 ","3,079,306,302 ",116.3 
201605,경상남도,전체(시 / 군 / 구),산업용,"36,779 ","1,632,584,813 ","165,851,852,500 ",101.6 
201605,경상남도,전체(시 / 군 / 구),농사용,"182,149 ","125,136,123 ","6,654,220,459 ",53.2 
201605,경상남도,전체(시 / 군 / 구),가로등,"153,125 ","21,209,049 ","2,581,403,028 ",121.7 
201605,경상남도,전체(시 / 군 / 구),심 야,"94,751 ","67,163,562 ","3,671,620,190 ",54.7 
201606,경상남도,전체(시 / 군 / 구),주택용,"1,122,639 ","330,126,637 ","37,895,434,050 ",114.8 
201606,경상남도,전체(시 / 군 / 구),일반용,"216,130 ","476,176,683 ","64,370,009,559 ",135.2 
201606,경상남도,전체(시 / 군 / 구),교육용,"1,641 ","29,881,661 ","3,944,050,335 ",132.0 
201606,경상남도,전체(시 / 군 / 구),산업용,"36,798 ","1,651,936,457 ","204,297,899,031 ",123.7 
201606,경상남도,전체(시 / 군 / 구),농사용,"182,380 ","109,146,881 ","5,631,989,197 ",51.6 
201606,경상남도,전체(시 / 군 / 구),가로등,"153,649 ","20,222,992 ","2,544,746,931 ",125.8 
201606,경상남도,전체(시 / 군 / 구),심 야,"94,472 ","40,344,082 ","2,232,048,049 ",55.3 
합계,합계,합계,합계,"10,818,607","17,631,279,513","1,940,580,399,245",110.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,경상남도,거제시,가로등,"9,122 ","1,211,160 ","127,223,346 ",105 
201601,경상남도,거제시,교육용,115 ,"1,930,214 ","223,913,111 ",116 
201601,경상남도,거제시,농사용,"6,111 ","6,188,436 ","298,455,233 ",48.2 
201601,경상남도,거제시,산업용,"1,503 ","114,685,272 ","13,788,965,082 ",120.2 
201601,경상남도,거제시,심 야,"3,887 ","10,718,318 ","810,313,669 ",75.6 
201601,경상남도,거제시,일반용,"17,467 ","45,598,070 ","6,218,282,277 ",136.4 
201601,경상남도,거제시,주택용,"81,984 ","31,852,967 ","4,371,253,783 ",137.2 
201601,경상남도,거제시,합계,"120,189 ","212,184,437 ","25,838,406,501 ",121.8 
201601,경상남도,거창군,가로등,"6,299 ","664,133 ","69,950,015 ",105.3 
201601,경상남도,거창군,교육용,54 ,"913,591 ","97,849,149 ",107.1 
201601,경상남도,거창군,농사용,"10,983 ","7,250,755 ","352,139,640 ",48.6 
201601,경상남도,거창군,산업용,826 ,"10,321,057 ","1,321,127,765 ",128 
201601,경상남도,거창군,심 야,"2,594 ","5,436,640 ","413,027,713 ",76 
201601,경상남도,거창군,일반용,"4,977 ","10,093,535 ","1,342,652,759 ",133 
201601,경상남도,거창군,주택용,"28,212 ","6,942,826 ","901,422,824 ",129.8 
201601,경상남도,거창군,합계,"53,945 ","41,622,537 ","4,498,169,865 ",108.1 
201601,경상남도,고성군,가로등,"6,024 ","532,124 ","56,246,156 ",105.7 
201601,경상남도,고성군,교육용,45 ,"565,154 ","65,367,452 ",115.7 
201601,경상남도,고성군,농사용,"8,088 ","15,270,198 ","725,864,583 ",47.5 
201601,경상남도,고성군,산업용,914 ,"25,940,587 ","3,469,782,235 ",133.8 
201601,경상남도,고성군,심 야,"2,718 ","5,228,453 ","393,652,804 ",75.3 
201601,경상남도,고성군,일반용,"4,612 ","9,386,966 ","1,262,304,932 ",134.5 
201601,경상남도,고성군,주택용,"28,771 ","6,410,137 ","873,573,307 ",136.3 
201601,경상남도,고성군,합계,"51,172 ","63,333,619 ","6,846,791,469 ",108.1 
201601,경상남도,김해시,가로등,"13,202 ","3,820,701 ","414,099,093 ",108.4 
201601,경상남도,김해시,교육용,192 ,"4,937,648 ","575,937,296 ",116.6 
201601,경상남도,김해시,농사용,"9,056 ","21,943,002 ","1,015,952,199 ",46.3 
201601,경상남도,김해시,산업용,"9,310 ","284,360,618 ","36,901,758,423 ",129.8 
201601,경상남도,김해시,심 야,"7,129 ","13,860,585 ","1,051,574,956 ",75.9 
201601,경상남도,김해시,일반용,"28,740 ","83,849,014 ","11,375,452,475 ",135.7 
201601,경상남도,김해시,주택용,"125,063 ","59,149,676 ","7,772,041,417 ",131.4 
201601,경상남도,김해시,합계,"192,692 ","471,921,244 ","59,106,815,859 ",125.2 
201601,경상남도,남해군,가로등,"4,268 ","361,678 ","35,432,020 ",98 
201601,경상남도,남해군,교육용,44 ,"503,998 ","58,719,808 ",116.5 
201601,경상남도,남해군,농사용,"10,019 ","3,771,404 ","191,326,875 ",50.7 
201601,경상남도,남해군,산업용,811 ,"1,677,698 ","215,480,423 ",128.4 
201601,경상남도,남해군,심 야,"2,072 ","4,139,340 ","310,726,776 ",75.1 
201601,경상남도,남해군,일반용,"4,699 ","9,186,945 ","1,247,602,938 ",135.8 
201601,경상남도,남해군,주택용,"26,159 ","5,037,401 ","697,403,942 ",138.4 
201601,경상남도,남해군,합계,"48,072 ","24,678,464 ","2,756,692,782 ",111.7 
201601,경상남도,밀양시,가로등,"8,652 ","1,075,545 ","116,620,067 ",108.4 
201601,경상남도,밀양시,교육용,63 ,"1,415,773 ","151,030,313 ",106.7 
201601,경상남도,밀양시,농사용,"22,036 ","48,499,282 ","2,200,127,229 ",45.4 
201601,경상남도,밀양시,산업용,"1,408 ","42,259,737 ","5,373,724,358 ",127.2 
201601,경상남도,밀양시,심 야,"4,694 ","8,679,996 ","655,252,437 ",75.5 
201601,경상남도,밀양시,일반용,"9,043 ","17,095,263 ","2,310,200,311 ",135.1 
201601,경상남도,밀양시,주택용,"50,903 ","12,129,588 ","1,608,053,978 ",132.6 
201601,경상남도,밀양시,합계,"96,799 ","131,155,184 ","12,415,008,693 ",94.7 
201601,경상남도,사천시,가로등,"7,861 ","988,928 ","106,842,541 ",108 
201601,경상남도,사천시,교육용,63 ,"871,545 ","105,048,771 ",120.5 
201601,경상남도,사천시,농사용,"6,918 ","6,986,095 ","337,830,290 ",48.4 
201601,경상남도,사천시,산업용,"1,221 ","69,562,714 ","8,469,125,142 ",121.7 
201601,경상남도,사천시,심 야,"2,885 ","6,667,606 ","499,583,782 ",74.9 
201601,경상남도,사천시,일반용,"9,123 ","20,935,363 ","2,791,109,337 ",133.3 
201601,경상남도,사천시,주택용,"44,775 ","13,020,714 ","1,702,514,896 ",130.8 
201601,경상남도,사천시,합계,"72,846 ","119,032,965 ","14,012,054,759 ",117.7 
201601,경상남도,산청군,가로등,"3,246 ","427,631 ","47,468,489 ",111 
201601,경상남도,산청군,교육용,42 ,"387,378 ","46,190,408 ",119.2 
201601,경상남도,산청군,농사용,"10,815 ","11,143,662 ","528,525,477 ",47.4 
201601,경상남도,산청군,산업용,861 ,"5,922,494 ","803,603,079 ",135.7 
201601,경상남도,산청군,심 야,"1,970 ","4,378,940 ","327,289,455 ",74.7 
201601,경상남도,산청군,일반용,"3,442 ","5,907,650 ","825,709,585 ",139.8 
201601,경상남도,산청군,주택용,"19,871 ","3,652,984 ","477,354,220 ",130.7 
201601,경상남도,산청군,합계,"40,247 ","31,820,739 ","3,056,140,713 ",96 
201601,경상남도,양산시,가로등,"10,086 ","2,352,095 ","246,594,864 ",104.8 
201601,경상남도,양산시,교육용,109 ,"3,209,569 ","361,233,442 ",112.5 
201601,경상남도,양산시,농사용,"4,118 ","4,450,635 ","213,330,100 ",47.9 
201601,경상남도,양산시,산업용,"3,527 ","210,342,537 ","25,231,842,546 ",120 
201601,경상남도,양산시,심 야,"2,739 ","7,656,591 ","574,443,250 ",75 
201601,경상남도,양산시,일반용,"16,934 ","50,286,786 ","6,775,752,852 ",134.7 
201601,경상남도,양산시,주택용,"72,605 ","35,152,600 ","4,485,228,071 ",127.6 
201601,경상남도,양산시,합계,"110,118 ","313,450,813 ","37,888,425,125 ",120.9 
201601,경상남도,의령군,가로등,"4,855 ","487,558 ","45,092,523 ",92.5 
201601,경상남도,의령군,교육용,27 ,"308,266 ","37,394,916 ",121.3 
201601,경상남도,의령군,농사용,"6,769 ","11,176,979 ","524,560,285 ",46.9 
201601,경상남도,의령군,산업용,610 ,"17,829,793 ","2,139,245,805 ",120 
201601,경상남도,의령군,심 야,"1,562 ","3,106,175 ","226,087,959 ",72.8 
201601,경상남도,의령군,일반용,"2,477 ","4,180,225 ","563,819,499 ",134.9 
201601,경상남도,의령군,주택용,"16,796 ","3,000,908 ","398,606,626 ",132.8 
201601,경상남도,의령군,합계,"33,096 ","40,089,904 ","3,934,807,613 ",98.1 
201601,경상남도,진주시,가로등,"14,967 ","2,407,443 ","256,395,341 ",106.5 
201601,경상남도,진주시,교육용,154 ,"7,678,180 ","808,264,822 ",105.3 
201601,경상남도,진주시,농사용,"16,815 ","66,006,870 ","3,055,612,066 ",46.3 
201601,경상남도,진주시,산업용,"2,168 ","78,143,053 ","9,355,686,702 ",119.7 
201601,경상남도,진주시,심 야,"10,483 ","17,798,093 ","1,341,055,508 ",75.3 
201601,경상남도,진주시,일반용,"24,491 ","58,736,489 ","7,884,026,477 ",134.2 
201601,경상남도,진주시,주택용,"115,848 ","41,438,822 ","5,534,969,081 ",133.6 
201601,경상남도,진주시,합계,"184,926 ","272,208,950 ","28,236,009,997 ",103.7 
201601,경상남도,창녕군,가로등,"6,672 ","630,038 ","63,227,021 ",100.4 
201601,경상남도,창녕군,교육용,55 ,"669,381 ","76,390,146 ",114.1 
201601,경상남도,창녕군,농사용,"11,568 ","32,399,760 ","1,478,280,433 ",45.6 
201601,경상남도,창녕군,산업용,923 ,"40,418,675 ","4,964,995,811 ",122.8 
201601,경상남도,창녕군,심 야,"1,995 ","3,969,597 ","303,570,657 ",76.5 
201601,경상남도,창녕군,일반용,"5,369 ","11,995,803 ","1,597,581,586 ",133.2 
201601,경상남도,창녕군,주택용,"32,401 ","6,909,821 ","933,158,273 ",135 
201601,경상남도,창녕군,합계,"58,983 ","96,993,075 ","9,417,203,927 ",97.1 
201601,경상남도,창원시,가로등,"27,113 ","7,767,214 ","829,011,839 ",106.7 
201601,경상남도,창원시,교육용,409 ,"11,242,141 ","1,270,033,994 ",113 
201601,경상남도,창원시,농사용,"11,985 ","25,395,435 ","1,190,769,171 ",46.9 
201601,경상남도,창원시,산업용,"6,407 ","590,105,788 ","70,381,181,857 ",119.3 
201601,경상남도,창원시,심 야,"38,589 ","48,890,266 ","3,708,400,697 ",75.9 
201601,경상남도,창원시,일반용,"56,188 ","179,843,211 ","24,292,625,604 ",135.1 
201601,경상남도,창원시,주택용,"312,712 ","122,736,283 ","16,204,136,158 ",132 
201601,경상남도,창원시,합계,"453,403 ","985,980,338 ","117,876,159,320 ",119.6 
201601,경상남도,통영시,가로등,"7,841 ","865,821 ","93,366,020 ",107.8 
201601,경상남도,통영시,교육용,73 ,"1,167,427 ","134,647,564 ",115.3 
201601,경상남도,통영시,농사용,"3,722 ","9,465,131 ","450,585,747 ",47.6 
201601,경상남도,통영시,산업용,"1,144 ","54,241,980 ","6,342,596,810 ",116.9 
201601,경상남도,통영시,심 야,"2,447 ","5,470,304 ","412,482,209 ",75.4 
201601,경상남도,통영시,일반용,"10,775 ","27,657,953 ","3,718,440,420 ",134.4 
201601,경상남도,통영시,주택용,"53,204 ","16,628,059 ","2,294,458,884 ",138 
201601,경상남도,통영시,합계,"79,206 ","115,496,675 ","13,446,577,654 ",116.4 
201601,경상남도,하동군,가로등,"7,241 ","242,179 ","27,911,147 ",115.3 
201601,경상남도,하동군,교육용,48 ,"405,410 ","49,035,255 ",121 
201601,경상남도,하동군,농사용,"11,831 ","10,527,839 ","502,049,687 ",47.7 
201601,경상남도,하동군,산업용,916 ,"4,271,888 ","988,851,889 ",231.5 
201601,경상남도,하동군,심 야,"2,675 ","5,002,311 ","378,138,109 ",75.6 
201601,경상남도,하동군,일반용,"4,215 ","7,732,754 ","1,049,948,081 ",135.8 
201601,경상남도,하동군,주택용,"25,329 ","4,770,691 ","638,470,618 ",133.8 
201601,경상남도,하동군,합계,"52,255 ","32,953,072 ","3,634,404,786 ",110.3 
201601,경상남도,함안군,가로등,"4,798 ","860,833 ","93,877,614 ",109.1 
201601,경상남도,함안군,교육용,50 ,"567,118 ","67,364,242 ",118.8 
201601,경상남도,함안군,농사용,"8,998 ","15,205,986 ","716,656,848 ",47.1 
201601,경상남도,함안군,산업용,"2,350 ","188,008,854 ","22,527,136,986 ",119.8 
201601,경상남도,함안군,심 야,"3,225 ","6,207,611 ","468,293,214 ",75.4 
201601,경상남도,함안군,일반용,"5,308 ","11,401,327 ","1,537,880,246 ",134.9 
201601,경상남도,함안군,주택용,"27,624 ","7,918,359 ","1,056,571,873 ",133.4 
201601,경상남도,함안군,합계,"52,353 ","230,170,088 ","26,467,781,023 ",115 
201601,경상남도,함양군,가로등,"3,877 ","630,532 ","68,431,113 ",108.5 
201601,경상남도,함양군,교육용,35 ,"448,638 ","50,374,159 ",112.3 
201601,경상남도,함양군,농사용,"8,436 ","5,029,622 ","247,572,861 ",49.2 
201601,경상남도,함양군,산업용,744 ,"4,129,066 ","578,283,126 ",140.1 
201601,경상남도,함양군,심 야,"1,696 ","4,217,596 ","310,460,486 ",73.6 
201601,경상남도,함양군,일반용,"3,589 ","5,738,387 ","786,355,863 ",137 
201601,경상남도,함양군,주택용,"21,705 ","4,359,506 ","571,373,505 ",131.1 
201601,경상남도,함양군,합계,"40,082 ","24,553,347 ","2,612,851,113 ",106.4 
201601,경상남도,합천군,가로등,"2,772 ","824,681 ","91,072,669 ",110.4 
201601,경상남도,합천군,교육용,50 ,"443,451 ","54,283,194 ",122.4 
201601,경상남도,합천군,농사용,"10,685 ","13,473,366 ","631,163,737 ",46.8 
201601,경상남도,합천군,산업용,954 ,"6,248,471 ","796,074,912 ",127.4 
201601,경상남도,합천군,심 야,"2,231 ","5,429,868 ","407,452,556 ",75 
201601,경상남도,합천군,일반용,"3,903 ","7,438,212 ","997,120,057 ",134.1 
201601,경상남도,합천군,주택용,"27,842 ","4,843,443 ","633,205,817 ",130.7 
201601,경상남도,합천군,합계,"48,437 ","38,701,492 ","3,610,372,942 ",93.3 
201602,경상남도,거제시,가로등,"9,202 ","1,195,742 ","129,447,248 ",108.3 
201602,경상남도,거제시,교육용,115 ,"2,083,559 ","247,224,239 ",118.7 
201602,경상남도,거제시,농사용,"6,128 ","5,514,048 ","268,081,594 ",48.6 
201602,경상남도,거제시,산업용,"1,505 ","97,810,328 ","12,120,234,265 ",123.9 
201602,경상남도,거제시,심 야,"3,877 ","12,196,247 ","922,265,705 ",75.6 
201602,경상남도,거제시,일반용,"17,542 ","47,366,841 ","6,372,659,737 ",134.5 
201602,경상남도,거제시,주택용,"82,199 ","32,763,110 ","4,625,594,445 ",141.2 
201602,경상남도,거제시,합계,"120,568 ","198,929,875 ","24,685,507,233 ",124.1 
201602,경상남도,거창군,가로등,"6,319 ","634,894 ","69,854,404 ",110 
201602,경상남도,거창군,교육용,54 ,"1,000,626 ","108,390,058 ",108.3 
201602,경상남도,거창군,농사용,"10,991 ","7,613,440 ","367,810,684 ",48.3 
201602,경상남도,거창군,산업용,825 ,"9,772,758 ","1,266,576,748 ",129.6 
201602,경상남도,거창군,심 야,"2,590 ","6,036,822 ","458,592,298 ",76 
201602,경상남도,거창군,일반용,"4,943 ","10,539,217 ","1,380,417,161 ",131 
201602,경상남도,거창군,주택용,"28,318 ","7,183,879 ","945,388,305 ",131.6 
201602,경상남도,거창군,합계,"54,040 ","42,781,636 ","4,597,029,658 ",107.5 
201602,경상남도,고성군,가로등,"6,027 ","505,661 ","55,781,910 ",110.3 
201602,경상남도,고성군,교육용,46 ,"604,793 ","72,372,369 ",119.7 
201602,경상남도,고성군,농사용,"8,093 ","14,702,295 ","702,413,120 ",47.8 
201602,경상남도,고성군,산업용,908 ,"23,843,264 ","3,248,839,254 ",136.3 
201602,경상남도,고성군,심 야,"2,713 ","5,922,790 ","445,790,755 ",75.3 
201602,경상남도,고성군,일반용,"4,625 ","9,820,325 ","1,300,116,969 ",132.4 
201602,경상남도,고성군,주택용,"28,822 ","6,573,632 ","919,568,108 ",139.9 
201602,경상남도,고성군,합계,"51,234 ","61,972,760 ","6,744,882,485 ",108.8 
201602,경상남도,김해시,가로등,"13,181 ","3,599,132 ","405,192,344 ",112.6 
201602,경상남도,김해시,교육용,192 ,"5,086,022 ","600,688,636 ",118.1 
201602,경상남도,김해시,농사용,"9,071 ","23,402,942 ","1,100,613,625 ",47 
201602,경상남도,김해시,산업용,"9,329 ","282,648,035 ","36,540,209,574 ",129.3 
201602,경상남도,김해시,심 야,"7,121 ","15,232,900 ","1,155,176,749 ",75.8 
201602,경상남도,김해시,일반용,"28,810 ","87,157,165 ","11,801,914,821 ",135.4 
