계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,대구광역시,전체(시 / 군 / 구),주택용,"650,851 ","287,373,461 ","37,535,384,499 ",130.6 
201601,대구광역시,전체(시 / 군 / 구),일반용,"147,389 ","406,912,415 ","54,209,342,011 ",133.2 
201601,대구광역시,전체(시 / 군 / 구),교육용,796 ,"31,108,664 ","3,297,046,105 ",106.0 
201601,대구광역시,전체(시 / 군 / 구),산업용,"20,455 ","584,305,366 ","69,476,839,089 ",118.9 
201601,대구광역시,전체(시 / 군 / 구),농사용,"12,177 ","7,318,681 ","360,991,162 ",49.3 
201601,대구광역시,전체(시 / 군 / 구),가로등,"40,286 ","12,591,742 ","1,311,792,998 ",104.2 
201601,대구광역시,전체(시 / 군 / 구),심 야,"21,926 ","42,177,712 ","3,180,883,222 ",75.4 
201602,대구광역시,전체(시 / 군 / 구),주택용,"652,160 ","292,741,971 ","38,809,606,710 ",132.6 
201602,대구광역시,전체(시 / 군 / 구),일반용,"147,525 ","417,527,439 ","55,240,933,326 ",132.3 
201602,대구광역시,전체(시 / 군 / 구),교육용,807 ,"32,299,808 ","3,481,789,483 ",107.8 
201602,대구광역시,전체(시 / 군 / 구),산업용,"20,490 ","555,477,234 ","66,667,475,541 ",120.0 
201602,대구광역시,전체(시 / 군 / 구),농사용,"12,211 ","8,203,463 ","399,171,765 ",48.7 
201602,대구광역시,전체(시 / 군 / 구),가로등,"44,769 ","11,930,949 ","1,285,008,560 ",107.7 
201602,대구광역시,전체(시 / 군 / 구),심 야,"21,894 ","46,752,292 ","3,522,164,924 ",75.3 
201603,대구광역시,전체(시 / 군 / 구),주택용,"653,735 ","261,507,603 ","31,069,002,660 ",118.8 
201603,대구광역시,전체(시 / 군 / 구),일반용,"147,706 ","358,272,001 ","44,499,872,484 ",124.2 
201603,대구광역시,전체(시 / 군 / 구),교육용,810 ,"28,861,927 ","2,921,861,904 ",101.2 
201603,대구광역시,전체(시 / 군 / 구),산업용,"20,507 ","579,268,671 ","59,510,886,551 ",102.7 
201603,대구광역시,전체(시 / 군 / 구),농사용,"12,616 ","6,419,911 ","324,338,608 ",50.5 
201603,대구광역시,전체(시 / 군 / 구),가로등,"44,821 ","10,847,861 ","1,186,016,985 ",109.3 
