년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,대구광역시,남구,일반용,11991,151674754,50.3
201601-201606,대구광역시,남구,합계,16315,301515404,
201601-201606,대구광역시,달서구,일반용,27370,405597255,19.9
201601-201606,대구광역시,달서구,합계,27844,2037967729,
201601-201606,대구광역시,달성군,일반용,10709,155452991,9.03
201601-201606,대구광역시,달성군,합계,11417,1722294019,
201601-201606,대구광역시,동구,일반용,20625,313821540,46.46
201601-201606,대구광역시,동구,합계,22928,675461696,
201601-201606,대구광역시,북구,일반용,24745,372582376,31.91
201601-201606,대구광역시,북구,합계,24215,1167777541,
201601-201606,대구광역시,서구,일반용,14240,153542635,28.71
201601-201606,대구광역시,서구,합계,17798,534882306,
201601-201606,대구광역시,수성구,일반용,22784,351790188,44.15
201601-201606,대구광역시,수성구,합계,21143,796888302,
201601-201606,대구광역시,중구,일반용,15181,257694829,73.03
201601-201606,대구광역시,중구,합계,8856,352861092,
