년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,서울특별시,강남구,일반용,49475,1655797507,72.52
201601-201606,서울특별시,강남구,합계,33136,2283287249,
201601-201606,서울특별시,강동구,일반용,19755,353108685,47.67
201601-201606,서울특별시,강동구,합계,21270,740661377,
201601-201606,서울특별시,강북구,일반용,15957,205420673,45.58
201601-201606,서울특별시,강북구,합계,22126,450645130,
201601-201606,서울특별시,강서구,일반용,22912,483435673,47.6
201601-201606,서울특별시,강서구,합계,32618,1015609156,
201601-201606,서울특별시,관악구,일반용,24711,368690198,44.86
201601-201606,서울특별시,관악구,합계,40554,821860336,
201601-201606,서울특별시,광진구,일반용,20536,314561375,40.07
201601-201606,서울특별시,광진구,합계,26627,785057396,
201601-201606,서울특별시,구로구,일반용,17769,429277133,45.68
201601-201606,서울특별시,구로구,합계,21144,939678270,
201601-201606,서울특별시,금천구,일반용,13006,474080944,59.95
201601-201606,서울특별시,금천구,합계,15617,790762765,
201601-201606,서울특별시,노원구,일반용,14847,299628386,40.13
201601-201606,서울특별시,노원구,합계,18017,746628100,
201601-201606,서울특별시,도봉구,일반용,12026,172649174,38.8
201601-201606,서울특별시,도봉구,합계,16050,444958523,
201601-201606,서울특별시,동대문구,일반용,24291,326332106,46.28
201601-201606,서울특별시,동대문구,합계,24367,705132079,
201601-201606,서울특별시,동작구,일반용,16601,288397513,46.87
201601-201606,서울특별시,동작구,합계,25489,615268677,
201601-201606,서울특별시,마포구,일반용,27811,593467349,59.83
201601-201606,서울특별시,마포구,합계,24934,991936008,
201601-201606,서울특별시,서대문구,일반용,16153,279932321,46.55
201601-201606,서울특별시,서대문구,합계,19697,601351448,
201601-201606,서울특별시,서초구,일반용,30021,1040489451,60.77
201601-201606,서울특별시,서초구,합계,20956,1712059931,
201601-201606,서울특별시,성동구,일반용,15459,352071710,37.84
201601-201606,서울특별시,성동구,합계,15844,930441563,
201601-201606,서울특별시,성북구,일반용,21054,268763706,37.47
201601-201606,서울특별시,성북구,합계,25122,717307650,
201601-201606,서울특별시,송파구,일반용,28304,725066446,56.18
201601-201606,서울특별시,송파구,합계,28778,1290630248,
201601-201606,서울특별시,양천구,일반용,16671,401928693,52.82
201601-201606,서울특별시,양천구,합계,20940,761007977,
201601-201606,서울특별시,영등포구,일반용,24186,831172676,65.2
201601-201606,서울특별시,영등포구,합계,22637,1274841472,
201601-201606,서울특별시,용산구,일반용,16530,382739236,57.26
201601-201606,서울특별시,용산구,합계,17461,668421466,
201601-201606,서울특별시,은평구,일반용,20365,239516704,36.72
201601-201606,서울특별시,은평구,합계,31863,652274134,
201601-201606,서울특별시,종로구,일반용,25128,618609490,71.7
201601-201606,서울특별시,종로구,합계,15285,862776002,
201601-201606,서울특별시,중구,일반용,24554,954116572,77.84
201601-201606,서울특별시,중구,합계,12741,1225704176,
201601-201606,서울특별시,중랑구,일반용,19374,229588559,42.3
201601-201606,서울특별시,중랑구,합계,26908,542717693,
