년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,인천광역시,강화군,일반용,7294,84907757,29.52
201601-201606,인천광역시,강화군,합계,11419,287608747,
201601-201606,인천광역시,계양구,일반용,12495,219095196,34.03
201601-201606,인천광역시,계양구,합계,16359,643827357,
201601-201606,인천광역시,남구,일반용,20627,290363486,26.73
201601-201606,인천광역시,남구,합계,30919,1086227432,
201601-201606,인천광역시,남동구,일반용,21947,423223744,21.01
201601-201606,인천광역시,남동구,합계,24583,2014533743,
201601-201606,인천광역시,동구,일반용,3751,57848932,2.94
201601-201606,인천광역시,동구,합계,4008,1970606952,
201601-201606,인천광역시,부평구,일반용,22203,370397467,30.81
201601-201606,인천광역시,부평구,합계,27445,1202367185,
201601-201606,인천광역시,서구,일반용,20461,419930819,16.01
201601-201606,인천광역시,서구,합계,24196,2623085258,
201601-201606,인천광역시,연수구,일반용,8236,289147032,29.87
201601-201606,인천광역시,연수구,합계,9295,968004798,
201601-201606,인천광역시,옹진군,일반용,3755,48090483,43.45
201601-201606,인천광역시,옹진군,합계,3662,110679883,
201601-201606,인천광역시,중구,일반용,10031,445382161,46.46
201601-201606,인천광역시,중구,합계,7891,958572506,
