계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,제주특별자치도,전체(시 / 군 / 구),주택용,"232,455 ","66,248,508 ","9,259,003,237 ",139.8 
201601,제주특별자치도,전체(시 / 군 / 구),일반용,"55,132 ","152,591,279 ","20,683,806,090 ",135.6 
201601,제주특별자치도,전체(시 / 군 / 구),교육용,336 ,"11,429,918 ","1,227,671,276 ",107.4 
201601,제주특별자치도,전체(시 / 군 / 구),산업용,"3,214 ","47,238,007 ","5,879,513,418 ",124.5 
201601,제주특별자치도,전체(시 / 군 / 구),농사용,"42,487 ","128,368,103 ","5,902,049,060 ",46.0 
201601,제주특별자치도,전체(시 / 군 / 구),가로등,"20,209 ","5,054,051 ","514,172,728 ",101.7 
201601,제주특별자치도,전체(시 / 군 / 구),심 야,"7,540 ","18,016,642 ","1,349,644,066 ",74.9 
201602,제주특별자치도,전체(시 / 군 / 구),주택용,"234,022 ","68,009,778 ","9,786,608,836 ",143.9 
201602,제주특별자치도,전체(시 / 군 / 구),일반용,"55,573 ","156,348,172 ","23,815,982,061 ",152.3 
201602,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"11,018,619 ","1,209,649,770 ",109.8 
201602,제주특별자치도,전체(시 / 군 / 구),산업용,"3,224 ","43,563,917 ","5,487,626,341 ",126.0 
201602,제주특별자치도,전체(시 / 군 / 구),농사용,"42,584 ","143,853,612 ","6,575,689,613 ",45.7 
201602,제주특별자치도,전체(시 / 군 / 구),가로등,"20,345 ","4,579,222 ","500,372,469 ",109.3 
201602,제주특별자치도,전체(시 / 군 / 구),심 야,"7,528 ","20,001,764 ","1,496,519,717 ",74.8 
201603,제주특별자치도,전체(시 / 군 / 구),주택용,"235,088 ","60,163,992 ","7,581,952,754 ",126.0 
201603,제주특별자치도,전체(시 / 군 / 구),일반용,"55,818 ","139,728,056 ","14,634,226,544 ",104.7 
201603,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"10,593,523 ","1,058,217,077 ",99.9 
201603,제주특별자치도,전체(시 / 군 / 구),산업용,"3,217 ","43,517,618 ","4,928,761,248 ",113.3 
201603,제주특별자치도,전체(시 / 군 / 구),농사용,"42,689 ","129,835,344 ","5,913,120,531 ",45.5 
201603,제주특별자치도,전체(시 / 군 / 구),가로등,"20,440 ","4,271,296 ","476,267,970 ",111.5 
201603,제주특별자치도,전체(시 / 군 / 구),심 야,"7,513 ","16,169,325 ","1,058,308,844 ",65.5 
201604,제주특별자치도,전체(시 / 군 / 구),주택용,"236,579 ","59,680,499 ","7,427,135,098 ",124.4 
201604,제주특별자치도,전체(시 / 군 / 구),일반용,"56,189 ","132,211,127 ","15,344,125,784 ",116.1 
201604,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"9,560,446 ","933,886,204 ",97.7 
201604,제주특별자치도,전체(시 / 군 / 구),산업용,"3,205 ","44,976,774 ","4,727,092,946 ",105.1 
201604,제주특별자치도,전체(시 / 군 / 구),농사용,"42,891 ","130,028,075 ","5,844,786,936 ",45.0 
201604,제주특별자치도,전체(시 / 군 / 구),가로등,"20,471 ","3,943,328 ","476,113,089 ",120.7 
201604,제주특별자치도,전체(시 / 군 / 구),심 야,"7,493 ","12,802,925 ","693,757,032 ",54.2 
201605,제주특별자치도,전체(시 / 군 / 구),주택용,"237,944 ","54,911,906 ","6,335,594,736 ",115.4 
201605,제주특별자치도,전체(시 / 군 / 구),일반용,"56,590 ","125,307,624 ","14,999,595,742 ",119.7 
201605,제주특별자치도,전체(시 / 군 / 구),교육용,334 ,"8,339,248 ","862,694,045 ",103.4 
201605,제주특별자치도,전체(시 / 군 / 구),산업용,"3,162 ","44,811,395 ","4,722,401,806 ",105.4 
201605,제주특별자치도,전체(시 / 군 / 구),농사용,"43,053 ","109,823,689 ","5,037,090,560 ",45.9 
201605,제주특별자치도,전체(시 / 군 / 구),가로등,"20,550 ","3,583,941 ","452,670,551 ",126.3 
201605,제주특별자치도,전체(시 / 군 / 구),심 야,"7,474 ","9,044,251 ","509,492,723 ",56.3 
201606,제주특별자치도,전체(시 / 군 / 구),주택용,"239,490 ","55,468,845 ","6,440,119,002 ",116.1 
201606,제주특별자치도,전체(시 / 군 / 구),일반용,"57,052 ","132,653,800 ","18,055,170,067 ",136.1 
201606,제주특별자치도,전체(시 / 군 / 구),교육용,335 ,"8,919,690 ","1,108,143,275 ",124.2 
201606,제주특별자치도,전체(시 / 군 / 구),산업용,"3,104 ","45,461,023 ","5,506,368,373 ",121.1 
201606,제주특별자치도,전체(시 / 군 / 구),농사용,"43,151 ","102,036,882 ","4,765,511,382 ",46.7 
201606,제주특별자치도,전체(시 / 군 / 구),가로등,"20,820 ","3,351,170 ","447,946,634 ",133.7 
201606,제주특별자치도,전체(시 / 군 / 구),심 야,"7,453 ","6,746,131 ","405,778,317 ",60.1 
합계,합계,합계,합계,"2,197,756","2,384,263,515","234,434,637,952",98.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,제주특별자치도,서귀포시,가로등,"8,152 ","1,972,248 ","200,392,565 ",101.6 
201601,제주특별자치도,서귀포시,교육용,131 ,"4,622,999 ","474,988,227 ",102.7 
201601,제주특별자치도,서귀포시,농사용,"26,409 ","88,642,010 ","4,061,287,384 ",45.8 
201601,제주특별자치도,서귀포시,산업용,979 ,"13,150,407 ","1,736,823,542 ",132.1 
201601,제주특별자치도,서귀포시,심 야,"2,450 ","5,147,494 ","387,202,020 ",75.2 
201601,제주특별자치도,서귀포시,일반용,"15,697 ","47,968,462 ","6,495,590,885 ",135.4 
201601,제주특별자치도,서귀포시,주택용,"64,625 ","16,604,509 ","2,307,758,251 ",139 
201601,제주특별자치도,서귀포시,합계,"118,443 ","178,108,129 ","15,664,042,874 ",87.9 
201601,제주특별자치도,제주시,가로등,"12,057 ","3,081,803 ","313,780,163 ",101.8 
201601,제주특별자치도,제주시,교육용,205 ,"6,806,919 ","752,683,049 ",110.6 
201601,제주특별자치도,제주시,농사용,"16,078 ","39,726,093 ","1,840,761,676 ",46.3 
201601,제주특별자치도,제주시,산업용,"2,235 ","34,087,600 ","4,142,689,876 ",121.5 
201601,제주특별자치도,제주시,심 야,"5,090 ","12,869,148 ","962,442,046 ",74.8 
201601,제주특별자치도,제주시,일반용,"39,435 ","104,622,817 ","14,188,215,205 ",135.6 
201601,제주특별자치도,제주시,주택용,"167,830 ","49,643,999 ","6,951,244,986 ",140 
201601,제주특별자치도,제주시,합계,"242,930 ","250,838,379 ","29,151,817,001 ",116.2 
201602,제주특별자치도,서귀포시,가로등,"8,224 ","1,800,397 ","196,343,135 ",109.1 
201602,제주특별자치도,서귀포시,교육용,128 ,"4,276,056 ","455,031,875 ",106.4 
201602,제주특별자치도,서귀포시,농사용,"26,465 ","103,044,615 ","4,694,281,157 ",45.6 
201602,제주특별자치도,서귀포시,산업용,986 ,"11,811,779 ","1,592,179,409 ",134.8 
201602,제주특별자치도,서귀포시,심 야,"2,448 ","5,700,817 ","427,934,065 ",75.1 
201602,제주특별자치도,서귀포시,일반용,"15,833 ","48,413,197 ","9,344,500,985 ",193 
201602,제주특별자치도,서귀포시,주택용,"65,130 ","17,344,305 ","2,517,129,674 ",145.1 
201602,제주특별자치도,서귀포시,합계,"119,214 ","192,391,166 ","19,227,400,300 ",99.9 
201602,제주특별자치도,제주시,가로등,"12,121 ","2,778,825 ","304,029,334 ",109.4 
201602,제주특별자치도,제주시,교육용,206 ,"6,742,563 ","754,617,895 ",111.9 
201602,제주특별자치도,제주시,농사용,"16,119 ","40,808,997 ","1,881,408,456 ",46.1 
201602,제주특별자치도,제주시,산업용,"2,238 ","31,752,138 ","3,895,446,932 ",122.7 
201602,제주특별자치도,제주시,심 야,"5,080 ","14,300,947 ","1,068,585,652 ",74.7 
201602,제주특별자치도,제주시,일반용,"39,740 ","107,934,975 ","14,471,481,076 ",134.1 
201602,제주특별자치도,제주시,주택용,"168,892 ","50,665,473 ","7,269,479,162 ",143.5 
201602,제주특별자치도,제주시,합계,"244,396 ","254,983,918 ","29,645,048,507 ",116.3 
