계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,충청남도,전체(시 / 군 / 구),주택용,"714,882 ","236,467,235 ","30,581,948,547 ",129.3 
201601,충청남도,전체(시 / 군 / 구),일반용,"154,170 ","411,670,056 ","55,043,625,970 ",133.7 
201601,충청남도,전체(시 / 군 / 구),교육용,"1,103 ","45,855,350 ","4,727,694,450 ",103.1 
201601,충청남도,전체(시 / 군 / 구),산업용,"19,629 ","3,153,090,875 ","348,560,393,975 ",110.5 
201601,충청남도,전체(시 / 군 / 구),농사용,"170,952 ","177,941,547 ","8,570,653,311 ",48.2 
201601,충청남도,전체(시 / 군 / 구),가로등,"130,188 ","16,553,957 ","1,728,096,212 ",104.4 
201601,충청남도,전체(시 / 군 / 구),심 야,"94,028 ","237,133,263 ","17,852,822,672 ",75.3 
201602,충청남도,전체(시 / 군 / 구),주택용,"716,124 ","243,340,381 ","32,208,452,650 ",132.4 
201602,충청남도,전체(시 / 군 / 구),일반용,"154,365 ","426,530,881 ","56,444,078,237 ",132.3 
201602,충청남도,전체(시 / 군 / 구),교육용,"1,105 ","44,461,453 ","4,771,611,517 ",107.3 
201602,충청남도,전체(시 / 군 / 구),산업용,"19,691 ","2,919,510,344 ","323,235,594,384 ",110.7 
201602,충청남도,전체(시 / 군 / 구),농사용,"171,167 ","187,563,412 ","8,953,710,928 ",47.7 
201602,충청남도,전체(시 / 군 / 구),가로등,"131,703 ","15,514,785 ","1,709,998,917 ",110.2 
201602,충청남도,전체(시 / 군 / 구),심 야,"93,904 ","264,543,571 ","19,926,229,485 ",75.3 
201603,충청남도,전체(시 / 군 / 구),주택용,"717,209 ","218,152,808 ","26,078,919,621 ",119.5 
201603,충청남도,전체(시 / 군 / 구),일반용,"154,461 ","370,908,742 ","46,498,613,491 ",125.4 
201603,충청남도,전체(시 / 군 / 구),교육용,"1,108 ","43,511,489 ","4,268,233,817 ",98.1 
201603,충청남도,전체(시 / 군 / 구),산업용,"19,751 ","3,056,087,410 ","278,122,374,786 ",91.0 
201603,충청남도,전체(시 / 군 / 구),농사용,"275,451 ","176,588,575 ","8,452,254,795 ",47.9 
201603,충청남도,전체(시 / 군 / 구),가로등,"130,871 ","14,497,162 ","1,636,135,406 ",112.9 
201603,충청남도,전체(시 / 군 / 구),심 야,"93,800 ","210,713,643 ","14,026,510,481 ",66.6 
201604,충청남도,전체(시 / 군 / 구),주택용,"718,711 ","218,261,209 ","25,890,966,454 ",118.6 
201604,충청남도,전체(시 / 군 / 구),일반용,"155,084 ","334,179,152 ","38,915,426,568 ",116.5 
201604,충청남도,전체(시 / 군 / 구),교육용,"1,104 ","34,038,577 ","3,422,590,703 ",100.6 
201604,충청남도,전체(시 / 군 / 구),산업용,"19,816 ","3,034,071,106 ","272,330,582,095 ",89.8 
201604,충청남도,전체(시 / 군 / 구),농사용,"172,897 ","149,289,007 ","7,189,288,464 ",48.2 
201604,충청남도,전체(시 / 군 / 구),가로등,"131,114 ","13,990,207 ","1,663,998,913 ",118.9 
201604,충청남도,전체(시 / 군 / 구),심 야,"93,689 ","154,822,290 ","8,409,682,714 ",54.3 
201605,충청남도,전체(시 / 군 / 구),주택용,"719,570 ","204,032,046 ","22,951,246,244 ",112.5 
201605,충청남도,전체(시 / 군 / 구),일반용,"155,065 ","301,280,998 ","36,643,825,332 ",121.6 
201605,충청남도,전체(시 / 군 / 구),교육용,"1,103 ","26,627,451 ","2,967,407,806 ",111.4 
201605,충청남도,전체(시 / 군 / 구),산업용,"19,885 ","3,066,638,762 ","273,650,882,254 ",89.2 
201605,충청남도,전체(시 / 군 / 구),농사용,"173,792 ","119,718,889 ","5,704,753,093 ",47.7 
201605,충청남도,전체(시 / 군 / 구),가로등,"131,506 ","12,913,214 ","1,604,384,266 ",124.2 
201605,충청남도,전체(시 / 군 / 구),심 야,"93,565 ","90,861,577 ","4,958,986,014 ",54.6 
201606,충청남도,전체(시 / 군 / 구),주택용,"721,300 ","206,203,392 ","23,422,845,115 ",113.6 
201606,충청남도,전체(시 / 군 / 구),일반용,"155,101 ","321,064,771 ","43,768,528,782 ",136.3 
201606,충청남도,전체(시 / 군 / 구),교육용,"1,104 ","29,502,797 ","3,838,127,459 ",130.1 
201606,충청남도,전체(시 / 군 / 구),산업용,"19,959 ","3,032,044,725 ","343,183,065,462 ",113.2 
201606,충청남도,전체(시 / 군 / 구),농사용,"174,553 ","137,419,531 ","6,158,282,337 ",44.8 
201606,충청남도,전체(시 / 군 / 구),가로등,"132,111 ","12,414,813 ","1,602,700,545 ",129.1 
201606,충청남도,전체(시 / 군 / 구),심 야,"93,414 ","50,772,429 ","2,813,536,493 ",55.4 
합계,합계,합계,합계,"7,850,105","24,020,783,882","2,424,489,060,765",100.9
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,충청남도,계룡시,가로등,"1,130 ","248,820 ","27,007,584 ",108.5 
201601,충청남도,계룡시,교육용,17 ,"392,402 ","43,797,415 ",111.6 
201601,충청남도,계룡시,농사용,476 ,"286,492 ","14,081,980 ",49.2 
201601,충청남도,계룡시,산업용,109 ,"4,160,829 ","556,065,602 ",133.6 
201601,충청남도,계룡시,심 야,335 ,"1,046,989 ","80,467,265 ",76.9 
201601,충청남도,계룡시,일반용,"1,679 ","10,983,911 ","1,434,793,665 ",130.6 
201601,충청남도,계룡시,주택용,"3,674 ","4,888,869 ","612,285,003 ",125.2 
201601,충청남도,계룡시,합계,"7,420 ","22,008,312 ","2,768,498,514 ",125.8 
201601,충청남도,공주시,가로등,"7,815 ","1,539,700 ","168,192,165 ",109.2 
201601,충청남도,공주시,교육용,79 ,"3,417,660 ","347,639,477 ",101.7 
201601,충청남도,공주시,농사용,"12,806 ","9,805,665 ","474,988,578 ",48.4 
201601,충청남도,공주시,산업용,"1,137 ","33,348,877 ","4,072,794,758 ",122.1 
201601,충청남도,공주시,심 야,"7,325 ","18,303,494 ","1,378,808,916 ",75.3 
201601,충청남도,공주시,일반용,"9,373 ","23,827,569 ","3,151,143,606 ",132.2 
201601,충청남도,공주시,주택용,"46,291 ","12,120,026 ","1,609,063,073 ",132.8 
201601,충청남도,공주시,합계,"84,826 ","102,362,991 ","11,202,630,573 ",109.4 
201601,충청남도,금산군,가로등,"3,722 ","959,240 ","92,561,395 ",96.5 
201601,충청남도,금산군,교육용,39 ,"1,419,980 ","142,647,550 ",100.5 
