년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201601-201606,충청남도,계룡시,일반용,1674,58019924,49.26
201601-201606,충청남도,계룡시,합계,1250,117791446,
201601-201606,충청남도,공주시,일반용,9444,123457175,22.93
201601-201606,충청남도,공주시,합계,14384,538487480,
201601-201606,충청남도,금산군,일반용,5138,53317638,10.69
201601-201606,충청남도,금산군,합계,8456,498784337,
201601-201606,충청남도,논산시,일반용,10054,121663413,18.13
201601-201606,충청남도,논산시,합계,16238,670978142,
201601-201606,충청남도,당진시,일반용,13282,164393875,2.88
201601-201606,충청남도,당진시,합계,19585,5709764050,
201601-201606,충청남도,보령시,일반용,10207,132228790,22.43
201601-201606,충청남도,보령시,합계,13673,589625390,
201601-201606,충청남도,부여군,일반용,4930,55442063,17.66
201601-201606,충청남도,부여군,합계,11590,313913600,
201601-201606,충청남도,서산시,일반용,12849,177973988,5.07
201601-201606,충청남도,서산시,합계,17775,3510268791,
201601-201606,충청남도,서천군,일반용,4898,55298772,8.93
201601-201606,충청남도,서천군,합계,8637,619354633,
201601-201606,충청남도,아산시,일반용,18774,287400827,4.72
201601-201606,충청남도,아산시,합계,22869,6090829248,
201601-201606,충청남도,연기군,일반용,1,6207,100.0
201601-201606,충청남도,연기군,합계,0,6207,
201601-201606,충청남도,예산군,일반용,6898,82654972,15.48
201601-201606,충청남도,예산군,합계,12083,534012606,
201601-201606,충청남도,천안시,일반용,37553,636655815,17.03
201601-201606,충청남도,천안시,합계,42799,3739457131,
201601-201606,충청남도,청양군,일반용,2708,26519610,17.12
201601-201606,충청남도,청양군,합계,6289,154906672,
201601-201606,충청남도,태안군,일반용,8760,96452146,19.28
201601-201606,충청남도,태안군,합계,10203,500177062,
201601-201606,충청남도,홍성군,일반용,7533,94149385,21.77
201601-201606,충청남도,홍성군,합계,12220,432427087,
