계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 01 월 ~ 2016년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201601,충청북도,전체(시 / 군 / 구),주택용,"564,432 ","182,286,223 ","23,900,580,246 ",131.1 
201601,충청북도,전체(시 / 군 / 구),일반용,"113,292 ","301,782,741 ","40,502,846,296 ",134.2 
201601,충청북도,전체(시 / 군 / 구),교육용,765 ,"30,886,752 ","3,192,565,101 ",103.4 
201601,충청북도,전체(시 / 군 / 구),산업용,"15,358 ","1,322,184,561 ","152,029,643,340 ",115.0 
201601,충청북도,전체(시 / 군 / 구),농사용,"116,801 ","66,736,126 ","3,293,320,261 ",49.3 
201601,충청북도,전체(시 / 군 / 구),가로등,"90,089 ","15,533,863 ","1,607,900,441 ",103.5 
201601,충청북도,전체(시 / 군 / 구),심 야,"92,284 ","205,353,432 ","15,283,700,119 ",74.4 
201602,충청북도,전체(시 / 군 / 구),주택용,"565,347 ","186,493,757 ","24,944,836,139 ",133.8 
201602,충청북도,전체(시 / 군 / 구),일반용,"113,421 ","314,378,989 ","41,716,168,900 ",132.7 
201602,충청북도,전체(시 / 군 / 구),교육용,766 ,"32,802,088 ","3,419,457,585 ",104.2 
201602,충청북도,전체(시 / 군 / 구),산업용,"15,389 ","1,261,390,287 ","145,436,243,399 ",115.3 
201602,충청북도,전체(시 / 군 / 구),농사용,"116,720 ","69,653,865 ","3,417,090,940 ",49.1 
201602,충청북도,전체(시 / 군 / 구),가로등,"90,209 ","14,667,015 ","1,587,865,573 ",108.3 
201602,충청북도,전체(시 / 군 / 구),심 야,"92,242 ","225,723,326 ","16,808,707,183 ",74.5 
201603,충청북도,전체(시 / 군 / 구),주택용,"566,154 ","166,295,228 ","19,944,109,053 ",119.9 
201603,충청북도,전체(시 / 군 / 구),일반용,"113,267 ","269,453,130 ","34,027,503,849 ",126.3 
201603,충청북도,전체(시 / 군 / 구),교육용,769 ,"30,545,140 ","3,066,055,479 ",100.4 
201603,충청북도,전체(시 / 군 / 구),산업용,"15,439 ","1,259,777,282 ","128,447,650,266 ",102.0 
201603,충청북도,전체(시 / 군 / 구),농사용,"151,289 ","60,547,645 ","3,028,468,393 ",50.0 
201603,충청북도,전체(시 / 군 / 구),가로등,"90,300 ","14,144,270 ","1,557,071,011 ",110.1 
201603,충청북도,전체(시 / 군 / 구),심 야,"92,196 ","178,571,403 ","11,740,214,736 ",65.7 
201604,충청북도,전체(시 / 군 / 구),주택용,"567,058 ","165,796,128 ","19,891,108,980 ",120.0 
201604,충청북도,전체(시 / 군 / 구),일반용,"113,503 ","242,238,098 ","28,542,110,442 ",117.8 
201604,충청북도,전체(시 / 군 / 구),교육용,767 ,"25,279,770 ","2,444,682,662 ",96.7 
201604,충청북도,전체(시 / 군 / 구),산업용,"15,474 ","1,410,720,298 ","123,205,793,564 ",87.3 
201604,충청북도,전체(시 / 군 / 구),농사용,"117,750 ","52,007,052 ","2,675,589,317 ",51.4 
