계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,강원도,전체(시 / 군 / 구),주택용,"549,621 ","154,594,210 ","17,662,611,782 ",114.3 
201607,강원도,전체(시 / 군 / 구),일반용,"137,396 ","335,095,763 ","49,876,120,848 ",148.8 
201607,강원도,전체(시 / 군 / 구),교육용,"1,046 ","21,951,231 ","2,953,486,786 ",134.5 
201607,강원도,전체(시 / 군 / 구),산업용,"12,780 ","625,637,196 ","71,791,357,407 ",114.7 
201607,강원도,전체(시 / 군 / 구),농사용,"90,328 ","44,010,301 ","2,233,167,958 ",50.7 
201607,강원도,전체(시 / 군 / 구),가로등,"102,903 ","14,294,711 ","1,709,848,812 ",119.6 
201607,강원도,전체(시 / 군 / 구),심 야,"93,845 ","44,359,781 ","2,484,258,478 ",56.0 
201608,강원도,전체(시 / 군 / 구),주택용,"550,796 ","185,886,778 ","24,877,113,919 ",133.8 
201608,강원도,전체(시 / 군 / 구),일반용,"138,104 ","400,259,928 ","57,114,082,685 ",142.7 
201608,강원도,전체(시 / 군 / 구),교육용,"1,048 ","22,119,381 ","3,005,818,593 ",135.9 
201608,강원도,전체(시 / 군 / 구),산업용,"12,797 ","614,149,071 ","71,619,476,715 ",116.6 
201608,강원도,전체(시 / 군 / 구),농사용,"91,035 ","55,237,254 ","2,698,416,824 ",48.9 
201608,강원도,전체(시 / 군 / 구),가로등,"103,429 ","15,115,897 ","1,750,613,505 ",115.8 
201608,강원도,전체(시 / 군 / 구),심 야,"93,718 ","38,725,825 ","2,210,222,676 ",57.1 
201609,강원도,전체(시 / 군 / 구),주택용,"552,259 ","175,103,036 ","12,766,450,792 ",72.9 
201609,강원도,전체(시 / 군 / 구),일반용,"138,580 ","344,899,285 ","45,106,924,086 ",130.8 
