년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201607-201612,강원도,강릉시,일반용,18795,246141577,25.74
201607-201612,강원도,강릉시,합계,21252,956444468,
201607-201612,강원도,고성군,일반용,3826,62360306,43.69
201607-201612,강원도,고성군,합계,4674,142749884,
201607-201612,강원도,동해시,일반용,6892,101444584,7.37
201607-201612,강원도,동해시,합계,7990,1377171997,
201607-201612,강원도,삼척시,일반용,6340,84116729,10.46
201607-201612,강원도,삼척시,합계,8695,804033208,
201607-201612,강원도,속초시,일반용,7800,122780291,53.21
201607-201612,강원도,속초시,합계,6413,230732599,
201607-201612,강원도,양구군,일반용,2510,38712099,40.06
201607-201612,강원도,양구군,합계,3637,96629210,
201607-201612,강원도,양양군,일반용,4033,56531442,44.18
201607-201612,강원도,양양군,합계,4810,127963838,
201607-201612,강원도,영월군,일반용,4072,38658954,6.99
201607-201612,강원도,영월군,합계,6505,553011640,
201607-201612,강원도,원주시,일반용,24163,381789528,32.88
201607-201612,강원도,원주시,합계,24630,1161290088,
201607-201612,강원도,인제군,일반용,4411,64095528,44.41
201607-201612,강원도,인제군,합계,5522,144331870,
201607-201612,강원도,정선군,일반용,4932,96896656,35.08
201607-201612,강원도,정선군,합계,6221,276238111,
201607-201612,강원도,철원군,일반용,4685,75455198,35.01
201607-201612,강원도,철원군,합계,6956,215500769,
201607-201612,강원도,춘천시,일반용,20280,351051444,44.93
201607-201612,강원도,춘천시,합계,22741,781287343,
201607-201612,강원도,태백시,일반용,4064,41334998,27.25
201607-201612,강원도,태백시,합계,4609,151697760,
201607-201612,강원도,평창군,일반용,6047,111483863,41.69
201607-201612,강원도,평창군,합계,8188,267386328,
201607-201612,강원도,홍천군,일반용,7940,122396745,37.45
201607-201612,강원도,홍천군,합계,11308,326796976,
201607-201612,강원도,화천군,일반용,3172,53038230,48.4
201607-201612,강원도,화천군,합계,3872,109583270,
201607-201612,강원도,횡성군,일반용,4808,59782169,23.2
201607-201612,강원도,횡성군,합계,8348,257629691,
