계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,경상북도,전체(시 / 군 / 구),주택용,"1,110,615 ","271,954,275 ","31,069,453,610 ",114.2 
201607,경상북도,전체(시 / 군 / 구),일반용,"207,795 ","429,890,334 ","64,950,831,585 ",151.1 
201607,경상북도,전체(시 / 군 / 구),교육용,"1,479 ","48,555,628 ","5,847,064,998 ",120.4 
201607,경상북도,전체(시 / 군 / 구),산업용,"30,891 ","2,100,939,093 ","306,814,892,164 ",146.0 
201607,경상북도,전체(시 / 군 / 구),농사용,"312,439 ","152,306,111 ","7,469,919,838 ",49.0 
201607,경상북도,전체(시 / 군 / 구),가로등,"174,260 ","20,025,112 ","2,501,361,786 ",124.9 
201607,경상북도,전체(시 / 군 / 구),심 야,"80,477 ","33,197,941 ","1,894,099,450 ",57.1 
201608,경상북도,전체(시 / 군 / 구),주택용,"1,113,094 ","350,604,599 ","50,330,902,910 ",143.6 
201608,경상북도,전체(시 / 군 / 구),일반용,"208,263 ","513,514,139 ","85,915,100,989 ",167.3 
201608,경상북도,전체(시 / 군 / 구),교육용,"1,477 ","48,174,209 ","5,876,255,309 ",122.0 
201608,경상북도,전체(시 / 군 / 구),산업용,"30,994 ","2,643,012,355 ","303,734,827,309 ",114.9 
201608,경상북도,전체(시 / 군 / 구),농사용,"314,685 ","205,289,001 ","9,524,981,961 ",46.4 
201608,경상북도,전체(시 / 군 / 구),가로등,"175,017 ","21,741,881 ","2,582,959,994 ",118.8 
201608,경상북도,전체(시 / 군 / 구),심 야,"80,300 ","27,771,047 ","1,624,648,241 ",58.5 
201609,경상북도,전체(시 / 군 / 구),주택용,"1,116,002 ","302,803,292 ","19,866,862,679 ",65.6 
201609,경상북도,전체(시 / 군 / 구),일반용,"208,809 ","444,635,039 ","47,112,681,885 ",106.0 
201609,경상북도,전체(시 / 군 / 구),교육용,"1,475 ","48,097,841 ","4,940,396,924 ",102.7 
201609,경상북도,전체(시 / 군 / 구),산업용,"31,081 ","2,524,152,950 ","238,365,588,827 ",94.4 
201609,경상북도,전체(시 / 군 / 구),농사용,"317,257 ","203,906,253 ","9,538,758,540 ",46.8 
201609,경상북도,전체(시 / 군 / 구),가로등,"175,389 ","22,466,761 ","2,590,235,421 ",115.3 
201609,경상북도,전체(시 / 군 / 구),심 야,"80,174 ","29,318,747 ","1,675,041,857 ",57.1 
201610,경상북도,전체(시 / 군 / 구),주택용,"1,117,236 ","262,648,833 ","26,678,112,459 ",101.6 
201610,경상북도,전체(시 / 군 / 구),일반용,"209,055 ","371,343,536 ","44,935,240,159 ",121.0 
201610,경상북도,전체(시 / 군 / 구),교육용,"1,475 ","43,023,728 ","4,188,980,983 ",97.4 
201610,경상북도,전체(시 / 군 / 구),산업용,"31,158 ","2,588,831,737 ","236,535,415,066 ",91.4 
201610,경상북도,전체(시 / 군 / 구),농사용,"318,387 ","141,661,702 ","7,211,721,066 ",50.9 
201610,경상북도,전체(시 / 군 / 구),가로등,"175,818 ","23,859,167 ","2,598,434,452 ",108.9 
201610,경상북도,전체(시 / 군 / 구),심 야,"80,092 ","47,231,797 ","2,606,043,959 ",55.2 
201611,경상북도,전체(시 / 군 / 구),주택용,"1,119,120 ","279,271,874 ","32,081,652,876 ",114.9 
201611,경상북도,전체(시 / 군 / 구),일반용,"209,671 ","402,173,907 ","52,866,417,922 ",131.5 
201611,경상북도,전체(시 / 군 / 구),교육용,"1,473 ","52,933,866 ","5,669,350,083 ",107.1 
201611,경상북도,전체(시 / 군 / 구),산업용,"31,248 ","2,636,450,002 ","297,605,709,646 ",112.9 
201611,경상북도,전체(시 / 군 / 구),농사용,"387,500 ","188,423,265 ","8,464,148,288 ",44.9 
201611,경상북도,전체(시 / 군 / 구),가로등,"176,237 ","25,588,629 ","2,719,206,794 ",106.3 
201611,경상북도,전체(시 / 군 / 구),심 야,"80,027 ","100,437,843 ","6,407,176,657 ",63.8 
201612,경상북도,전체(시 / 군 / 구),주택용,"1,121,299 ","286,698,827 ","32,281,262,623 ",112.6 
201612,경상북도,전체(시 / 군 / 구),일반용,"210,556 ","460,968,530 ","63,701,215,161 ",138.2 
201612,경상북도,전체(시 / 군 / 구),교육용,"1,475 ","64,818,595 ","6,661,132,929 ",102.8 
201612,경상북도,전체(시 / 군 / 구),산업용,"31,290 ","2,811,176,703 ","319,826,128,992 ",113.8 
201612,경상북도,전체(시 / 군 / 구),농사용,"316,013 ","154,412,911 ","7,717,190,818 ",50.0 
