계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,대구광역시,전체(시 / 군 / 구),주택용,"659,929 ","265,910,832 ","32,520,116,536 ",122.3 
201607,대구광역시,전체(시 / 군 / 구),일반용,"147,968 ","385,831,610 ","56,699,857,396 ",147.0 
201607,대구광역시,전체(시 / 군 / 구),교육용,811 ,"28,655,171 ","3,563,175,175 ",124.3 
201607,대구광역시,전체(시 / 군 / 구),산업용,"20,575 ","574,331,921 ","71,007,972,777 ",123.6 
201607,대구광역시,전체(시 / 군 / 구),농사용,"12,644 ","6,853,827 ","323,169,354 ",47.2 
201607,대구광역시,전체(시 / 군 / 구),가로등,"49,085 ","8,952,364 ","1,060,852,889 ",118.5 
201607,대구광역시,전체(시 / 군 / 구),심 야,"21,413 ","12,161,535 ","779,105,748 ",64.1 
201608,대구광역시,전체(시 / 군 / 구),주택용,"660,782 ","355,627,266 ","57,119,143,033 ",160.6 
201608,대구광역시,전체(시 / 군 / 구),일반용,"148,291 ","453,063,812 ","64,266,993,948 ",141.8 
201608,대구광역시,전체(시 / 군 / 구),교육용,814 ,"29,508,082 ","3,665,663,839 ",124.2 
201608,대구광역시,전체(시 / 군 / 구),산업용,"20,598 ","554,833,665 ","69,970,749,599 ",126.1 
201608,대구광역시,전체(시 / 군 / 구),농사용,"12,722 ","8,925,895 ","402,587,555 ",45.1 
201608,대구광역시,전체(시 / 군 / 구),가로등,"49,120 ","9,537,217 ","1,098,321,623 ",115.2 
201608,대구광역시,전체(시 / 군 / 구),심 야,"21,318 ","11,584,001 ","795,219,493 ",68.6 
201609,대구광역시,전체(시 / 군 / 구),주택용,"662,128 ","293,402,192 ","20,452,788,323 ",69.7 
201609,대구광역시,전체(시 / 군 / 구),일반용,"148,537 ","392,056,277 ","50,030,824,735 ",127.6 
201609,대구광역시,전체(시 / 군 / 구),교육용,816 ,"27,140,798 ","2,983,377,218 ",109.9 
201609,대구광역시,전체(시 / 군 / 구),산업용,"20,631 ","532,195,249 ","57,482,839,274 ",108.0 
201609,대구광역시,전체(시 / 군 / 구),농사용,"12,768 ","7,605,859 ","362,793,891 ",47.7 
201609,대구광역시,전체(시 / 군 / 구),가로등,"49,176 ","10,087,643 ","1,135,477,178 ",112.6 
201609,대구광역시,전체(시 / 군 / 구),심 야,"21,197 ","8,938,449 ","588,114,424 ",65.8 
201610,대구광역시,전체(시 / 군 / 구),주택용,"662,599 ","245,145,781 ","25,495,694,732 ",104.0 
201610,대구광역시,전체(시 / 군 / 구),일반용,"148,613 ","321,172,947 ","37,675,080,784 ",117.3 
201610,대구광역시,전체(시 / 군 / 구),교육용,817 ,"22,348,871 ","2,382,921,430 ",106.6 
201610,대구광역시,전체(시 / 군 / 구),산업용,"20,647 ","541,374,716 ","54,591,488,549 ",100.8 
201610,대구광역시,전체(시 / 군 / 구),농사용,"12,802 ","5,201,014 ","277,727,811 ",53.4 
201610,대구광역시,전체(시 / 군 / 구),가로등,"49,271 ","10,856,048 ","1,176,978,272 ",108.4 
201610,대구광역시,전체(시 / 군 / 구),심 야,"21,177 ","9,459,751 ","565,519,421 ",59.8 
201611,대구광역시,전체(시 / 군 / 구),주택용,"663,712 ","260,264,684 ","30,365,547,652 ",116.7 
201611,대구광역시,전체(시 / 군 / 구),일반용,"148,905 ","324,324,602 ","42,982,161,986 ",132.5 
201611,대구광역시,전체(시 / 군 / 구),교육용,818 ,"26,209,299 ","3,076,531,131 ",117.4 
201611,대구광역시,전체(시 / 군 / 구),산업용,"20,640 ","577,993,987 ","68,228,903,760 ",118.0 
201611,대구광역시,전체(시 / 군 / 구),농사용,"13,161 ","5,605,226 ","291,224,710 ",52.0 
201611,대구광역시,전체(시 / 군 / 구),가로등,"49,385 ","11,838,059 ","1,254,378,136 ",106.0 
201611,대구광역시,전체(시 / 군 / 구),심 야,"21,127 ","18,763,443 ","1,215,534,796 ",64.8 
201612,대구광역시,전체(시 / 군 / 구),주택용,"664,436 ","268,781,880 ","30,627,590,780 ",113.9 
201612,대구광역시,전체(시 / 군 / 구),일반용,"149,314 ","374,931,792 ","51,871,043,646 ",138.3 
201612,대구광역시,전체(시 / 군 / 구),교육용,820 ,"33,160,824 ","3,635,200,412 ",109.6 
