계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,대전광역시,전체(시 / 군 / 구),주택용,"416,414 ","160,840,271 ","18,724,557,811 ",116.4 
201607,대전광역시,전체(시 / 군 / 구),일반용,"77,721 ","298,808,123 ","42,913,230,027 ",143.6 
201607,대전광역시,전체(시 / 군 / 구),교육용,608 ,"33,131,539 ","3,891,476,882 ",117.5 
201607,대전광역시,전체(시 / 군 / 구),산업용,"5,443 ","291,246,156 ","34,840,140,453 ",119.6 
201607,대전광역시,전체(시 / 군 / 구),농사용,"6,574 ","1,987,991 ","110,683,687 ",55.7 
201607,대전광역시,전체(시 / 군 / 구),가로등,"20,257 ","6,067,357 ","734,622,747 ",121.1 
201607,대전광역시,전체(시 / 군 / 구),심 야,"18,087 ","9,513,719 ","609,806,638 ",64.1 
201608,대전광역시,전체(시 / 군 / 구),주택용,"417,114 ","211,685,707 ","32,203,761,830 ",152.1 
201608,대전광역시,전체(시 / 군 / 구),일반용,"78,071 ","345,238,222 ","48,199,471,665 ",139.6 
201608,대전광역시,전체(시 / 군 / 구),교육용,608 ,"34,245,877 ","4,000,479,516 ",116.8 
201608,대전광역시,전체(시 / 군 / 구),산업용,"5,473 ","297,203,935 ","36,026,873,522 ",121.2 
201608,대전광역시,전체(시 / 군 / 구),농사용,"6,585 ","3,159,343 ","157,550,397 ",49.9 
201608,대전광역시,전체(시 / 군 / 구),가로등,"20,296 ","6,451,815 ","755,949,213 ",117.2 
201608,대전광역시,전체(시 / 군 / 구),심 야,"17,980 ","9,696,708 ","650,335,648 ",67.1 
201609,대전광역시,전체(시 / 군 / 구),주택용,"418,454 ","181,103,218 ","12,377,612,592 ",68.3 
201609,대전광역시,전체(시 / 군 / 구),일반용,"78,013 ","301,594,970 ","37,605,771,377 ",124.7 
201609,대전광역시,전체(시 / 군 / 구),교육용,608 ,"31,310,116 ","3,223,042,091 ",102.9 
201609,대전광역시,전체(시 / 군 / 구),산업용,"5,470 ","260,954,037 ","26,239,137,577 ",100.6 
201609,대전광역시,전체(시 / 군 / 구),농사용,"6,601 ","2,619,455 ","136,144,328 ",52.0 
201609,대전광역시,전체(시 / 군 / 구),가로등,"20,317 ","6,893,884 ","785,638,645 ",114.0 
201609,대전광역시,전체(시 / 군 / 구),심 야,"17,905 ","7,661,630 ","508,939,752 ",66.4 
201610,대전광역시,전체(시 / 군 / 구),주택용,"419,014 ","146,521,862 ","14,514,868,972 ",99.1 
201610,대전광역시,전체(시 / 군 / 구),일반용,"78,074 ","247,455,667 ","28,437,781,078 ",114.9 
201610,대전광역시,전체(시 / 군 / 구),교육용,608 ,"25,804,090 ","2,487,264,867 ",96.4 
201610,대전광역시,전체(시 / 군 / 구),산업용,"5,470 ","259,495,058 ","25,182,611,983 ",97.0 
201610,대전광역시,전체(시 / 군 / 구),농사용,"6,617 ","1,999,428 ","111,498,465 ",55.8 
201610,대전광역시,전체(시 / 군 / 구),가로등,"20,371 ","7,221,566 ","798,635,341 ",110.6 
201610,대전광역시,전체(시 / 군 / 구),심 야,"17,873 ","8,467,231 ","530,155,034 ",62.6 
201611,대전광역시,전체(시 / 군 / 구),주택용,"419,799 ","156,715,144 ","17,745,759,845 ",113.2 
201611,대전광역시,전체(시 / 군 / 구),일반용,"78,239 ","250,724,998 ","32,876,380,804 ",131.1 
201611,대전광역시,전체(시 / 군 / 구),교육용,612 ,"29,024,601 ","3,146,787,219 ",108.4 
201611,대전광역시,전체(시 / 군 / 구),산업용,"5,475 ","251,866,950 ","30,510,332,826 ",121.1 
201611,대전광역시,전체(시 / 군 / 구),농사용,"8,074 ","3,214,949 ","140,705,835 ",43.8 
201611,대전광역시,전체(시 / 군 / 구),가로등,"20,500 ","7,785,964 ","842,014,081 ",108.1 
201611,대전광역시,전체(시 / 군 / 구),심 야,"17,834 ","17,839,003 ","1,177,741,397 ",66.0 
201612,대전광역시,전체(시 / 군 / 구),주택용,"420,555 ","162,856,003 ","18,116,735,828 ",111.2 
201612,대전광역시,전체(시 / 군 / 구),일반용,"78,431 ","283,329,977 ","39,000,855,328 ",137.7 
201612,대전광역시,전체(시 / 군 / 구),교육용,613 ,"36,663,370 ","3,857,427,609 ",105.2 
201612,대전광역시,전체(시 / 군 / 구),산업용,"5,482 ","264,692,263 ","32,360,960,702 ",122.3 
201612,대전광역시,전체(시 / 군 / 구),농사용,"6,614 ","2,561,359 ","133,467,357 ",52.1 
201612,대전광역시,전체(시 / 군 / 구),가로등,"27,028 ","8,084,327 ","857,359,905 ",106.1 
201612,대전광역시,전체(시 / 군 / 구),심 야,"17,806 ","29,861,907 ","2,250,589,729 ",75.4 
합계,합계,합계,합계,"3,293,688","4,703,599,790","559,775,160,603",119
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,대전광역시,대덕구,가로등,"1,856 ","773,168 ","96,620,033 ",125 
201607,대전광역시,대덕구,교육용,76 ,"1,880,247 ","257,885,112 ",137.2 
201607,대전광역시,대덕구,농사용,664 ,"331,137 ","16,357,018 ",49.4 
201607,대전광역시,대덕구,산업용,"1,822 ","179,113,231 ","21,015,625,957 ",117.3 
201607,대전광역시,대덕구,심 야,"2,550 ","654,259 ","37,070,374 ",56.7 
201607,대전광역시,대덕구,일반용,"12,153 ","30,126,043 ","4,488,971,586 ",149 
201607,대전광역시,대덕구,주택용,"59,293 ","19,054,140 ","2,144,804,765 ",112.6 
201607,대전광역시,대덕구,합계,"78,414 ","231,932,225 ","28,057,334,845 ",121 
201607,대전광역시,동구,가로등,"2,171 ","896,788 ","111,017,131 ",123.8 
201607,대전광역시,동구,교육용,111 ,"4,085,389 ","531,213,373 ",130 
201607,대전광역시,동구,농사용,"1,374 ","228,471 ","13,713,947 ",60 
201607,대전광역시,동구,산업용,"1,340 ","6,337,437 ","843,494,373 ",133.1 
201607,대전광역시,동구,심 야,"5,055 ","1,326,282 ","75,480,523 ",56.9 
201607,대전광역시,동구,일반용,"14,151 ","33,163,942 ","4,943,538,237 ",149.1 
201607,대전광역시,동구,주택용,"87,275 ","25,380,351 ","2,828,101,478 ",111.4 
201607,대전광역시,동구,합계,"111,477 ","71,418,660 ","9,346,559,062 ",130.9 
201607,대전광역시,서구,가로등,"2,399 ","1,717,577 ","198,999,075 ",115.9 
201607,대전광역시,서구,교육용,171 ,"4,877,316 ","653,431,156 ",134 
201607,대전광역시,서구,농사용,"1,160 ","313,438 ","18,319,197 ",58.4 
201607,대전광역시,서구,산업용,719 ,"4,442,647 ","620,516,826 ",139.7 
201607,대전광역시,서구,심 야,"4,106 ","3,020,281 ","195,071,302 ",64.6 
201607,대전광역시,서구,일반용,"20,459 ","87,877,791 ","12,835,512,455 ",146.1 
201607,대전광역시,서구,주택용,"125,166 ","51,137,618 ","5,791,161,387 ",113.2 
201607,대전광역시,서구,합계,"154,180 ","153,386,668 ","20,313,011,398 ",132.4 
201607,대전광역시,유성구,가로등,"6,290 ","1,863,281 ","228,874,298 ",122.8 
201607,대전광역시,유성구,교육용,143 ,"20,190,348 ","2,166,504,423 ",107.3 
201607,대전광역시,유성구,농사용,"2,745 ","991,230 ","55,268,471 ",55.8 
201607,대전광역시,유성구,산업용,981 ,"98,216,493 ","11,914,029,617 ",121.3 
201607,대전광역시,유성구,심 야,"2,532 ","2,522,109 ","184,438,726 ",73.1 
201607,대전광역시,유성구,일반용,"15,105 ","99,653,863 ","13,677,536,232 ",137.3 
201607,대전광역시,유성구,주택용,"72,559 ","38,723,632 ","4,796,398,724 ",123.9 
201607,대전광역시,유성구,합계,"100,355 ","262,160,956 ","33,023,050,491 ",126 
201607,대전광역시,중구,가로등,"7,541 ","816,543 ","99,112,210 ",121.4 
201607,대전광역시,중구,교육용,107 ,"2,098,239 ","282,442,818 ",134.6 
201607,대전광역시,중구,농사용,631 ,"123,715 ","7,025,054 ",56.8 
201607,대전광역시,중구,산업용,581 ,"3,136,348 ","446,473,680 ",142.4 
201607,대전광역시,중구,심 야,"3,844 ","1,990,788 ","117,745,713 ",59.1 
201607,대전광역시,중구,일반용,"15,853 ","47,986,484 ","6,967,671,517 ",145.2 
201607,대전광역시,중구,주택용,"72,121 ","26,544,530 ","3,164,091,457 ",119.2 
201607,대전광역시,중구,합계,"100,678 ","82,696,647 ","11,084,562,449 ",134 
201608,대전광역시,대덕구,가로등,"1,864 ","822,566 ","99,292,616 ",120.7 
201608,대전광역시,대덕구,교육용,76 ,"1,881,164 ","258,257,640 ",137.3 
201608,대전광역시,대덕구,농사용,665 ,"411,908 ","20,047,934 ",48.7 
201608,대전광역시,대덕구,산업용,"1,830 ","181,250,117 ","21,544,000,857 ",118.9 
201608,대전광역시,대덕구,심 야,"2,528 ","556,182 ","32,134,010 ",57.8 
201608,대전광역시,대덕구,일반용,"12,210 ","35,158,732 ","5,045,399,411 ",143.5 
201608,대전광역시,대덕구,주택용,"59,299 ","24,765,096 ","3,513,282,888 ",141.9 
201608,대전광역시,대덕구,합계,"78,472 ","244,845,765 ","30,512,415,356 ",124.6 
201608,대전광역시,동구,가로등,"2,183 ","965,139 ","114,977,954 ",119.1 
201608,대전광역시,동구,교육용,111 ,"4,053,157 ","522,219,934 ",128.8 
201608,대전광역시,동구,농사용,"1,393 ","379,053 ","20,139,101 ",53.1 
201608,대전광역시,동구,산업용,"1,352 ","6,791,278 ","898,145,751 ",132.2 
201608,대전광역시,동구,심 야,"5,042 ","1,157,644 ","66,064,642 ",57.1 
201608,대전광역시,동구,일반용,"14,210 ","38,959,673 ","5,575,264,980 ",143.1 
201608,대전광역시,동구,주택용,"87,623 ","32,625,638 ","4,788,112,755 ",146.8 
201608,대전광역시,동구,합계,"111,914 ","84,931,582 ","11,984,925,117 ",141.1 
201608,대전광역시,서구,가로등,"2,418 ","1,797,808 ","203,031,807 ",112.9 
201608,대전광역시,서구,교육용,171 ,"4,903,661 ","659,925,179 ",134.6 
201608,대전광역시,서구,농사용,"1,167 ","550,073 ","27,966,903 ",50.8 
201608,대전광역시,서구,산업용,722 ,"4,973,790 ","680,872,259 ",136.9 
201608,대전광역시,서구,심 야,"4,076 ","3,125,419 ","211,358,773 ",67.6 
201608,대전광역시,서구,일반용,"20,547 ","102,644,356 ","14,552,136,438 ",141.8 
201608,대전광역시,서구,주택용,"125,403 ","67,557,454 ","10,051,612,083 ",148.8 
201608,대전광역시,서구,합계,"154,504 ","185,552,561 ","26,386,903,442 ",142.2 
201608,대전광역시,유성구,가로등,"6,290 ","2,022,844 ","238,964,150 ",118.1 
201608,대전광역시,유성구,교육용,144 ,"20,978,055 ","2,246,142,475 ",107.1 
201608,대전광역시,유성구,농사용,"2,725 ","1,560,373 ","76,676,621 ",49.1 
201608,대전광역시,유성구,산업용,987 ,"100,778,568 ","12,431,968,954 ",123.4 
201608,대전광역시,유성구,심 야,"2,521 ","2,913,985 ","218,412,345 ",75 
201608,대전광역시,유성구,일반용,"15,206 ","111,725,080 ","15,054,732,857 ",134.7 
201608,대전광역시,유성구,주택용,"72,614 ","51,561,820 ","8,559,573,545 ",166 
201608,대전광역시,유성구,합계,"100,487 ","291,540,725 ","38,826,470,947 ",133.2 
201608,대전광역시,중구,가로등,"7,541 ","843,458 ","99,682,686 ",118.2 
201608,대전광역시,중구,교육용,106 ,"2,429,840 ","313,934,288 ",129.2 
201608,대전광역시,중구,농사용,635 ,"257,936 ","12,719,838 ",49.3 
201608,대전광역시,중구,산업용,582 ,"3,410,182 ","471,885,701 ",138.4 
201608,대전광역시,중구,심 야,"3,813 ","1,943,478 ","122,365,878 ",63 
201608,대전광역시,중구,일반용,"15,898 ","56,750,381 ","7,971,937,979 ",140.5 
201608,대전광역시,중구,주택용,"72,175 ","35,175,699 ","5,291,180,559 ",150.4 
201608,대전광역시,중구,합계,"100,750 ","100,810,974 ","14,283,706,929 ",141.7 
201609,대전광역시,대덕구,가로등,"1,866 ","887,829 ","103,663,993 ",116.8 
201609,대전광역시,대덕구,교육용,76 ,"1,894,855 ","246,792,395 ",130.2 
201609,대전광역시,대덕구,농사용,668 ,"469,757 ","22,272,981 ",47.4 
201609,대전광역시,대덕구,산업용,"1,825 ","172,510,981 ","16,591,138,424 ",96.2 
201609,대전광역시,대덕구,심 야,"2,515 ","490,486 ","28,118,764 ",57.3 
201609,대전광역시,대덕구,일반용,"12,183 ","33,447,777 ","4,484,693,704 ",134.1 
201609,대전광역시,대덕구,주택용,"59,355 ","23,240,719 ","2,028,677,365 ",87.3 
201609,대전광역시,대덕구,합계,"78,488 ","232,942,404 ","23,505,357,626 ",100.9 
201609,대전광역시,동구,가로등,"2,186 ","1,031,194 ","118,822,501 ",115.2 
201609,대전광역시,동구,교육용,111 ,"4,139,382 ","490,679,327 ",118.5 
201609,대전광역시,동구,농사용,"1,404 ","366,067 ","19,570,053 ",53.5 
201609,대전광역시,동구,산업용,"1,353 ","6,575,725 ","792,974,229 ",120.6 
201609,대전광역시,동구,심 야,"5,024 ","1,138,837 ","65,374,400 ",57.4 
201609,대전광역시,동구,일반용,"14,189 ","34,736,840 ","4,529,699,083 ",130.4 
201609,대전광역시,동구,주택용,"87,946 ","28,507,891 ","1,738,250,274 ",61 
201609,대전광역시,동구,합계,"112,213 ","76,495,936 ","7,755,369,867 ",101.4 
201609,대전광역시,서구,가로등,"2,424 ","1,888,323 ","209,354,353 ",110.9 
201609,대전광역시,서구,교육용,171 ,"5,126,601 ","639,247,617 ",124.7 
201609,대전광역시,서구,농사용,"1,177 ","421,007 ","22,868,672 ",54.3 
201609,대전광역시,서구,산업용,725 ,"4,796,057 ","591,431,202 ",123.3 
201609,대전광역시,서구,심 야,"4,063 ","2,248,153 ","144,620,287 ",64.3 
