계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,서울특별시,전체(시 / 군 / 구),주택용,"2,706,848 ","1,139,963,902 ","157,502,637,269 ",138.2 
201607,서울특별시,전체(시 / 군 / 구),일반용,"538,370 ","2,291,378,184 ","328,949,301,267 ",143.6 
201607,서울특별시,전체(시 / 군 / 구),교육용,"2,660 ","142,442,329 ","17,393,841,156 ",122.1 
201607,서울특별시,전체(시 / 군 / 구),산업용,"46,113 ","436,262,014 ","56,597,283,671 ",129.7 
201607,서울특별시,전체(시 / 군 / 구),농사용,"1,978 ","1,351,527 ","67,544,909 ",50.0 
201607,서울특별시,전체(시 / 군 / 구),가로등,"178,252 ","24,196,614 ","2,942,957,558 ",121.6 
201607,서울특별시,전체(시 / 군 / 구),심 야,"17,053 ","66,293,652 ","4,818,419,455 ",72.7 
201608,서울특별시,전체(시 / 군 / 구),주택용,"2,708,630 ","1,509,147,408 ","268,361,079,951 ",177.8 
201608,서울특별시,전체(시 / 군 / 구),일반용,"539,605 ","2,616,180,462 ","366,027,114,995 ",139.9 
201608,서울특별시,전체(시 / 군 / 구),교육용,"2,651 ","144,687,711 ","17,744,261,676 ",122.6 
201608,서울특별시,전체(시 / 군 / 구),산업용,"46,159 ","479,711,069 ","61,376,589,041 ",127.9 
201608,서울특별시,전체(시 / 군 / 구),농사용,"1,989 ","1,492,876 ","73,550,873 ",49.3 
201608,서울특별시,전체(시 / 군 / 구),가로등,"178,035 ","25,681,382 ","3,005,996,146 ",117.0 
201608,서울특별시,전체(시 / 군 / 구),심 야,"16,960 ","75,656,811 ","5,598,506,881 ",74.0 
201609,서울특별시,전체(시 / 군 / 구),주택용,"2,711,681 ","1,263,481,826 ","116,899,802,036 ",92.5 
201609,서울특별시,전체(시 / 군 / 구),일반용,"539,933 ","2,276,330,926 ","278,976,371,189 ",122.6 
201609,서울특별시,전체(시 / 군 / 구),교육용,"2,647 ","141,873,185 ","15,131,943,620 ",106.7 
201609,서울특별시,전체(시 / 군 / 구),산업용,"46,230 ","443,576,761 ","50,174,208,726 ",113.1 
201609,서울특별시,전체(시 / 군 / 구),농사용,"1,982 ","1,454,755 ","70,766,023 ",48.6 
201609,서울특별시,전체(시 / 군 / 구),가로등,"178,280 ","27,265,114 ","3,096,451,727 ",113.6 
201609,서울특별시,전체(시 / 군 / 구),심 야,"16,904 ","52,148,851 ","3,737,845,191 ",71.7 
201610,서울특별시,전체(시 / 군 / 구),주택용,"2,712,262 ","1,004,146,216 ","110,016,794,411 ",109.6 
201610,서울특별시,전체(시 / 군 / 구),일반용,"539,766 ","1,866,522,500 ","213,646,128,470 ",114.5 
201610,서울특별시,전체(시 / 군 / 구),교육용,"2,645 ","111,179,166 ","11,273,834,454 ",101.4 
201610,서울특별시,전체(시 / 군 / 구),산업용,"46,214 ","394,824,800 ","42,242,129,953 ",107.0 
201610,서울특별시,전체(시 / 군 / 구),농사용,"1,984 ","1,232,525 ","61,761,920 ",50.1 
201610,서울특별시,전체(시 / 군 / 구),가로등,"178,395 ","29,591,670 ","3,203,970,988 ",108.3 
201610,서울특별시,전체(시 / 군 / 구),심 야,"16,823 ","28,557,698 ","2,079,087,318 ",72.8 
201611,서울특별시,전체(시 / 군 / 구),주택용,"2,715,830 ","1,049,004,254 ","128,085,741,497 ",122.1 
201611,서울특별시,전체(시 / 군 / 구),일반용,"540,537 ","1,843,444,173 ","245,877,194,342 ",133.4 
201611,서울특별시,전체(시 / 군 / 구),교육용,"2,648 ","128,685,386 ","14,449,062,768 ",112.3 
201611,서울특별시,전체(시 / 군 / 구),산업용,"46,161 ","406,288,599 ","49,279,282,415 ",121.3 
201611,서울특별시,전체(시 / 군 / 구),농사용,"2,241 ","1,308,461 ","63,742,321 ",48.7 
201611,서울특별시,전체(시 / 군 / 구),가로등,"178,566 ","31,870,258 ","3,371,122,170 ",105.8 
201611,서울특별시,전체(시 / 군 / 구),심 야,"16,754 ","19,073,685 ","1,501,598,626 ",78.7 
201612,서울특별시,전체(시 / 군 / 구),주택용,"2,718,481 ","1,094,398,743 ","130,573,548,327 ",119.3 
201612,서울특별시,전체(시 / 군 / 구),일반용,"541,666 ","2,095,365,358 ","289,299,190,196 ",138.1 
201612,서울특별시,전체(시 / 군 / 구),교육용,"2,642 ","165,630,947 ","17,628,162,317 ",106.4 
201612,서울특별시,전체(시 / 군 / 구),산업용,"46,094 ","429,718,015 ","54,253,963,250 ",126.3 
201612,서울특별시,전체(시 / 군 / 구),농사용,"1,992 ","1,386,471 ","68,263,694 ",49.2 
201612,서울특별시,전체(시 / 군 / 구),가로등,"178,906 ","33,121,234 ","3,415,153,857 ",103.1 
201612,서울특별시,전체(시 / 군 / 구),심 야,"16,683 ","26,284,808 ","2,293,709,815 ",87.3 
합계,합계,합계,합계,"20,990,250","23,922,212,326","3,081,229,916,469",128.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,서울특별시,강남구,가로등,"12,337 ","1,784,834 ","212,430,047 ",119 
201607,서울특별시,강남구,교육용,136 ,"4,057,621 ","531,420,446 ",131 
201607,서울특별시,강남구,농사용,210 ,"56,709 ","3,793,854 ",66.9 
201607,서울특별시,강남구,산업용,"1,116 ","18,105,520 ","2,635,257,119 ",145.5 
201607,서울특별시,강남구,심 야,899 ,"8,679,304 ","647,714,475 ",74.6 
201607,서울특별시,강남구,일반용,"49,559 ","310,756,631 ","45,073,332,246 ",145 
