년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201607-201612,서울특별시,강남구,일반용,49677,1737433290,71.95
201607-201612,서울특별시,강남구,합계,33106,2414876123,
201607-201612,서울특별시,강동구,일반용,19817,369422809,47.83
201607-201612,서울특별시,강동구,합계,21245,772349721,
201607-201612,서울특별시,강북구,일반용,15991,214323601,45.86
201607-201612,서울특별시,강북구,합계,22375,467333518,
201607-201612,서울특별시,강서구,일반용,23192,512695234,47.51
201607-201612,서울특별시,강서구,합계,32956,1079054709,
201607-201612,서울특별시,관악구,일반용,24648,398639821,45.94
201607-201612,서울특별시,관악구,합계,41067,867812669,
201607-201612,서울특별시,광진구,일반용,20738,335984825,39.24
201607-201612,서울특별시,광진구,합계,26986,856267480,
201607-201612,서울특별시,구로구,일반용,17909,447302184,46.2
201607-201612,서울특별시,구로구,합계,21325,968220793,
201607-201612,서울특별시,금천구,일반용,13057,502846505,60.41
201607-201612,서울특별시,금천구,합계,15856,832362088,
201607-201612,서울특별시,노원구,일반용,14873,314185500,40.6
201607-201612,서울특별시,노원구,합계,18100,773910199,
201607-201612,서울특별시,도봉구,일반용,12119,180355089,39.15
201607-201612,서울특별시,도봉구,합계,16211,460685805,
201607-201612,서울특별시,동대문구,일반용,24318,342625513,46.27
201607-201612,서울특별시,동대문구,합계,24527,740499890,
201607-201612,서울특별시,동작구,일반용,16619,312309519,47.33
201607-201612,서울특별시,동작구,합계,25712,659800928,
201607-201612,서울특별시,마포구,일반용,28241,636752905,59.47
201607-201612,서울특별시,마포구,합계,24680,1070784700,
201607-201612,서울특별시,서대문구,일반용,16168,297896100,46.46
201607-201612,서울특별시,서대문구,합계,19594,641189219,
201607-201612,서울특별시,서초구,일반용,30117,1090601152,59.57
201607-201612,서울특별시,서초구,합계,21131,1830814389,
201607-201612,서울특별시,성동구,일반용,15581,342183279,34.96
201607-201612,서울특별시,성동구,합계,15958,978921505,
201607-201612,서울특별시,성북구,일반용,21116,279839746,37.78
201607-201612,서울특별시,성북구,합계,25131,740632989,
201607-201612,서울특별시,송파구,일반용,28279,769086610,55.92
201607-201612,서울특별시,송파구,합계,28859,1375262548,
201607-201612,서울특별시,양천구,일반용,16765,431040244,52.75
201607-201612,서울특별시,양천구,합계,20942,817134536,
201607-201612,서울특별시,영등포구,일반용,24179,886539170,64.92
201607-201612,서울특별시,영등포구,합계,22612,1365493652,
201607-201612,서울특별시,용산구,일반용,16790,412603354,57.01
201607-201612,서울특별시,용산구,합계,17550,723703302,
201607-201612,서울특별시,은평구,일반용,20498,253742529,37.08
201607-201612,서울특별시,은평구,합계,31759,684222992,
201607-201612,서울특별시,종로구,일반용,25233,652024665,71.71
201607-201612,서울특별시,종로구,합계,15340,909224619,
201607-201612,서울특별시,중구,일반용,24567,1029199470,77.73
201607-201612,서울특별시,중구,합계,12770,1324130376,
201607-201612,서울특별시,중랑구,일반용,19474,239588489,42.22
201607-201612,서울특별시,중랑구,합계,27259,567523576,
