계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,울산광역시,전체(시 / 군 / 구),주택용,"316,980 ","121,670,236 ","14,659,402,170 ",120.5 
201607,울산광역시,전체(시 / 군 / 구),일반용,"70,534 ","174,720,945 ","26,496,982,826 ",151.7 
201607,울산광역시,전체(시 / 군 / 구),교육용,425 ,"15,313,582 ","1,829,677,103 ",119.5 
201607,울산광역시,전체(시 / 군 / 구),산업용,"6,278 ","2,440,051,144 ","265,644,476,825 ",108.9 
201607,울산광역시,전체(시 / 군 / 구),농사용,"12,435 ","5,818,824 ","301,069,557 ",51.7 
201607,울산광역시,전체(시 / 군 / 구),가로등,"32,117 ","4,661,725 ","588,779,912 ",126.3 
201607,울산광역시,전체(시 / 군 / 구),심 야,"7,718 ","4,964,982 ","292,232,231 ",58.9 
201608,울산광역시,전체(시 / 군 / 구),주택용,"317,228 ","157,749,944 ","24,728,673,687 ",156.8 
201608,울산광역시,전체(시 / 군 / 구),일반용,"70,719 ","206,104,413 ","29,944,136,873 ",145.3 
201608,울산광역시,전체(시 / 군 / 구),교육용,424 ,"15,232,612 ","1,837,073,566 ",120.6 
201608,울산광역시,전체(시 / 군 / 구),산업용,"6,287 ","2,350,202,015 ","259,277,753,579 ",110.3 
201608,울산광역시,전체(시 / 군 / 구),농사용,"12,546 ","7,967,904 ","392,518,777 ",49.3 
201608,울산광역시,전체(시 / 군 / 구),가로등,"32,212 ","4,987,859 ","604,337,688 ",121.2 
201608,울산광역시,전체(시 / 군 / 구),심 야,"7,674 ","4,446,442 ","276,899,466 ",62.3 
201609,울산광역시,전체(시 / 군 / 구),주택용,"318,048 ","138,280,841 ","9,853,190,831 ",71.3 
201609,울산광역시,전체(시 / 군 / 구),일반용,"70,864 ","186,369,884 ","24,596,511,546 ",132.0 
201609,울산광역시,전체(시 / 군 / 구),교육용,424 ,"14,679,502 ","1,544,786,814 ",105.2 
201609,울산광역시,전체(시 / 군 / 구),산업용,"6,299 ","2,363,898,908 ","202,645,037,884 ",85.7 
201609,울산광역시,전체(시 / 군 / 구),농사용,"12,660 ","7,970,141 ","391,114,568 ",49.1 
201609,울산광역시,전체(시 / 군 / 구),가로등,"32,265 ","5,265,062 ","614,983,354 ",116.8 
201609,울산광역시,전체(시 / 군 / 구),심 야,"7,653 ","3,962,023 ","236,845,378 ",59.8 
201610,울산광역시,전체(시 / 군 / 구),주택용,"318,595 ","115,662,356 ","12,252,377,781 ",105.9 
201610,울산광역시,전체(시 / 군 / 구),일반용,"70,898 ","150,815,422 ","18,124,545,986 ",120.2 
201610,울산광역시,전체(시 / 군 / 구),교육용,424 ,"12,161,190 ","1,225,481,108 ",100.8 
201610,울산광역시,전체(시 / 군 / 구),산업용,"6,298 ","2,381,633,504 ","204,342,095,309 ",85.8 
201610,울산광역시,전체(시 / 군 / 구),농사용,"12,689 ","6,025,254 ","314,034,758 ",52.1 
201610,울산광역시,전체(시 / 군 / 구),가로등,"32,378 ","5,585,929 ","623,717,206 ",111.7 
201610,울산광역시,전체(시 / 군 / 구),심 야,"7,645 ","5,315,360 ","294,916,660 ",55.5 
201611,울산광역시,전체(시 / 군 / 구),주택용,"319,367 ","121,219,361 ","14,421,681,959 ",119.0 
201611,울산광역시,전체(시 / 군 / 구),일반용,"71,067 ","151,548,305 ","20,359,504,605 ",134.3 
201611,울산광역시,전체(시 / 군 / 구),교육용,425 ,"13,665,223 ","1,553,073,737 ",113.7 
201611,울산광역시,전체(시 / 군 / 구),산업용,"6,308 ","2,182,568,020 ","242,011,222,074 ",110.9 
201611,울산광역시,전체(시 / 군 / 구),농사용,"13,633 ","6,713,393 ","334,493,997 ",49.8 
201611,울산광역시,전체(시 / 군 / 구),가로등,"32,449 ","5,890,903 ","642,603,799 ",109.1 
201611,울산광역시,전체(시 / 군 / 구),심 야,"7,612 ","10,245,725 ","650,697,433 ",63.5 
201612,울산광역시,전체(시 / 군 / 구),주택용,"319,752 ","123,003,892 ","14,315,950,775 ",116.4 
201612,울산광역시,전체(시 / 군 / 구),일반용,"71,231 ","167,443,940 ","23,983,423,392 ",143.2 
201612,울산광역시,전체(시 / 군 / 구),교육용,427 ,"16,655,085 ","1,788,404,977 ",107.4 
201612,울산광역시,전체(시 / 군 / 구),산업용,"6,315 ","2,341,248,694 ","257,497,479,756 ",110.0 
201612,울산광역시,전체(시 / 군 / 구),농사용,"12,709 ","6,671,011 ","338,691,683 ",50.8 
201612,울산광역시,전체(시 / 군 / 구),가로등,"32,624 ","6,209,310 ","649,193,495 ",104.6 
201612,울산광역시,전체(시 / 군 / 구),심 야,"7,574 ","15,566,590 ","1,167,024,491 ",75.0 
합계,합계,합계,합계,"2,692,210","16,080,167,455","1,683,647,099,616",104.7
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,울산광역시,남구,가로등,"7,808 ","877,230 ","113,981,476 ",129.9 
201607,울산광역시,남구,교육용,101 ,"4,214,314 ","513,873,598 ",121.9 
201607,울산광역시,남구,농사용,159 ,"36,866 ","2,085,703 ",56.6 
201607,울산광역시,남구,산업용,"1,186 ","1,317,160,735 ","140,825,917,293 ",106.9 
201607,울산광역시,남구,심 야,"1,955 ","1,610,113 ","96,679,488 ",60 
201607,울산광역시,남구,일반용,"25,318 ","68,802,941 ","10,349,470,220 ",150.4 
201607,울산광역시,남구,주택용,"97,655 ","37,002,179 ","4,542,156,087 ",122.8 
201607,울산광역시,남구,합계,"134,182 ","1,429,704,378 ","156,444,163,865 ",109.4 
201607,울산광역시,동구,가로등,"3,109 ","527,119 ","64,337,816 ",122.1 
201607,울산광역시,동구,교육용,57 ,"1,464,862 ","189,791,015 ",129.6 
201607,울산광역시,동구,농사용,218 ,"122,497 ","6,337,299 ",51.7 
201607,울산광역시,동구,산업용,296 ,"105,839,343 ","13,866,876,031 ",131 
201607,울산광역시,동구,심 야,303 ,"184,398 ","10,599,899 ",57.5 
201607,울산광역시,동구,일반용,"8,227 ","20,672,104 ","3,066,212,956 ",148.3 
201607,울산광역시,동구,주택용,"47,428 ","17,823,286 ","2,130,489,380 ",119.5 
201607,울산광역시,동구,합계,"59,638 ","146,633,609 ","19,334,644,396 ",131.9 
201607,울산광역시,북구,가로등,"4,455 ","879,240 ","107,533,467 ",122.3 
201607,울산광역시,북구,교육용,86 ,"1,636,429 ","219,625,937 ",134.2 
201607,울산광역시,북구,농사용,"1,948 ","644,872 ","37,912,380 ",58.8 
201607,울산광역시,북구,산업용,"1,120 ","156,477,543 ","19,757,508,764 ",126.3 
201607,울산광역시,북구,심 야,942 ,"573,132 ","36,760,240 ",64.1 
201607,울산광역시,북구,일반용,"8,519 ","24,126,296 ","3,594,903,968 ",149 
201607,울산광역시,북구,주택용,"32,776 ","19,526,575 ","2,298,810,284 ",117.7 
201607,울산광역시,북구,합계,"49,846 ","203,864,087 ","26,053,055,040 ",127.8 
201607,울산광역시,울주군,가로등,"11,584 ","1,451,156 ","182,414,021 ",125.7 
201607,울산광역시,울주군,교육용,112 ,"6,554,930 ","714,510,930 ",109 
201607,울산광역시,울주군,농사용,"9,481 ","4,880,344 ","247,053,928 ",50.6 
201607,울산광역시,울주군,산업용,"3,156 ","858,308,506 ","90,845,866,306 ",105.8 
201607,울산광역시,울주군,심 야,"3,809 ","2,085,548 ","114,866,682 ",55.1 
201607,울산광역시,울주군,일반용,"14,853 ","32,471,731 ","5,173,524,276 ",159.3 
201607,울산광역시,울주군,주택용,"67,821 ","22,413,872 ","2,618,134,338 ",116.8 
201607,울산광역시,울주군,합계,"110,816 ","928,166,087 ","99,896,370,481 ",107.6 
201607,울산광역시,중구,가로등,"5,161 ","926,980 ","120,513,132 ",130 
201607,울산광역시,중구,교육용,69 ,"1,443,047 ","191,875,623 ",133 
201607,울산광역시,중구,농사용,629 ,"134,245 ","7,680,247 ",57.2 
201607,울산광역시,중구,산업용,520 ,"2,265,017 ","348,308,431 ",153.8 
201607,울산광역시,중구,심 야,709 ,"511,791 ","33,325,922 ",65.1 
201607,울산광역시,중구,일반용,"13,617 ","28,647,873 ","4,312,871,406 ",150.5 
201607,울산광역시,중구,주택용,"71,300 ","24,904,324 ","3,069,812,081 ",123.3 
201607,울산광역시,중구,합계,"92,005 ","58,833,277 ","8,084,386,842 ",137.4 
201608,울산광역시,남구,가로등,"7,811 ","921,644 ","115,911,980 ",125.8 
201608,울산광역시,남구,교육용,101 ,"4,201,048 ","515,460,207 ",122.7 
201608,울산광역시,남구,농사용,160 ,"53,010 ","2,763,598 ",52.1 
201608,울산광역시,남구,산업용,"1,188 ","1,299,349,465 ","140,526,992,501 ",108.2 
201608,울산광역시,남구,심 야,"1,933 ","1,639,960 ","103,824,815 ",63.3 
201608,울산광역시,남구,일반용,"25,374 ","81,112,167 ","11,777,015,125 ",145.2 
201608,울산광역시,남구,주택용,"97,626 ","48,711,319 ","7,948,842,574 ",163.2 
201608,울산광역시,남구,합계,"134,193 ","1,435,988,613 ","160,990,810,800 ",112.1 
201608,울산광역시,동구,가로등,"3,109 ","573,316 ","67,012,956 ",116.9 
201608,울산광역시,동구,교육용,57 ,"1,406,428 ","186,505,060 ",132.6 
201608,울산광역시,동구,농사용,221 ,"165,103 ","8,166,834 ",49.5 
201608,울산광역시,동구,산업용,297 ,"88,560,036 ","11,871,708,656 ",134.1 
201608,울산광역시,동구,심 야,300 ,"152,099 ","8,989,689 ",59.1 
201608,울산광역시,동구,일반용,"8,249 ","24,355,173 ","3,467,298,221 ",142.4 
201608,울산광역시,동구,주택용,"47,402 ","22,564,911 ","3,473,027,035 ",153.9 
201608,울산광역시,동구,합계,"59,635 ","137,777,066 ","19,082,708,451 ",138.5 
201608,울산광역시,북구,가로등,"4,458 ","937,427 ","110,388,178 ",117.8 
201608,울산광역시,북구,교육용,86 ,"1,487,205 ","208,293,920 ",140.1 
201608,울산광역시,북구,농사용,"1,969 ","908,139 ","48,625,373 ",53.5 
201608,울산광역시,북구,산업용,"1,123 ","126,152,209 ","16,493,438,534 ",130.7 
201608,울산광역시,북구,심 야,942 ,"504,724 ","36,190,300 ",71.7 
201608,울산광역시,북구,일반용,"8,551 ","27,895,735 ","4,021,052,040 ",144.1 
201608,울산광역시,북구,주택용,"32,896 ","25,385,889 ","3,854,115,827 ",151.8 
201608,울산광역시,북구,합계,"50,025 ","183,271,328 ","24,772,104,172 ",135.2 
201608,울산광역시,울주군,가로등,"11,637 ","1,557,227 ","188,048,578 ",120.8 
201608,울산광역시,울주군,교육용,111 ,"6,795,085 ","741,482,658 ",109.1 
201608,울산광역시,울주군,농사용,"9,562 ","6,663,619 ","323,111,915 ",48.5 
201608,울산광역시,울주군,산업용,"3,157 ","833,692,310 ","90,014,184,899 ",108 
201608,울산광역시,울주군,심 야,"3,794 ","1,645,677 ","90,762,064 ",55.2 
201608,울산광역시,울주군,일반용,"14,913 ","39,034,229 ","5,779,259,681 ",148.1 
201608,울산광역시,울주군,주택용,"67,989 ","28,205,240 ","4,077,390,804 ",144.6 
201608,울산광역시,울주군,합계,"111,163 ","917,593,387 ","101,214,240,599 ",110.3 
201608,울산광역시,중구,가로등,"5,197 ","998,245 ","122,975,996 ",123.2 
201608,울산광역시,중구,교육용,69 ,"1,342,846 ","185,331,721 ",138 
201608,울산광역시,중구,농사용,634 ,"178,033 ","9,851,057 ",55.3 
201608,울산광역시,중구,산업용,522 ,"2,447,995 ","371,428,989 ",151.7 
201608,울산광역시,중구,심 야,705 ,"503,982 ","37,132,598 ",73.7 
201608,울산광역시,중구,일반용,"13,632 ","33,707,109 ","4,899,511,806 ",145.4 
201608,울산광역시,중구,주택용,"71,315 ","32,882,585 ","5,375,297,447 ",163.5 
201608,울산광역시,중구,합계,"92,074 ","72,060,795 ","11,001,529,614 ",152.7 
201609,울산광역시,남구,가로등,"7,813 ","1,001,907 ","121,206,666 ",121 
201609,울산광역시,남구,교육용,101 ,"4,023,012 ","433,411,224 ",107.7 
201609,울산광역시,남구,농사용,161 ,"62,386 ","3,128,448 ",50.1 
201609,울산광역시,남구,산업용,"1,188 ","1,246,252,172 ","104,056,977,051 ",83.5 
