계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,전라북도,전체(시 / 군 / 구),주택용,"625,174 ","191,301,343 ","22,478,658,519 ",117.5 
201607,전라북도,전체(시 / 군 / 구),일반용,"134,299 ","293,287,141 ","44,308,067,533 ",151.1 
201607,전라북도,전체(시 / 군 / 구),교육용,"1,208 ","27,551,475 ","3,628,643,517 ",131.7 
201607,전라북도,전체(시 / 군 / 구),산업용,"14,222 ","1,177,399,048 ","136,365,179,547 ",115.8 
201607,전라북도,전체(시 / 군 / 구),농사용,"135,456 ","106,441,730 ","5,159,090,477 ",48.5 
201607,전라북도,전체(시 / 군 / 구),가로등,"128,302 ","14,068,880 ","1,726,197,069 ",122.7 
201607,전라북도,전체(시 / 군 / 구),심 야,"67,709 ","22,597,876 ","1,318,942,905 ",58.4 
201608,전라북도,전체(시 / 군 / 구),주택용,"625,427 ","248,592,615 ","37,333,054,778 ",150.2 
201608,전라북도,전체(시 / 군 / 구),일반용,"134,845 ","355,948,955 ","52,894,948,188 ",148.6 
201608,전라북도,전체(시 / 군 / 구),교육용,"1,208 ","28,608,592 ","3,742,641,811 ",130.8 
201608,전라북도,전체(시 / 군 / 구),산업용,"14,277 ","1,134,188,324 ","132,730,461,995 ",117.0 
201608,전라북도,전체(시 / 군 / 구),농사용,"137,020 ","150,695,486 ","6,811,602,859 ",45.2 
201608,전라북도,전체(시 / 군 / 구),가로등,"128,806 ","15,139,142 ","1,777,696,909 ",117.4 
201608,전라북도,전체(시 / 군 / 구),심 야,"67,547 ","18,318,299 ","1,110,903,564 ",60.6 
201609,전라북도,전체(시 / 군 / 구),주택용,"626,113 ","214,815,845 ","15,151,978,394 ",70.5 
201609,전라북도,전체(시 / 군 / 구),일반용,"135,085 ","310,237,400 ","39,312,683,661 ",126.7 
201609,전라북도,전체(시 / 군 / 구),교육용,"1,208 ","28,407,051 ","3,324,087,508 ",117.0 
201609,전라북도,전체(시 / 군 / 구),산업용,"14,305 ","1,122,883,596 ","104,895,643,198 ",93.4 
201609,전라북도,전체(시 / 군 / 구),농사용,"137,422 ","138,018,646 ","6,336,867,977 ",45.9 
201609,전라북도,전체(시 / 군 / 구),가로등,"128,969 ","15,675,843 ","1,773,652,093 ",113.1 
201609,전라북도,전체(시 / 군 / 구),심 야,"67,400 ","18,316,588 ","1,066,351,809 ",58.2 
201610,전라북도,전체(시 / 군 / 구),주택용,"626,366 ","181,690,480 ","18,527,536,492 ",102.0 
201610,전라북도,전체(시 / 군 / 구),일반용,"135,220 ","250,749,329 ","30,463,950,816 ",121.5 
201610,전라북도,전체(시 / 군 / 구),교육용,"1,209 ","22,653,557 ","2,514,547,756 ",111.0 
201610,전라북도,전체(시 / 군 / 구),산업용,"14,330 ","1,150,435,613 ","104,937,837,839 ",91.2 
201610,전라북도,전체(시 / 군 / 구),농사용,"137,827 ","101,887,543 ","5,118,625,707 ",50.2 
201610,전라북도,전체(시 / 군 / 구),가로등,"129,189 ","16,763,352 ","1,798,171,242 ",107.3 
201610,전라북도,전체(시 / 군 / 구),심 야,"67,275 ","28,910,087 ","1,614,066,901 ",55.8 
201611,전라북도,전체(시 / 군 / 구),주택용,"627,452 ","192,835,056 ","22,683,062,428 ",117.6 
201611,전라북도,전체(시 / 군 / 구),일반용,"135,571 ","263,042,583 ","35,065,369,946 ",133.3 
201611,전라북도,전체(시 / 군 / 구),교육용,"1,212 ","28,933,726 ","3,309,098,115 ",114.4 
201611,전라북도,전체(시 / 군 / 구),산업용,"14,387 ","1,141,274,817 ","131,029,128,721 ",114.8 
201611,전라북도,전체(시 / 군 / 구),농사용,"204,808 ","160,868,202 ","6,758,159,245 ",42.0 
201611,전라북도,전체(시 / 군 / 구),가로등,"129,427 ","17,761,017 ","1,861,723,618 ",104.8 
201611,전라북도,전체(시 / 군 / 구),심 야,"67,210 ","68,676,289 ","4,347,489,978 ",63.3 
