계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2016년 07 월 ~ 2016년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,제주특별자치도,전체(시 / 군 / 구),주택용,"240,816 ","63,262,239 ","8,299,373,023 ",131.2 
201607,제주특별자치도,전체(시 / 군 / 구),일반용,"57,761 ","156,097,854 ","22,860,335,158 ",146.4 
201607,제주특별자치도,전체(시 / 군 / 구),교육용,336 ,"11,278,833 ","1,373,505,409 ",121.8 
201607,제주특별자치도,전체(시 / 군 / 구),산업용,"3,107 ","47,024,836 ","6,032,082,669 ",128.3 
201607,제주특별자치도,전체(시 / 군 / 구),농사용,"43,135 ","96,986,609 ","4,613,072,028 ",47.6 
201607,제주특별자치도,전체(시 / 군 / 구),가로등,"21,120 ","3,417,970 ","443,866,687 ",129.9 
201607,제주특별자치도,전체(시 / 군 / 구),심 야,"7,430 ","7,116,743 ","444,259,817 ",62.4 
201608,제주특별자치도,전체(시 / 군 / 구),주택용,"242,181 ","83,563,551 ","14,255,594,697 ",170.6 
201608,제주특별자치도,전체(시 / 군 / 구),일반용,"58,529 ","191,769,955 ","26,889,490,580 ",140.2 
201608,제주특별자치도,전체(시 / 군 / 구),교육용,336 ,"12,167,224 ","1,464,014,963 ",120.3 
201608,제주특별자치도,전체(시 / 군 / 구),산업용,"3,100 ","50,542,417 ","6,440,189,121 ",127.4 
201608,제주특별자치도,전체(시 / 군 / 구),농사용,"43,182 ","105,822,717 ","4,973,549,509 ",47.0 
201608,제주특별자치도,전체(시 / 군 / 구),가로등,"21,375 ","3,739,909 ","456,023,041 ",121.9 
201608,제주특별자치도,전체(시 / 군 / 구),심 야,"7,407 ","6,652,850 ","435,465,822 ",65.5 
201609,제주특별자치도,전체(시 / 군 / 구),주택용,"243,601 ","68,134,489 ","5,031,510,149 ",73.8 
201609,제주특별자치도,전체(시 / 군 / 구),일반용,"59,059 ","163,811,244 ","20,794,134,472 ",126.9 
201609,제주특별자치도,전체(시 / 군 / 구),교육용,337 ,"11,354,493 ","1,198,819,531 ",105.6 
201609,제주특별자치도,전체(시 / 군 / 구),산업용,"3,109 ","48,299,590 ","5,442,065,253 ",112.7 
201609,제주특별자치도,전체(시 / 군 / 구),농사용,"43,268 ","104,820,853 ","4,846,628,902 ",46.2 
201609,제주특별자치도,전체(시 / 군 / 구),가로등,"21,514 ","4,081,956 ","473,028,870 ",115.9 
201609,제주특별자치도,전체(시 / 군 / 구),심 야,"7,376 ","5,318,746 ","337,015,199 ",63.4 
201610,제주특별자치도,전체(시 / 군 / 구),주택용,"244,866 ","57,274,857 ","6,152,585,609 ",107.4 
201610,제주특별자치도,전체(시 / 군 / 구),일반용,"59,386 ","135,962,221 ","15,973,584,789 ",117.5 
201610,제주특별자치도,전체(시 / 군 / 구),교육용,336 ,"9,207,332 ","933,988,555 ",101.4 
201610,제주특별자치도,전체(시 / 군 / 구),산업용,"3,143 ","45,235,856 ","4,796,193,849 ",106.0 
201610,제주특별자치도,전체(시 / 군 / 구),농사용,"43,344 ","93,299,872 ","4,305,415,529 ",46.1 
201610,제주특별자치도,전체(시 / 군 / 구),가로등,"21,611 ","4,435,781 ","476,006,833 ",107.3 
201610,제주특별자치도,전체(시 / 군 / 구),심 야,"7,370 ","5,179,453 ","286,512,063 ",55.3 
201611,제주특별자치도,전체(시 / 군 / 구),주택용,"246,195 ","59,161,450 ","7,083,957,728 ",119.7 
201611,제주특별자치도,전체(시 / 군 / 구),일반용,"60,023 ","133,477,433 ","17,916,587,620 ",134.2 
201611,제주특별자치도,전체(시 / 군 / 구),교육용,336 ,"9,615,633 ","1,121,546,439 ",116.6 
201611,제주특별자치도,전체(시 / 군 / 구),산업용,"3,184 ","47,982,822 ","5,835,827,042 ",121.6 
201611,제주특별자치도,전체(시 / 군 / 구),농사용,"43,518 ","97,934,024 ","4,578,820,435 ",46.8 
201611,제주특별자치도,전체(시 / 군 / 구),가로등,"21,649 ","4,708,261 ","491,172,606 ",104.3 
201611,제주특별자치도,전체(시 / 군 / 구),심 야,"7,356 ","8,677,480 ","572,486,668 ",66.0 
201612,제주특별자치도,전체(시 / 군 / 구),주택용,"248,002 ","62,789,958 ","7,439,189,348 ",118.5 
201612,제주특별자치도,전체(시 / 군 / 구),일반용,"60,817 ","144,993,020 ","20,584,321,664 ",142.0 
201612,제주특별자치도,전체(시 / 군 / 구),교육용,337 ,"10,774,658 ","1,232,457,065 ",114.4 
201612,제주특별자치도,전체(시 / 군 / 구),산업용,"3,267 ","50,320,378 ","6,470,646,973 ",128.6 
201612,제주특별자치도,전체(시 / 군 / 구),농사용,"43,727 ","109,076,366 ","5,155,033,864 ",47.3 
201612,제주특별자치도,전체(시 / 군 / 구),가로등,"21,709 ","5,042,423 ","503,542,115 ",99.9 
201612,제주특별자치도,전체(시 / 군 / 구),심 야,"7,341 ","13,523,583 ","1,017,701,623 ",75.3 
합계,합계,합계,합계,"2,275,596","2,353,937,939","250,031,603,317",106.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201607,제주특별자치도,서귀포시,가로등,"8,658 ","1,342,870 ","175,539,758 ",130.7 
201607,제주특별자치도,서귀포시,교육용,128 ,"4,124,360 ","490,778,772 ",119 
201607,제주특별자치도,서귀포시,농사용,"26,728 ","59,847,257 ","2,867,559,749 ",47.9 
201607,제주특별자치도,서귀포시,산업용,984 ,"12,325,350 ","1,718,803,756 ",139.5 
201607,제주특별자치도,서귀포시,심 야,"2,421 ","3,562,613 ","225,014,268 ",63.2 
201607,제주특별자치도,서귀포시,일반용,"16,486 ","49,113,400 ","7,145,814,601 ",145.5 
201607,제주특별자치도,서귀포시,주택용,"67,204 ","16,475,048 ","2,203,135,436 ",133.7 
201607,제주특별자치도,서귀포시,합계,"122,609 ","146,790,898 ","14,826,646,340 ",101 
201607,제주특별자치도,제주시,가로등,"12,462 ","2,075,100 ","268,326,929 ",129.3 
201607,제주특별자치도,제주시,교육용,208 ,"7,154,473 ","882,726,637 ",123.4 
201607,제주특별자치도,제주시,농사용,"16,407 ","37,139,352 ","1,745,512,279 ",47 
201607,제주특별자치도,제주시,산업용,"2,123 ","34,699,486 ","4,313,278,913 ",124.3 
201607,제주특별자치도,제주시,심 야,"5,009 ","3,554,130 ","219,245,549 ",61.7 
201607,제주특별자치도,제주시,일반용,"41,275 ","106,984,454 ","15,714,520,557 ",146.9 
201607,제주특별자치도,제주시,주택용,"173,612 ","46,787,191 ","6,096,237,587 ",130.3 
201607,제주특별자치도,제주시,합계,"251,096 ","238,394,186 ","29,239,848,451 ",122.7 
